winner,score1,score2,score3,score0,dealer,round1,round2,round3,round4,round5,round6,round7,round8,round9,round10,round11,round12,round13,round14,round15,round16,round17,round18,round19
0,130,138,161,184,3,"[11, 13, 14, 0]","[14, 13, 0, 0]","[13, 12, 0, 11]","[11, 0, 12, 12]","[11, 0, 12, 11]","[11, 0, 0, 10]","[11, 0, 11, 0]","[12, 0, 10, 10]","[10, 11, 11, 0]","[10, 0, 10, 10]","[11, 11, 0, 10]","[13, 10, 0, 10]","[0, 12, 10, 11]","[10, 0, 11, 11]","[11, 12, 11, 12]","[12, 13, 0, 10]","[0, 11, 13, 11]","[0, 12, 13, 10]","[13, 0, 0, 12]"
2,110,141,111,103,0,"[16, 12, 11, 0]","[12, 0, 11, 0]","[0, 0, 0, 12]","[0, 12, 10, 0]","[0, 0, 10, 0]","[0, 10, 13, 0]","[0, 10, 0, 11]","[11, 10, 0, 11]","[11, 10, 10, 0]","[11, 0, 10, 10]","[10, 0, 10, 10]","[0, 10, 12, 10]","[0, 0, 0, 12]","[0, 13, 11, 11]","[10, 0, 10, 11]","[0, 0, 12, 0]","[0, 12, 0, 0]","[11, 11, 0, 0]","[11, 0, 11, 13]"
0,127,109,105,140,1,"[0, 11, 10, 15]","[15, 13, 0, 10]","[13, 0, 0, 0]","[14, 0, 10, 0]","[11, 12, 11, 0]","[0, 10, 0, 0]","[0, 10, 0, 11]","[0, 10, 11, 11]","[10, 0, 10, 0]","[10, 10, 10, 0]","[10, 10, 11, 0]","[0, 10, 11, 10]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 10, 0, 11]","[13, 11, 13, 10]","[11, 0, 0, 0]","[10, 0, 12, 13]","[13, 10, 0, 14]"
0,148,162,111,170,2,"[13, 12, 0, 0]","[11, 14, 12, 0]","[15, 0, 13, 10]","[11, 0, 12, 12]","[11, 12, 11, 0]","[0, 13, 10, 10]","[11, 10, 11, 0]","[10, 0, 0, 0]","[10, 11, 0, 11]","[10, 0, 10, 11]","[10, 11, 11, 10]","[10, 10, 11, 0]","[0, 10, 13, 10]","[12, 11, 12, 0]","[11, 0, 12, 12]","[13, 10, 12, 0]","[0, 11, 0, 12]","[0, 13, 12, 13]","[12, 0, 0, 0]"
2,87,169,149,147,3,"[0, 0, 13, 11]","[0, 11, 13, 15]","[11, 0, 12, 0]","[0, 0, 0, 11]","[0, 0, 10, 14]","[10, 11, 0, 10]","[0, 0, 12, 0]","[10, 11, 0, 10]","[11, 10, 11, 0]","[0, 10, 10, 10]","[11, 11, 10, 10]","[11, 0, 10, 10]","[12, 0, 11, 10]","[10, 12, 11, 0]","[10, 0, 13, 0]","[11, 0, 10, 12]","[12, 11, 0, 13]","[14, 0, 11, 13]","[14, 0, 12, 0]"
0,119,106,99,138,0,"[0, 13, 12, 15]","[0, 0, 0, 0]","[11, 0, 13, 0]","[12, 0, 11, 11]","[0, 0, 12, 0]","[11, 10, 0, 10]","[11, 0, 10, 10]","[0, 10, 11, 10]","[11, 10, 0, 0]","[10, 10, 0, 10]","[11, 10, 0, 10]","[0, 10, 0, 0]","[13, 11, 10, 0]","[12, 0, 0, 0]","[11, 10, 0, 0]","[0, 12, 0, 0]","[11, 0, 0, 0]","[14, 0, 14, 11]","[0, 13, 13, 12]"
1,167,133,130,86,1,"[0, 13, 0, 0]","[0, 12, 12, 10]","[0, 12, 0, 0]","[0, 12, 11, 13]","[10, 0, 13, 10]","[11, 11, 0, 0]","[12, 10, 0, 0]","[10, 10, 0, 10]","[10, 10, 0, 10]","[11, 10, 0, 10]","[0, 10, 10, 10]","[0, 10, 10, 11]","[0, 11, 10, 12]","[0, 0, 11, 10]","[0, 11, 10, 13]","[0, 0, 11, 0]","[0, 12, 12, 11]","[10, 0, 10, 0]","[12, 13, 13, 0]"
2,106,151,148,147,2,"[10, 16, 0, 14]","[13, 12, 11, 0]","[0, 13, 10, 13]","[0, 0, 10, 12]","[11, 10, 11, 0]","[0, 0, 13, 11]","[0, 0, 11, 10]","[10, 11, 11, 0]","[10, 10, 10, 0]","[0, 10, 10, 10]","[10, 0, 10, 11]","[10, 0, 10, 11]","[10, 11, 0, 0]","[12, 0, 10, 13]","[14, 0, 10, 10]","[11, 0, 14, 10]","[11, 13, 0, 13]","[0, 0, 0, 10]","[15, 0, 0, 0]"
1,164,156,156,132,3,"[13, 10, 0, 17]","[12, 0, 12, 0]","[14, 10, 11, 0]","[12, 13, 10, 0]","[0, 10, 0, 15]","[0, 11, 0, 10]","[0, 11, 11, 11]","[0, 10, 13, 10]","[10, 0, 10, 12]","[0, 10, 10, 10]","[0, 11, 10, 10]","[0, 11, 0, 0]","[10, 12, 10, 12]","[10, 10, 12, 0]","[13, 12, 11, 0]","[13, 0, 11, 11]","[13, 11, 0, 13]","[0, 12, 12, 12]","[12, 0, 13, 13]"
2,121,154,146,102,0,"[14, 14, 11, 11]","[0, 14, 0, 13]","[0, 12, 0, 12]","[11, 0, 11, 13]","[11, 11, 11, 0]","[0, 0, 11, 11]","[12, 10, 11, 0]","[0, 0, 0, 11]","[0, 10, 11, 10]","[11, 0, 10, 10]","[10, 0, 10, 0]","[0, 11, 11, 10]","[11, 11, 0, 11]","[0, 0, 10, 0]","[0, 0, 11, 11]","[0, 0, 10, 0]","[0, 13, 12, 0]","[10, 15, 0, 11]","[12, 0, 14, 12]"
