winner,score1,score2,score3,score0,dealer,round1,round2,round3,round4,round5,round6,round7,round8,round9,round10,round11,round12,round13,round14,round15,round16,round17,round18,round19
1,162,76,150,147,3,"[0, 12, 0, 13]","[10, 0, 13, 14]","[0, 10, 11, 15]","[14, 10, 0, 11]","[12, 11, 0, 11]","[13, 11, 0, 11]","[10, 11, 0, 11]","[0, 10, 10, 0]","[10, 11, 0, 10]","[10, 0, 10, 10]","[12, 10, 0, 10]","[11, 10, 10, 0]","[0, 10, 11, 0]","[10, 12, 0, 11]","[0, 10, 0, 0]","[11, 12, 0, 12]","[12, 12, 11, 0]","[0, 0, 0, 0]","[12, 0, 0, 11]"
1,137,87,76,135,0,"[14, 11, 0, 0]","[12, 12, 0, 0]","[0, 0, 13, 10]","[0, 12, 0, 0]","[13, 11, 0, 11]","[10, 12, 0, 0]","[10, 11, 10, 0]","[11, 10, 11, 0]","[10, 10, 0, 10]","[10, 0, 11, 10]","[10, 0, 0, 0]","[11, 0, 10, 11]","[0, 0, 10, 0]","[0, 10, 11, 13]","[0, 14, 0, 0]","[12, 12, 11, 0]","[0, 0, 0, 0]","[0, 12, 0, 0]","[12, 0, 0, 11]"
3,127,108,151,85,1,"[11, 0, 11, 0]","[11, 14, 0, 12]","[0, 0, 0, 10]","[0, 11, 10, 15]","[0, 10, 12, 13]","[0, 12, 10, 12]","[0, 10, 0, 0]","[10, 0, 11, 10]","[10, 0, 10, 11]","[0, 10, 11, 10]","[10, 0, 10, 12]","[0, 11, 11, 11]","[0, 0, 0, 0]","[10, 12, 0, 11]","[0, 13, 0, 0]","[11, 11, 0, 0]","[12, 0, 0, 11]","[0, 13, 0, 13]","[0, 0, 12, 0]"
3,151,133,172,80,2,"[0, 11, 12, 11]","[0, 0, 11, 17]","[0, 11, 12, 14]","[0, 10, 0, 15]","[0, 11, 0, 11]","[0, 12, 12, 10]","[12, 10, 0, 12]","[11, 11, 0, 10]","[11, 11, 0, 10]","[10, 0, 10, 10]","[0, 0, 0, 10]","[0, 10, 13, 10]","[0, 0, 11, 10]","[11, 11, 13, 0]","[11, 11, 0, 10]","[14, 10, 0, 0]","[0, 0, 14, 0]","[0, 10, 12, 0]","[0, 12, 13, 12]"
3,118,115,169,123,3,"[0, 11, 11, 12]","[12, 12, 13, 0]","[0, 10, 0, 0]","[12, 0, 0, 11]","[0, 11, 0, 0]","[12, 0, 0, 12]","[10, 10, 11, 0]","[11, 10, 0, 10]","[0, 10, 11, 11]","[10, 0, 10, 10]","[10, 0, 10, 10]","[11, 0, 12, 10]","[0, 0, 13, 10]","[0, 0, 11, 10]","[11, 13, 0, 10]","[0, 10, 0, 13]","[12, 0, 13, 12]","[0, 11, 0, 14]","[12, 10, 0, 14]"
2,96,126,124,98,0,"[0, 0, 12, 0]","[0, 0, 11, 0]","[0, 0, 0, 0]","[0, 11, 0, 10]","[10, 11, 0, 11]","[11, 11, 0, 11]","[0, 0, 0, 0]","[0, 10, 10, 13]","[10, 0, 10, 11]","[0, 10, 10, 11]","[10, 0, 11, 11]","[10, 11, 0, 11]","[0, 11, 12, 0]","[10, 10, 13, 0]","[0, 0, 12, 11]","[13, 11, 12, 0]","[0, 0, 13, 13]","[11, 0, 0, 11]","[13, 0, 0, 0]"
1,156,102,93,112,1,"[0, 10, 0, 14]","[0, 0, 0, 10]","[12, 13, 0, 0]","[0, 12, 10, 13]","[11, 11, 13, 0]","[10, 14, 0, 0]","[0, 0, 12, 0]","[10, 0, 10, 12]","[11, 11, 10, 0]","[10, 10, 10, 0]","[0, 10, 0, 0]","[0, 10, 0, 10]","[0, 10, 0, 0]","[11, 0, 0, 0]","[12, 10, 0, 11]","[0, 11, 10, 0]","[12, 14, 0, 11]","[0, 0, 12, 12]","[13, 10, 15, 0]"
1,148,87,72,144,2,"[0, 10, 0, 0]","[13, 12, 11, 0]","[12, 0, 0, 0]","[12, 13, 0, 10]","[11, 0, 0, 0]","[11, 0, 10, 0]","[13, 0, 0, 10]","[0, 12, 10, 10]","[11, 0, 0, 0]","[0, 10, 10, 11]","[12, 10, 10, 0]","[11, 10, 0, 10]","[0, 0, 0, 11]","[11, 11, 12, 0]","[0, 14, 0, 10]","[0, 11, 0, 0]","[14, 10, 13, 0]","[13, 12, 11, 0]","[0, 13, 0, 0]"
3,113,89,131,130,3,"[13, 0, 12, 11]","[12, 0, 11, 13]","[13, 0, 0, 10]","[0, 11, 11, 0]","[11, 0, 0, 0]","[12, 0, 11, 10]","[0, 11, 0, 12]","[10, 12, 0, 10]","[0, 10, 10, 12]","[10, 0, 10, 10]","[11, 11, 0, 10]","[0, 10, 0, 0]","[0, 0, 0, 11]","[0, 11, 12, 12]","[13, 0, 0, 0]","[0, 0, 0, 10]","[0, 12, 0, 0]","[12, 12, 0, 0]","[13, 13, 12, 0]"
1,155,115,143,120,0,"[0, 12, 13, 13]","[11, 0, 13, 12]","[0, 13, 12, 10]","[0, 0, 0, 0]","[0, 0, 0, 0]","[11, 10, 0, 11]","[10, 12, 10, 0]","[12, 10, 0, 10]","[0, 10, 10, 10]","[11, 10, 0, 10]","[0, 11, 10, 10]","[10, 10, 11, 0]","[11, 12, 0, 10]","[10, 11, 0, 13]","[11, 0, 12, 11]","[0, 0, 12, 10]","[0, 11, 12, 0]","[11, 11, 0, 0]","[12, 12, 0, 13]"
1,131,101,126,111,1,"[0, 0, 10, 16]","[0, 0, 12, 0]","[0, 11, 0, 0]","[0, 12, 0, 11]","[14, 0, 0, 11]","[11, 0, 0, 0]","[0, 11, 11, 11]","[11, 10, 11, 0]","[12, 10, 0, 10]","[11, 10, 0, 10]","[10, 11, 11, 0]","[0, 11, 11, 11]","[0, 0, 11, 0]","[0, 13, 11, 10]","[0, 0, 0, 0]","[14, 0, 13, 0]","[0, 12, 0, 11]","[13, 10, 0, 13]","[15, 10, 0, 12]"
1,165,121,129,114,2,"[13, 12, 0, 12]","[11, 12, 13, 0]","[0, 13, 0, 0]","[0, 11, 12, 12]","[12, 0, 11, 0]","[11, 0, 11, 11]","[0, 0, 10, 12]","[11, 11, 0, 10]","[11, 11, 0, 10]","[0, 11, 10, 10]","[10, 11, 10, 0]","[0, 12, 10, 11]","[12, 11, 0, 10]","[11, 0, 12, 10]","[0, 0, 0, 10]","[0, 11, 0, 0]","[0, 13, 0, 0]","[0, 12, 12, 11]","[12, 14, 10, 0]"
0,128,91,84,130,3,"[10, 14, 0, 0]","[12, 0, 12, 0]","[0, 14, 11, 11]","[0, 12, 0, 11]","[10, 12, 0, 0]","[0, 0, 0, 10]","[11, 11, 11, 0]","[10, 0, 0, 10]","[10, 0, 0, 0]","[10, 0, 10, 10]","[0, 10, 10, 10]","[10, 11, 10, 0]","[11, 0, 0, 0]","[10, 10, 13, 0]","[0, 0, 0, 0]","[0, 11, 14, 0]","[13, 11, 0, 0]","[0, 0, 0, 10]","[13, 12, 0, 12]"
3,146,93,146,140,0,"[0, 14, 13, 0]","[0, 12, 0, 11]","[12, 0, 0, 0]","[10, 0, 14, 11]","[11, 12, 0, 10]","[0, 11, 0, 11]","[10, 11, 0, 11]","[10, 0, 11, 11]","[10, 10, 10, 0]","[10, 10, 0, 10]","[11, 11, 0, 10]","[0, 10, 11, 10]","[11, 11, 11, 0]","[12, 10, 0, 13]","[11, 0, 0, 13]","[10, 0, 0, 0]","[12, 0, 0, 0]","[0, 13, 12, 12]","[0, 11, 11, 13]"
1,159,84,142,158,1,"[13, 0, 11, 12]","[13, 12, 0, 11]","[13, 11, 0, 12]","[12, 0, 0, 11]","[10, 13, 0, 11]","[12, 0, 0, 10]","[0, 10, 0, 10]","[10, 11, 10, 0]","[10, 11, 10, 0]","[11, 0, 10, 10]","[10, 11, 11, 0]","[0, 10, 11, 11]","[0, 10, 0, 10]","[0, 11, 0, 0]","[11, 13, 0, 11]","[12, 12, 0, 12]","[10, 11, 0, 11]","[11, 13, 10, 0]","[0, 0, 11, 0]"
2,141,153,144,116,2,"[0, 11, 15, 0]","[12, 0, 12, 12]","[11, 12, 13, 0]","[13, 10, 0, 11]","[0, 11, 13, 12]","[11, 10, 0, 14]","[11, 11, 0, 0]","[0, 11, 11, 10]","[10, 11, 0, 11]","[0, 10, 10, 10]","[0, 10, 10, 12]","[12, 0, 11, 10]","[13, 10, 0, 10]","[13, 0, 12, 10]","[0, 11, 13, 11]","[0, 0, 12, 0]","[10, 0, 0, 11]","[0, 13, 10, 0]","[0, 0, 11, 0]"
1,160,142,131,94,3,"[0, 14, 0, 11]","[0, 11, 0, 0]","[11, 0, 12, 11]","[0, 12, 0, 11]","[12, 10, 12, 0]","[0, 11, 0, 11]","[13, 11, 10, 0]","[11, 0, 11, 10]","[11, 11, 10, 0]","[0, 11, 10, 10]","[0, 10, 10, 11]","[0, 0, 10, 0]","[0, 12, 11, 11]","[0, 12, 11, 12]","[12, 13, 11, 0]","[11, 12, 0, 11]","[13, 10, 0, 0]","[0, 0, 12, 10]","[0, 0, 12, 12]"
0,133,144,111,149,0,"[12, 0, 0, 0]","[13, 11, 12, 0]","[13, 12, 11, 0]","[13, 10, 12, 0]","[10, 0, 12, 11]","[12, 0, 10, 13]","[10, 11, 0, 11]","[11, 10, 0, 10]","[0, 11, 10, 10]","[10, 0, 11, 10]","[10, 0, 0, 0]","[13, 10, 10, 0]","[0, 10, 11, 0]","[0, 10, 12, 12]","[0, 0, 10, 10]","[0, 13, 0, 0]","[0, 13, 11, 12]","[10, 12, 12, 0]","[12, 0, 0, 12]"
