winner,score1,score2,score3,score0,dealer,round1,round2,round3,round4,round5,round6,round7,round8,round9,round10,round11,round12,round13,round14,round15,round16,round17,round18,round19
1,156,112,106,115,3,"[10, 14, 13, 0]","[0, 12, 12, 0]","[12, 11, 0, 13]","[13, 11, 0, 12]","[0, 0, 0, 12]","[0, 11, 10, 13]","[0, 0, 11, 0]","[0, 0, 11, 0]","[11, 10, 11, 0]","[0, 10, 11, 10]","[11, 0, 10, 11]","[10, 11, 0, 11]","[12, 10, 11, 0]","[0, 11, 0, 0]","[11, 11, 12, 0]","[12, 0, 0, 0]","[0, 11, 0, 10]","[0, 11, 0, 0]","[13, 12, 0, 14]"
3,140,89,148,136,0,"[12, 0, 0, 10]","[14, 12, 0, 12]","[0, 12, 12, 12]","[0, 0, 0, 0]","[11, 12, 0, 12]","[10, 0, 0, 10]","[11, 11, 0, 0]","[10, 11, 0, 11]","[11, 10, 0, 11]","[10, 0, 10, 11]","[0, 10, 10, 10]","[11, 10, 10, 0]","[11, 10, 12, 0]","[11, 11, 11, 0]","[0, 0, 0, 10]","[14, 10, 11, 0]","[0, 10, 13, 13]","[0, 0, 0, 13]","[0, 11, 0, 13]"
1,127,81,92,120,1,"[13, 0, 0, 11]","[13, 11, 0, 0]","[14, 10, 11, 0]","[13, 10, 13, 0]","[12, 11, 0, 13]","[0, 11, 0, 0]","[0, 11, 0, 0]","[12, 11, 0, 10]","[0, 10, 0, 12]","[11, 10, 0, 10]","[10, 11, 10, 0]","[10, 11, 10, 0]","[12, 10, 11, 0]","[0, 0, 0, 12]","[0, 0, 13, 13]","[0, 0, 0, 11]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 13, 0]"
2,120,134,120,100,2,"[0, 0, 12, 0]","[11, 15, 0, 11]","[0, 0, 0, 13]","[11, 0, 0, 0]","[0, 11, 13, 11]","[12, 0, 10, 0]","[0, 0, 11, 0]","[0, 10, 11, 10]","[0, 0, 10, 10]","[0, 11, 10, 10]","[0, 11, 10, 10]","[12, 0, 11, 10]","[10, 13, 0, 10]","[10, 11, 0, 12]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 12, 13, 13]","[12, 13, 12, 0]","[12, 13, 11, 0]"
2,121,148,129,146,3,"[0, 0, 13, 11]","[11, 0, 12, 0]","[0, 11, 0, 0]","[0, 12, 12, 13]","[12, 10, 12, 0]","[0, 0, 0, 0]","[12, 0, 12, 10]","[0, 0, 10, 10]","[10, 10, 11, 0]","[10, 0, 10, 10]","[11, 10, 0, 11]","[11, 10, 0, 12]","[12, 11, 10, 0]","[11, 0, 12, 12]","[0, 0, 11, 12]","[11, 11, 0, 13]","[11, 12, 0, 15]","[11, 13, 10, 0]","[13, 11, 13, 0]"
0,115,106,113,130,0,"[13, 11, 0, 14]","[13, 0, 0, 0]","[0, 11, 11, 0]","[11, 0, 12, 0]","[0, 10, 11, 0]","[13, 11, 0, 10]","[12, 10, 0, 11]","[11, 10, 11, 0]","[0, 10, 0, 0]","[10, 10, 0, 10]","[0, 0, 0, 10]","[0, 10, 0, 0]","[0, 10, 11, 11]","[13, 0, 11, 11]","[0, 0, 14, 0]","[0, 0, 0, 12]","[12, 0, 13, 11]","[10, 0, 12, 0]","[12, 12, 0, 13]"
1,192,135,112,98,1,"[11, 14, 0, 0]","[0, 11, 0, 13]","[12, 12, 12, 0]","[0, 12, 10, 0]","[0, 11, 12, 11]","[10, 11, 13, 0]","[0, 12, 10, 0]","[0, 12, 0, 11]","[0, 11, 10, 11]","[10, 10, 10, 0]","[0, 11, 10, 10]","[0, 11, 11, 10]","[10, 0, 14, 10]","[10, 0, 0, 0]","[13, 11, 0, 11]","[0, 12, 0, 13]","[11, 16, 11, 0]","[11, 15, 0, 12]","[0, 0, 12, 0]"
3,132,74,169,111,2,"[0, 14, 11, 12]","[0, 0, 0, 12]","[0, 14, 0, 11]","[11, 12, 0, 12]","[12, 0, 0, 0]","[11, 12, 0, 10]","[11, 12, 0, 10]","[11, 0, 0, 0]","[10, 0, 10, 10]","[0, 10, 10, 10]","[0, 10, 10, 12]","[11, 11, 0, 11]","[0, 0, 0, 10]","[10, 0, 0, 12]","[0, 0, 11, 11]","[0, 0, 10, 0]","[12, 13, 0, 10]","[0, 12, 12, 0]","[12, 12, 0, 16]"
3,157,111,165,131,3,"[11, 13, 0, 13]","[13, 0, 0, 11]","[0, 0, 11, 0]","[0, 13, 12, 10]","[10, 11, 0, 12]","[13, 12, 0, 10]","[0, 10, 12, 11]","[10, 10, 0, 12]","[0, 10, 10, 11]","[0, 10, 10, 11]","[0, 0, 10, 0]","[10, 0, 10, 11]","[11, 10, 13, 0]","[12, 13, 0, 10]","[0, 0, 0, 10]","[14, 12, 0, 11]","[12, 11, 0, 11]","[15, 10, 10, 0]","[0, 12, 13, 11]"
1,166,110,143,125,0,"[11, 12, 0, 12]","[11, 0, 11, 12]","[11, 0, 12, 10]","[14, 10, 10, 0]","[11, 11, 0, 0]","[11, 11, 0, 12]","[11, 11, 0, 10]","[0, 11, 12, 10]","[0, 10, 11, 10]","[11, 10, 10, 0]","[0, 0, 0, 10]","[11, 10, 11, 0]","[11, 10, 0, 10]","[0, 11, 0, 11]","[0, 0, 10, 0]","[0, 13, 12, 10]","[0, 12, 0, 14]","[12, 12, 11, 0]","[0, 12, 0, 12]"
