"","card","rankCategory","trump","numSuitInHand","tricksToWin0","tricksToWin1","tricksToWin2","tricksToWin3","tricksLeft"
"1","2H","low",FALSE,3,3,1,3,2,10
"2","6C","mediumlow",FALSE,2,2,-1,3,2,7
"3","7S","mediumlow",TRUE,3,1,-1,1,2,4
"4","AH","veryhigh",FALSE,2,5,3,1,2,10
"5","AC","veryhigh",TRUE,5,4,3,1,2,9
"6","6H","mediumlow",FALSE,1,3,3,1,2,8
"7","QS","high",FALSE,2,2,-1,1,2,3
"8","AD","veryhigh",FALSE,4,2,3,2,4,10
"9","7D","mediumlow",FALSE,3,1,3,2,4,9
"10","4C","low",FALSE,4,0,1,2,4,6
"11","5S","low",FALSE,3,1,2,5,3,10
"12","2D","low",FALSE,3,0,1,4,2,6
"13","5D","low",FALSE,2,-1,1,3,2,4
"14","TD","high",FALSE,4,1,4,2,4,10
"15","2D","low",FALSE,2,2,4,2,3,10
"16","TC","high",TRUE,3,1,4,1,2,7
"17","2H","low",FALSE,2,0,2,1,2,4
"18","KC","veryhigh",FALSE,6,2,5,2,0,10
"19","TC","high",FALSE,4,1,4,0,0,6
"20","5D","low",FALSE,1,0,4,0,0,5
"21","3C","low",FALSE,2,2,4,2,1,10
"22","2S","low",FALSE,3,1,3,1,1,7
"23","9H","mediumhigh",FALSE,1,0,2,1,1,5
"24","JS","high",FALSE,2,-1,2,0,0,2
"25","4C","low",TRUE,3,1,7,0,1,10
"26","2C","low",TRUE,1,0,6,-1,1,7
"27","AS","veryhigh",FALSE,4,2,1,4,4,10
"28","2S","low",FALSE,3,1,1,4,4,9
"29","4S","low",FALSE,2,0,0,4,4,7
"30","7C","mediumlow",FALSE,3,2,3,1,6,10
"31","TS","high",FALSE,1,1,3,1,6,9
"32","3H","low",FALSE,4,0,2,0,5,5
"33","4S","low",FALSE,3,1,4,3,1,10
"34","3D","low",TRUE,4,3,2,1,3,10
"35","8D","mediumhigh",TRUE,3,2,2,0,1,6
"36","7D","mediumlow",TRUE,2,1,2,0,1,5
"37","QD","high",TRUE,1,0,2,0,1,4
"38","KS","veryhigh",FALSE,2,-1,2,0,1,3
"39","8C","mediumhigh",FALSE,1,-2,2,0,1,2
"40","AD","veryhigh",FALSE,2,2,3,1,5,10
"41","TH","high",FALSE,5,1,3,1,5,9
"42","9S","mediumhigh",FALSE,2,0,2,1,4,6
"43","5C","low",TRUE,4,4,2,1,4,10
"44","KS","veryhigh",FALSE,2,3,2,1,3,8
"45","TS","high",FALSE,1,2,2,1,3,7
"46","3H","low",FALSE,1,1,1,1,2,4
"47","7D","mediumlow",FALSE,2,0,1,1,2,3
"48","2C","low",FALSE,5,2,4,2,3,10
"49","JD","high",FALSE,2,1,2,1,3,6
"50","6C","mediumlow",FALSE,3,0,2,0,3,4
"51","AC","veryhigh",FALSE,4,2,4,1,2,10
"52","KS","veryhigh",FALSE,2,1,4,1,2,9
"53","7H","mediumlow",FALSE,4,0,4,1,2,8
"54","2H","low",TRUE,6,6,1,0,2,10
"55","3H","low",TRUE,5,5,0,0,0,6
"56","6H","mediumlow",TRUE,4,4,0,0,0,5
"57","9H","mediumhigh",TRUE,3,3,0,0,0,4
"58","QC","high",FALSE,1,2,0,0,0,3
"59","AH","veryhigh",TRUE,2,1,0,0,0,2
"60","KD","veryhigh",FALSE,4,3,2,3,3,10
"61","8H","mediumhigh",FALSE,3,2,2,3,3,9
"62","4H","low",FALSE,2,1,1,3,3,7
"63","2S","low",TRUE,2,2,1,6,2,10
"64","AH","veryhigh",FALSE,4,1,1,6,0,7
"65","9H","mediumhigh",FALSE,3,0,1,4,-1,3
"66","KH","veryhigh",FALSE,2,-1,1,4,-1,2
"67","3S","low",FALSE,3,2,2,4,3,10
"68","KD","veryhigh",TRUE,2,1,2,3,3,8
"69","4C","low",FALSE,4,0,2,3,3,7
"70","7C","mediumlow",FALSE,3,-1,1,3,3,5
"71","AH","veryhigh",FALSE,3,2,4,4,1,10
"72","4H","low",FALSE,2,1,4,4,1,9
"73","7D","mediumlow",FALSE,5,1,5,1,2,10
"74","8D","mediumhigh",FALSE,4,0,4,1,1,7
"75","3S","low",FALSE,2,1,4,2,4,10
"76","7C","mediumlow",FALSE,2,0,1,2,1,3
"77","5C","low",FALSE,1,-1,1,2,1,2
"78","3D","low",TRUE,2,1,2,3,6,10
"79","2H","low",FALSE,3,0,1,0,5,4
"80","2C","low",FALSE,3,1,2,5,4,10
"81","KC","veryhigh",FALSE,3,4,3,0,2,10
"82","QH","high",FALSE,4,3,2,0,2,8
"83","9C","mediumhigh",FALSE,2,2,2,0,2,7
"84","4D","low",TRUE,2,1,2,0,2,6
"85","3H","low",FALSE,3,0,1,0,2,4
"86","8D","mediumhigh",FALSE,2,4,0,3,4,10
"87","4H","low",TRUE,4,3,-1,3,4,8
"88","2C","low",FALSE,2,2,-1,2,2,4
"89","8H","mediumhigh",TRUE,4,5,2,1,1,10
"90","JH","high",TRUE,3,4,2,-2,0,5
"91","TH","high",TRUE,2,3,1,-2,0,3
"92","AC","veryhigh",FALSE,4,4,4,1,0,10
"93","7C","mediumlow",FALSE,3,3,4,1,0,9
"94","4C","low",FALSE,2,2,2,0,0,5
"95","9C","mediumhigh",FALSE,1,1,1,-1,0,2
"96","3S","low",FALSE,4,4,2,1,2,10
"97","7S","mediumlow",FALSE,2,3,1,-1,1,5
"98","6S","mediumlow",FALSE,1,2,1,-2,1,3
"99","TS","high",FALSE,2,2,3,4,0,10
"100","4D","low",TRUE,2,2,2,2,3,10
"101","4H","low",FALSE,2,1,2,2,2,8
"102","6S","mediumlow",FALSE,3,1,5,1,4,10
"103","QC","high",FALSE,2,0,4,0,3,6
"104","AC","veryhigh",FALSE,5,3,2,3,1,10
"105","AH","veryhigh",FALSE,3,2,2,3,1,9
"106","9C","mediumhigh",FALSE,4,1,2,3,1,8
"107","QD","high",TRUE,1,0,2,3,1,7
"108","TC","high",FALSE,3,4,2,2,1,10
"109","TS","high",FALSE,4,3,2,2,0,8
"110","KS","veryhigh",FALSE,3,2,1,2,0,6
"111","QS","high",FALSE,2,1,1,2,0,5
"112","TD","high",TRUE,1,0,1,2,0,4
"113","9H","mediumhigh",FALSE,1,2,4,2,1,10
"114","2D","low",FALSE,1,1,3,0,0,5
"115","TC","high",TRUE,1,0,2,-1,0,2
"116","AD","veryhigh",TRUE,3,3,2,3,1,10
"117","JH","high",FALSE,4,2,2,3,1,9
"118","8H","mediumhigh",FALSE,3,1,2,3,0,7
"119","4D","low",TRUE,1,0,2,3,0,6
"120","AC","veryhigh",FALSE,3,5,3,0,1,10
"121","AH","veryhigh",FALSE,3,4,3,0,1,9
"122","9D","mediumhigh",TRUE,4,3,3,0,1,8
"123","9C","mediumhigh",FALSE,2,2,3,0,1,7
"124","2D","low",TRUE,3,1,3,0,1,6
"125","7D","mediumlow",TRUE,1,0,1,-1,1,2
"126","7S","mediumlow",FALSE,2,3,4,0,2,10
"127","TC","high",FALSE,2,2,2,0,1,6
"128","9S","mediumhigh",FALSE,1,1,0,0,0,2
"129","7D","mediumlow",TRUE,3,1,4,3,1,10
"130","4D","low",TRUE,2,0,3,2,1,7
"131","7H","mediumlow",FALSE,2,-1,2,1,0,3
"132","6S","mediumlow",FALSE,3,3,1,5,2,10
"133","4C","low",FALSE,2,2,1,5,0,7
"134","5D","low",FALSE,1,1,1,3,-2,2
"135","8C","mediumhigh",TRUE,2,2,2,4,4,10
"136","QS","high",FALSE,2,1,2,3,2,6
"137","3D","low",FALSE,5,1,3,4,3,10
"138","9D","mediumhigh",FALSE,3,0,3,3,2,7
"139","QS","high",TRUE,3,3,2,4,0,10
"140","KS","veryhigh",TRUE,2,2,2,4,0,9
"141","7D","mediumlow",FALSE,2,1,2,4,0,8
"142","3D","low",FALSE,1,0,2,3,0,6
"143","4D","low",TRUE,2,2,1,3,6,10
"144","9C","mediumhigh",FALSE,1,1,1,2,4,6
"145","4H","low",FALSE,4,0,1,2,4,5
"146","JD","high",TRUE,3,5,1,1,2,10
"147","QC","high",FALSE,2,4,0,1,2,8
"148","QH","high",FALSE,1,3,-2,1,1,4
"149","6C","mediumlow",FALSE,1,2,-2,1,1,3
"150","9D","mediumhigh",TRUE,2,1,-2,1,1,2
"151","JC","high",FALSE,2,1,5,1,2,10
"152","2D","low",FALSE,3,0,5,1,2,9
"153","JS","high",FALSE,3,5,3,1,0,10
"154","AS","veryhigh",FALSE,2,4,3,1,0,9
"155","6D","mediumlow",FALSE,4,3,3,1,0,8
"156","QD","high",FALSE,3,2,0,1,0,4
"157","QS","high",FALSE,1,1,0,1,0,3
"158","2D","low",FALSE,2,0,0,1,0,2
"159","QC","high",FALSE,2,1,3,5,2,10
"160","4S","low",TRUE,3,0,3,5,2,9
"161","KS","veryhigh",FALSE,5,3,1,2,6,10
"162","QC","high",FALSE,1,2,0,2,6,8
"163","4H","low",FALSE,1,1,0,2,5,6
"164","9S","mediumhigh",FALSE,3,0,0,1,4,3
"165","2C","low",FALSE,4,2,5,0,4,10
"166","3S","low",FALSE,3,1,4,-1,3,6
"167","5C","low",FALSE,2,0,4,-2,3,4
"168","AC","veryhigh",FALSE,1,5,2,1,1,10
"169","QS","high",FALSE,4,4,2,1,1,9
"170","3D","low",TRUE,5,3,2,1,1,8
"171","KS","veryhigh",FALSE,1,2,0,1,-1,3
"172","4D","low",TRUE,2,1,0,1,-1,2
"173","3C","low",FALSE,2,4,2,2,0,10
"174","QH","high",FALSE,1,3,-1,2,-2,4
"175","KS","veryhigh",TRUE,2,2,-1,1,-2,2
"176","KS","veryhigh",FALSE,4,2,2,3,2,10
"177","AC","veryhigh",FALSE,2,1,2,3,2,9
"178","4D","low",TRUE,2,0,2,3,2,8
"179","7D","mediumlow",FALSE,3,3,2,2,4,10
"180","5S","low",TRUE,2,2,1,1,1,4
"181","KD","veryhigh",FALSE,4,3,3,0,3,10
"182","AD","veryhigh",FALSE,3,2,3,0,3,9
"183","KC","veryhigh",FALSE,3,1,3,0,3,8
"184","4H","low",TRUE,1,0,3,-1,2,5
"185","QH","high",TRUE,4,2,1,3,3,10
"186","7C","mediumlow",FALSE,2,1,1,3,3,9
"187","8H","mediumhigh",TRUE,3,0,0,2,0,3
"188","6H","mediumlow",TRUE,2,-1,0,2,0,2
"189","6D","mediumlow",TRUE,2,1,5,1,4,10
"190","JD","high",FALSE,4,5,1,3,0,10
"191","QD","high",FALSE,3,4,-1,2,0,6
"192","TS","high",TRUE,2,3,-1,2,-1,4
"193","AD","veryhigh",FALSE,2,2,-1,1,-1,2
"194","9C","mediumhigh",TRUE,2,1,6,0,4,10
"195","AD","veryhigh",FALSE,5,3,1,2,3,10
"196","9D","mediumhigh",FALSE,4,2,1,2,3,9
"197","8C","mediumhigh",FALSE,2,1,1,1,3,7
"198","4C","low",TRUE,4,2,1,4,4,10
"199","AS","veryhigh",FALSE,3,2,4,1,4,10
"200","7H","mediumlow",FALSE,2,1,4,1,4,9
"201","5D","low",TRUE,2,0,4,-1,3,5
"202","AD","veryhigh",FALSE,7,1,3,2,6,10
"203","4D","low",FALSE,6,0,3,2,6,9
"204","AH","veryhigh",FALSE,4,2,1,4,5,10
"205","6C","mediumlow",TRUE,2,1,1,4,5,9
"206","KS","veryhigh",FALSE,3,3,1,3,5,10
"207","KC","veryhigh",FALSE,5,2,1,3,4,8
"208","TS","high",FALSE,2,1,1,3,4,7
"209","6H","mediumlow",TRUE,5,3,1,5,0,10
"210","7H","mediumlow",TRUE,4,2,1,5,0,9
"211","8H","mediumhigh",TRUE,2,1,-2,4,0,4
