"","card","rankCategory","trump","numSuitInHand","tricksToWin0","tricksToWin1","tricksToWin2","tricksToWin3","tricksLeft"
"1","JC","high",FALSE,3,1,4,2,1,10
"2","2C","low",FALSE,2,0,2,2,0,6
"3","6H","mediumlow",TRUE,1,-1,2,1,0,4
"4","KH","veryhigh",FALSE,4,3,1,5,2,10
"5","9H","mediumhigh",FALSE,3,2,1,4,2,8
"6","8C","mediumhigh",FALSE,1,1,0,4,0,4
"7","4H","low",FALSE,2,0,0,4,-1,2
"8","8S","mediumhigh",FALSE,4,1,3,5,2,10
"9","5D","low",TRUE,1,0,0,5,2,6
"10","JH","high",TRUE,3,5,1,1,2,10
"11","TH","high",TRUE,2,4,1,0,1,7
"12","AS","veryhigh",FALSE,3,3,1,0,1,6
"13","QD","high",FALSE,2,2,1,0,1,5
"14","TH","high",FALSE,4,2,5,1,3,10
"15","4S","low",FALSE,3,1,5,0,3,8
"16","8H","mediumhigh",FALSE,1,0,4,-1,0,2
"17","5H","low",FALSE,6,0,6,1,2,10
"18","KH","veryhigh",FALSE,5,-1,6,1,2,9
"19","9S","mediumhigh",FALSE,2,3,3,1,2,10
"20","7H","mediumlow",TRUE,5,2,3,0,1,7
"21","4H","low",TRUE,2,1,1,-1,1,3
"22","5C","low",FALSE,3,3,3,1,2,10
"23","5D","low",TRUE,3,2,3,0,2,8
"24","4D","low",TRUE,2,1,1,-2,1,2
"25","QH","high",FALSE,4,4,2,0,3,10
"26","JS","high",FALSE,3,3,2,0,3,9
"27","AD","veryhigh",TRUE,2,2,1,-1,3,6
"28","TH","high",FALSE,3,1,1,-1,3,5
"29","2S","low",FALSE,1,0,0,-1,3,3
"30","AC","veryhigh",TRUE,5,6,1,0,2,10
"31","AH","veryhigh",FALSE,4,5,1,0,2,9
"32","4H","low",FALSE,3,4,1,0,2,8
"33","TD","high",FALSE,1,3,1,-1,2,6
"34","5H","low",FALSE,2,2,1,-1,2,5
"35","8H","mediumhigh",FALSE,1,1,1,-1,2,4
"36","TC","high",TRUE,3,0,1,-1,2,3
"37","AS","veryhigh",FALSE,3,2,6,0,1,10
"38","7H","mediumlow",FALSE,4,1,6,0,1,9
"39","2S","low",FALSE,2,0,2,0,1,4
"40","8S","mediumhigh",FALSE,1,2,4,1,2,10
"41","8C","mediumhigh",FALSE,3,1,4,0,2,8
"42","6D","mediumlow",TRUE,1,0,4,-1,1,5
"43","AD","veryhigh",FALSE,2,4,2,0,3,10
"44","6C","mediumlow",FALSE,4,3,2,0,3,9
"45","2C","low",FALSE,2,2,-1,0,2,4
"46","7S","mediumlow",FALSE,2,2,6,1,0,10
"47","QD","high",FALSE,2,1,4,-1,0,5
"48","6C","mediumlow",TRUE,1,0,4,-1,0,4
"49","9H","mediumhigh",FALSE,1,2,3,3,3,10
"50","2C","low",FALSE,3,1,3,2,3,8
"51","QS","high",FALSE,4,2,2,7,0,10
"52","JS","high",FALSE,3,1,2,6,-1,7
"53","6H","mediumlow",TRUE,2,0,2,6,-1,6
"54","5D","low",FALSE,3,3,2,1,5,10
"55","QS","high",FALSE,2,2,2,0,5,8
"56","5H","low",FALSE,3,1,2,0,5,7
"57","TH","high",FALSE,2,0,2,0,3,4
"58","AD","veryhigh",FALSE,1,-1,2,-1,3,2
"59","7D","mediumlow",FALSE,3,2,1,5,4,10
"60","8H","mediumhigh",FALSE,2,1,1,5,3,8
"61","6C","mediumlow",TRUE,2,0,0,4,0,2
"62","2S","low",FALSE,2,2,3,2,2,10
"63","JC","high",FALSE,2,1,1,2,2,7
"64","5H","low",TRUE,2,0,1,2,2,6
"65","JH","high",TRUE,1,-1,0,1,2,3
"66","6D","mediumlow",TRUE,2,1,2,4,2,10
"67","3D","low",TRUE,1,0,1,4,2,8
"68","QH","high",FALSE,5,-1,1,3,2,6
"69","2D","low",FALSE,2,1,3,4,0,10
