winner,score1,score2,score3,score0,score4,dealer,round1,round2,round3,round4,round5,round6,round7,round8,round9,round10,round11,round12,round13,round14,round15,round16,round17,round18,round19
4,155,123,145,111,165,3,"[12, 12, 12, 12, 0]","[0, 13, 0, 11, 0]","[11, 12, 12, 11, 0]","[12, 0, 11, 10, 12]","[10, 0, 0, 0, 10]","[0, 10, 11, 0, 11]","[10, 11, 11, 11, 0]","[0, 10, 11, 11, 11]","[0, 10, 10, 10, 10]","[10, 10, 0, 10, 10]","[10, 10, 11, 0, 11]","[0, 10, 0, 0, 10]","[0, 10, 0, 12, 10]","[11, 0, 0, 0, 10]","[0, 0, 0, 12, 11]","[13, 0, 11, 11, 11]","[0, 12, 12, 0, 13]","[0, 14, 11, 11, 13]","[12, 11, 0, 13, 12]"
0,145,145,127,168,133,4,"[13, 12, 10, 13, 0]","[0, 11, 14, 11, 11]","[0, 0, 0, 12, 11]","[11, 13, 11, 0, 11]","[11, 12, 0, 10, 12]","[12, 11, 10, 10, 0]","[12, 10, 0, 11, 11]","[10, 0, 0, 10, 0]","[10, 0, 10, 10, 11]","[10, 10, 10, 0, 10]","[11, 10, 0, 10, 11]","[10, 0, 11, 10, 0]","[10, 13, 11, 10, 0]","[12, 12, 10, 0, 10]","[0, 0, 10, 0, 10]","[11, 0, 11, 0, 0]","[11, 10, 14, 0, 13]","[14, 11, 13, 10, 0]","[0, 10, 0, 0, 12]"
0,113,139,136,153,110,0,"[12, 12, 12, 14, 0]","[10, 0, 13, 12, 11]","[0, 11, 13, 10, 11]","[12, 10, 0, 0, 11]","[0, 0, 12, 12, 0]","[12, 10, 0, 10, 10]","[11, 10, 11, 10, 0]","[10, 10, 10, 0, 0]","[10, 10, 0, 10, 11]","[10, 10, 0, 0, 0]","[0, 10, 11, 11, 10]","[0, 0, 10, 0, 11]","[11, 0, 0, 12, 0]","[10, 0, 13, 11, 11]","[11, 10, 12, 0, 12]","[0, 10, 0, 0, 0]","[11, 0, 0, 11, 0]","[12, 0, 10, 0, 0]","[11, 0, 12, 13, 12]"
4,164,169,86,99,177,1,"[0, 11, 13, 11, 12]","[11, 0, 11, 0, 12]","[12, 12, 11, 0, 12]","[12, 10, 0, 0, 14]","[12, 12, 12, 0, 10]","[10, 0, 0, 0, 13]","[11, 10, 11, 0, 10]","[10, 12, 11, 0, 10]","[11, 10, 10, 10, 0]","[0, 10, 10, 11, 10]","[10, 10, 10, 10, 0]","[0, 10, 12, 10, 10]","[0, 11, 0, 0, 10]","[0, 0, 10, 0, 11]","[0, 10, 12, 13, 10]","[0, 0, 11, 0, 11]","[0, 10, 0, 0, 0]","[0, 14, 13, 10, 11]","[0, 12, 12, 11, 11]"
2,151,178,128,108,141,2,"[0, 0, 13, 13, 11]","[11, 0, 0, 0, 10]","[12, 13, 11, 0, 10]","[0, 0, 11, 10, 0]","[0, 11, 10, 10, 12]","[11, 11, 12, 10, 0]","[0, 11, 10, 10, 12]","[0, 11, 10, 0, 0]","[0, 11, 10, 0, 0]","[10, 0, 10, 10, 11]","[11, 10, 0, 11, 10]","[10, 11, 11, 0, 10]","[10, 0, 10, 0, 11]","[11, 13, 10, 10, 0]","[12, 11, 12, 0, 11]","[10, 13, 11, 10, 0]","[0, 0, 0, 13, 10]","[0, 14, 12, 10, 10]","[0, 11, 15, 11, 13]"
1,174,125,155,142,115,3,"[12, 12, 16, 10, 0]","[13, 11, 11, 12, 0]","[13, 12, 11, 10, 0]","[10, 12, 0, 12, 13]","[11, 11, 0, 10, 13]","[11, 10, 10, 11, 0]","[10, 0, 0, 10, 0]","[0, 10, 0, 0, 10]","[10, 11, 0, 10, 11]","[0, 10, 10, 10, 10]","[10, 10, 0, 10, 10]","[0, 11, 11, 0, 0]","[0, 10, 10, 0, 12]","[10, 10, 11, 0, 0]","[0, 0, 11, 14, 0]","[11, 0, 12, 0, 12]","[10, 12, 0, 13, 11]","[11, 12, 12, 12, 0]","[0, 10, 0, 11, 13]"
0,109,133,130,134,124,4,"[11, 0, 15, 13, 11]","[12, 0, 12, 0, 0]","[12, 11, 11, 0, 10]","[0, 0, 0, 11, 14]","[11, 0, 0, 10, 0]","[0, 0, 10, 10, 0]","[0, 10, 10, 11, 11]","[0, 0, 10, 11, 0]","[0, 10, 0, 0, 10]","[11, 10, 10, 0, 10]","[11, 0, 11, 10, 0]","[10, 10, 0, 11, 10]","[11, 10, 10, 12, 0]","[10, 0, 0, 10, 13]","[0, 11, 12, 10, 10]","[11, 11, 12, 0, 12]","[0, 0, 0, 0, 13]","[12, 11, 0, 0, 0]","[12, 15, 10, 11, 0]"
2,112,157,114,131,121,0,"[14, 12, 0, 0, 0]","[10, 0, 0, 11, 13]","[0, 13, 13, 10, 11]","[12, 0, 11, 0, 0]","[10, 0, 0, 0, 0]","[10, 0, 12, 10, 10]","[10, 0, 11, 0, 10]","[11, 0, 0, 10, 0]","[11, 10, 10, 10, 0]","[0, 10, 10, 10, 10]","[0, 11, 10, 10, 11]","[0, 11, 10, 11, 10]","[0, 11, 12, 10, 10]","[0, 0, 11, 0, 0]","[11, 11, 11, 10, 0]","[10, 12, 11, 0, 12]","[0, 0, 13, 0, 10]","[10, 11, 0, 12, 14]","[12, 0, 12, 0, 0]"
0,163,107,153,172,101,1,"[11, 10, 0, 0, 14]","[13, 0, 0, 13, 10]","[16, 10, 0, 10, 11]","[12, 0, 11, 11, 0]","[0, 12, 12, 0, 11]","[11, 0, 11, 10, 12]","[10, 11, 10, 0, 12]","[11, 10, 11, 11, 0]","[10, 11, 10, 11, 0]","[10, 10, 0, 10, 11]","[11, 10, 0, 10, 10]","[0, 10, 0, 11, 10]","[11, 12, 10, 10, 0]","[10, 12, 12, 11, 0]","[0, 11, 10, 12, 0]","[0, 11, 10, 0, 0]","[13, 12, 0, 11, 0]","[10, 0, 0, 0, 0]","[13, 11, 0, 12, 0]"
2,140,147,133,141,142,2,"[0, 12, 12, 12, 12]","[12, 10, 12, 12, 0]","[0, 11, 12, 0, 0]","[11, 0, 13, 11, 10]","[11, 0, 0, 11, 11]","[0, 0, 10, 11, 10]","[10, 0, 10, 0, 0]","[10, 10, 12, 0, 10]","[0, 10, 11, 10, 11]","[11, 0, 10, 10, 10]","[11, 10, 0, 10, 11]","[10, 11, 10, 0, 11]","[10, 11, 0, 11, 12]","[0, 10, 0, 10, 0]","[10, 12, 11, 0, 12]","[0, 0, 0, 12, 10]","[12, 11, 11, 0, 12]","[13, 11, 0, 0, 0]","[10, 11, 13, 13, 0]"
