winner,score1,score2,score3,score0,dealer,round1,round2,round3,round4,round5,round6,round7,round8,round9,round10,round11,round12,round13,round14,round15,round16,round17,round18,round19
0,103,147,106,167,3,"[10, 14, 13, 0]","[12, 0, 14, 10]","[0, 13, 0, 10]","[11, 0, 0, 0]","[11, 0, 10, 12]","[11, 11, 0, 10]","[11, 11, 11, 0]","[10, 10, 0, 11]","[10, 10, 12, 0]","[0, 11, 10, 10]","[11, 0, 10, 10]","[10, 0, 10, 11]","[10, 0, 10, 0]","[0, 0, 11, 0]","[0, 0, 0, 0]","[12, 11, 13, 0]","[14, 0, 12, 10]","[14, 12, 11, 0]","[10, 0, 0, 12]"
1,149,144,127,122,0,"[0, 14, 13, 11]","[12, 0, 0, 0]","[0, 11, 0, 0]","[12, 0, 0, 0]","[10, 13, 12, 0]","[13, 0, 11, 11]","[12, 12, 0, 10]","[10, 0, 10, 10]","[10, 10, 11, 0]","[10, 0, 11, 10]","[10, 11, 10, 0]","[0, 11, 10, 10]","[0, 10, 12, 0]","[0, 11, 11, 12]","[0, 0, 10, 11]","[11, 12, 12, 0]","[0, 11, 11, 16]","[12, 11, 0, 13]","[0, 12, 0, 13]"
0,141,136,128,166,1,"[0, 10, 13, 12]","[11, 13, 10, 0]","[12, 0, 11, 12]","[0, 0, 0, 13]","[12, 11, 11, 0]","[10, 0, 12, 12]","[11, 11, 10, 0]","[10, 11, 11, 0]","[11, 10, 0, 11]","[10, 10, 0, 10]","[10, 11, 11, 0]","[0, 10, 0, 0]","[10, 11, 0, 12]","[10, 0, 11, 12]","[11, 12, 0, 13]","[0, 0, 0, 11]","[11, 10, 12, 0]","[14, 11, 10, 0]","[13, 0, 14, 10]"
0,130,134,96,139,2,"[0, 16, 10, 0]","[12, 0, 0, 0]","[10, 12, 0, 0]","[10, 0, 0, 12]","[10, 0, 11, 0]","[10, 13, 11, 0]","[0, 10, 12, 10]","[11, 10, 0, 10]","[10, 0, 10, 11]","[10, 11, 10, 0]","[12, 10, 10, 0]","[10, 0, 12, 11]","[11, 11, 0, 10]","[12, 0, 0, 0]","[0, 14, 11, 10]","[0, 10, 12, 11]","[0, 13, 12, 11]","[11, 0, 13, 0]","[0, 0, 0, 0]"
3,125,100,148,132,3,"[10, 14, 0, 13]","[0, 0, 0, 12]","[13, 0, 12, 0]","[0, 12, 0, 11]","[0, 0, 11, 0]","[0, 11, 11, 12]","[10, 11, 0, 0]","[10, 0, 13, 10]","[10, 0, 10, 11]","[0, 10, 11, 10]","[11, 0, 10, 10]","[10, 11, 0, 0]","[10, 11, 0, 10]","[13, 10, 0, 11]","[0, 0, 11, 0]","[11, 0, 11, 11]","[11, 11, 0, 15]","[13, 13, 0, 12]","[0, 11, 0, 0]"
2,119,160,151,111,0,"[0, 0, 0, 10]","[10, 0, 12, 13]","[0, 14, 12, 11]","[0, 12, 14, 10]","[0, 12, 0, 0]","[12, 12, 0, 11]","[0, 11, 11, 0]","[0, 11, 10, 0]","[12, 0, 10, 10]","[10, 0, 11, 10]","[11, 0, 10, 10]","[10, 11, 11, 0]","[12, 11, 0, 11]","[0, 11, 13, 11]","[11, 0, 12, 10]","[12, 0, 11, 10]","[0, 0, 12, 0]","[11, 0, 0, 11]","[0, 14, 11, 13]"
1,163,111,113,152,1,"[13, 0, 0, 0]","[13, 11, 0, 12]","[12, 11, 0, 12]","[14, 11, 12, 0]","[0, 12, 11, 0]","[12, 10, 11, 0]","[11, 11, 10, 0]","[0, 11, 10, 0]","[0, 10, 10, 10]","[11, 10, 0, 10]","[10, 11, 11, 0]","[0, 0, 11, 10]","[10, 11, 0, 12]","[12, 0, 0, 10]","[11, 11, 0, 12]","[0, 11, 0, 12]","[12, 10, 0, 13]","[0, 0, 13, 0]","[11, 12, 12, 0]"
2,138,150,141,109,2,"[12, 11, 0, 13]","[0, 13, 11, 15]","[0, 0, 0, 0]","[0, 0, 0, 12]","[12, 13, 0, 11]","[10, 0, 13, 11]","[10, 11, 12, 0]","[0, 0, 10, 0]","[11, 10, 0, 11]","[10, 10, 10, 0]","[0, 11, 10, 10]","[0, 11, 10, 11]","[0, 12, 11, 10]","[10, 0, 13, 12]","[11, 0, 12, 11]","[0, 14, 12, 0]","[10, 11, 11, 0]","[13, 0, 0, 14]","[0, 11, 15, 0]"
0,43,157,143,161,3,"[13, 0, 12, 0]","[15, 0, 14, 0]","[0, 0, 0, 13]","[11, 0, 0, 11]","[10, 0, 13, 11]","[0, 11, 0, 10]","[11, 0, 12, 10]","[11, 0, 10, 11]","[10, 11, 10, 0]","[0, 10, 10, 10]","[11, 0, 11, 10]","[10, 0, 10, 10]","[12, 11, 10, 0]","[12, 0, 0, 0]","[0, 0, 0, 13]","[11, 0, 10, 0]","[12, 0, 12, 11]","[0, 0, 10, 10]","[12, 0, 13, 13]"
0,139,91,127,146,0,"[0, 11, 0, 0]","[12, 14, 0, 11]","[11, 0, 12, 11]","[11, 12, 0, 0]","[0, 11, 0, 11]","[13, 11, 11, 0]","[11, 12, 0, 10]","[10, 0, 0, 0]","[0, 11, 10, 11]","[10, 0, 10, 11]","[10, 0, 11, 11]","[11, 0, 10, 10]","[0, 0, 0, 10]","[10, 10, 12, 0]","[0, 11, 0, 0]","[13, 13, 0, 10]","[0, 11, 15, 11]","[13, 0, 0, 10]","[11, 12, 0, 0]"
