winner,score1,score2,score3,score0,dealer,round1,round2,round3,round4,round5,round6,round7,round8,round9,round10,round11,round12,round13,round14,round15,round16,round17,round18,round19
0,130,136,77,167,3,"[11, 13, 12, 0]","[0, 0, 0, 10]","[11, 12, 0, 11]","[12, 11, 14, 0]","[12, 10, 12, 0]","[10, 11, 0, 0]","[11, 10, 0, 0]","[10, 0, 0, 0]","[11, 10, 10, 0]","[0, 10, 10, 10]","[0, 11, 11, 10]","[10, 0, 10, 10]","[11, 10, 11, 0]","[11, 11, 11, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[10, 0, 13, 12]","[12, 0, 11, 14]","[15, 11, 11, 0]"
2,121,149,80,113,0,"[0, 12, 0, 0]","[11, 0, 12, 0]","[12, 13, 11, 0]","[0, 10, 11, 0]","[12, 0, 10, 11]","[10, 0, 12, 11]","[12, 11, 0, 11]","[0, 10, 10, 0]","[10, 0, 10, 0]","[0, 10, 10, 10]","[11, 10, 10, 0]","[0, 10, 10, 0]","[11, 11, 11, 0]","[13, 0, 0, 0]","[0, 10, 10, 12]","[0, 0, 11, 0]","[0, 14, 11, 12]","[11, 0, 0, 0]","[0, 0, 0, 13]"
0,99,122,142,160,1,"[0, 0, 0, 0]","[12, 0, 0, 12]","[12, 0, 0, 11]","[11, 0, 14, 10]","[12, 0, 0, 0]","[0, 0, 0, 11]","[10, 12, 10, 12]","[10, 10, 11, 0]","[11, 11, 10, 10]","[10, 11, 0, 10]","[10, 10, 11, 0]","[0, 0, 10, 0]","[10, 0, 12, 10]","[0, 11, 10, 12]","[14, 11, 0, 11]","[0, 0, 11, 11]","[13, 0, 12, 11]","[12, 11, 11, 0]","[13, 12, 0, 11]"
2,109,144,86,138,2,"[11, 0, 11, 16]","[16, 11, 11, 0]","[0, 0, 13, 0]","[0, 11, 12, 0]","[11, 0, 0, 0]","[0, 0, 0, 12]","[11, 10, 0, 0]","[12, 10, 10, 0]","[0, 11, 11, 10]","[10, 11, 10, 0]","[10, 11, 10, 0]","[0, 0, 0, 10]","[11, 0, 0, 10]","[11, 10, 10, 14]","[0, 11, 0, 0]","[11, 0, 12, 0]","[12, 0, 11, 0]","[12, 13, 12, 0]","[0, 0, 11, 14]"
3,100,108,133,119,3,"[0, 0, 0, 0]","[0, 10, 0, 0]","[0, 15, 13, 10]","[0, 0, 0, 0]","[11, 0, 10, 15]","[11, 0, 10, 12]","[10, 12, 10, 0]","[10, 11, 0, 10]","[10, 10, 0, 10]","[10, 0, 10, 10]","[11, 0, 10, 11]","[0, 0, 0, 10]","[10, 11, 12, 0]","[10, 11, 0, 11]","[0, 10, 12, 11]","[11, 0, 10, 12]","[0, 0, 11, 0]","[15, 10, 0, 0]","[0, 0, 0, 11]"
0,109,138,113,173,0,"[11, 0, 0, 11]","[13, 0, 14, 11]","[14, 11, 0, 12]","[11, 0, 11, 0]","[14, 11, 0, 0]","[11, 10, 0, 10]","[0, 11, 11, 11]","[0, 10, 0, 10]","[10, 10, 10, 0]","[10, 0, 10, 11]","[10, 0, 0, 0]","[0, 10, 10, 0]","[10, 0, 12, 10]","[11, 0, 11, 0]","[0, 10, 11, 0]","[12, 12, 12, 0]","[12, 0, 12, 0]","[10, 0, 14, 15]","[14, 14, 0, 12]"
1,157,115,136,101,1,"[12, 13, 0, 13]","[0, 12, 0, 11]","[12, 14, 10, 0]","[10, 12, 11, 0]","[0, 0, 0, 12]","[11, 11, 10, 0]","[12, 10, 10, 0]","[0, 11, 10, 10]","[11, 0, 11, 10]","[10, 10, 0, 11]","[0, 10, 10, 12]","[0, 10, 10, 0]","[0, 0, 11, 10]","[0, 13, 11, 10]","[0, 11, 0, 11]","[10, 0, 0, 0]","[0, 10, 0, 13]","[13, 10, 0, 13]","[0, 0, 11, 0]"
1,194,110,143,163,2,"[13, 0, 12, 12]","[11, 13, 0, 11]","[14, 12, 0, 0]","[0, 14, 11, 0]","[11, 11, 0, 13]","[0, 11, 10, 13]","[11, 10, 12, 0]","[12, 0, 10, 10]","[11, 10, 0, 11]","[11, 10, 10, 0]","[0, 10, 11, 10]","[0, 10, 0, 0]","[10, 11, 0, 11]","[10, 11, 13, 0]","[13, 10, 0, 13]","[13, 11, 10, 0]","[11, 11, 0, 13]","[0, 13, 11, 14]","[12, 16, 0, 12]"
2,128,159,84,136,3,"[0, 11, 0, 0]","[11, 0, 12, 0]","[10, 0, 14, 11]","[10, 0, 13, 0]","[0, 10, 13, 10]","[0, 12, 0, 0]","[10, 12, 0, 11]","[10, 12, 11, 0]","[10, 0, 10, 10]","[10, 0, 10, 10]","[10, 12, 10, 0]","[11, 11, 0, 11]","[10, 12, 10, 0]","[0, 12, 11, 11]","[0, 0, 0, 10]","[0, 13, 10, 0]","[11, 0, 11, 0]","[12, 11, 13, 0]","[11, 0, 11, 0]"
1,177,123,76,144,0,"[0, 11, 14, 0]","[13, 13, 0, 11]","[13, 13, 11, 0]","[0, 11, 12, 11]","[12, 10, 0, 0]","[10, 14, 11, 0]","[0, 12, 0, 10]","[10, 11, 0, 0]","[10, 10, 0, 10]","[10, 10, 10, 0]","[10, 0, 11, 10]","[12, 10, 10, 0]","[10, 11, 10, 0]","[11, 0, 0, 0]","[0, 11, 13, 12]","[11, 14, 10, 0]","[0, 0, 0, 12]","[0, 16, 11, 0]","[12, 0, 0, 0]"
1,162,134,101,141,1,"[0, 15, 11, 0]","[14, 0, 11, 0]","[13, 11, 11, 0]","[10, 12, 0, 12]","[0, 11, 11, 0]","[0, 12, 13, 10]","[11, 0, 0, 0]","[10, 0, 12, 10]","[10, 10, 0, 10]","[10, 10, 0, 11]","[10, 10, 0, 0]","[10, 11, 10, 0]","[12, 11, 0, 10]","[10, 12, 10, 0]","[10, 0, 13, 12]","[0, 0, 10, 14]","[0, 11, 12, 12]","[0, 14, 10, 0]","[11, 12, 0, 0]"
3,124,125,145,128,2,"[14, 0, 12, 12]","[12, 13, 0, 10]","[0, 0, 10, 0]","[12, 0, 11, 0]","[12, 0, 0, 11]","[11, 10, 12, 0]","[0, 0, 0, 10]","[0, 0, 0, 10]","[0, 0, 0, 10]","[10, 11, 10, 0]","[0, 10, 10, 11]","[0, 12, 10, 11]","[11, 12, 0, 10]","[11, 12, 10, 0]","[11, 0, 12, 12]","[12, 10, 0, 14]","[12, 11, 0, 13]","[0, 11, 14, 0]","[0, 12, 14, 11]"
1,125,122,90,125,3,"[12, 13, 12, 0]","[0, 12, 0, 0]","[10, 10, 0, 12]","[0, 0, 0, 12]","[10, 13, 12, 0]","[0, 13, 10, 11]","[10, 0, 0, 0]","[0, 0, 0, 10]","[11, 10, 11, 10]","[0, 10, 10, 11]","[0, 0, 10, 0]","[10, 11, 0, 0]","[11, 10, 0, 0]","[10, 12, 11, 0]","[0, 0, 11, 0]","[13, 11, 0, 12]","[11, 0, 13, 0]","[0, 0, 10, 12]","[17, 0, 12, 0]"
3,128,120,159,118,0,"[0, 14, 10, 13]","[0, 15, 11, 0]","[0, 10, 12, 10]","[10, 11, 0, 14]","[0, 13, 0, 0]","[12, 0, 0, 10]","[0, 12, 10, 11]","[10, 11, 0, 0]","[10, 0, 10, 10]","[10, 0, 10, 11]","[10, 10, 0, 10]","[10, 0, 0, 0]","[10, 0, 12, 10]","[11, 11, 12, 0]","[12, 11, 0, 12]","[0, 0, 12, 11]","[0, 0, 10, 11]","[0, 10, 11, 13]","[13, 0, 0, 13]"
1,140,125,117,134,1,"[12, 11, 13, 0]","[0, 15, 12, 10]","[0, 12, 11, 11]","[14, 0, 13, 10]","[10, 0, 14, 10]","[12, 10, 0, 12]","[0, 0, 0, 10]","[0, 0, 10, 11]","[10, 10, 0, 11]","[10, 10, 10, 0]","[11, 11, 10, 0]","[10, 10, 10, 0]","[0, 13, 11, 10]","[10, 0, 0, 0]","[10, 12, 0, 0]","[12, 0, 0, 11]","[0, 0, 0, 11]","[13, 15, 11, 0]","[0, 11, 0, 0]"
2,108,125,113,110,2,"[0, 16, 11, 11]","[12, 0, 0, 0]","[12, 0, 11, 14]","[0, 14, 10, 13]","[12, 0, 11, 10]","[0, 12, 10, 0]","[0, 0, 0, 11]","[0, 0, 10, 10]","[11, 0, 11, 10]","[10, 0, 10, 11]","[12, 10, 10, 0]","[10, 13, 10, 0]","[11, 11, 0, 0]","[0, 0, 10, 10]","[0, 10, 0, 0]","[10, 0, 11, 13]","[0, 0, 0, 0]","[0, 12, 0, 0]","[10, 10, 0, 0]"
1,173,138,119,133,3,"[14, 14, 0, 10]","[14, 11, 13, 0]","[17, 10, 0, 10]","[0, 13, 11, 12]","[12, 12, 10, 0]","[0, 11, 0, 0]","[10, 0, 12, 0]","[0, 10, 0, 0]","[11, 10, 0, 10]","[10, 0, 10, 10]","[0, 11, 10, 10]","[0, 11, 11, 10]","[10, 11, 12, 0]","[0, 0, 10, 0]","[0, 13, 11, 11]","[13, 10, 0, 13]","[11, 13, 0, 0]","[0, 13, 14, 11]","[11, 0, 14, 12]"
1,148,138,111,139,0,"[12, 14, 12, 0]","[0, 11, 0, 13]","[10, 0, 0, 0]","[0, 12, 0, 0]","[15, 11, 10, 0]","[0, 12, 12, 11]","[11, 0, 13, 10]","[10, 10, 0, 13]","[0, 11, 10, 10]","[10, 0, 11, 10]","[10, 0, 12, 10]","[0, 10, 11, 0]","[12, 10, 0, 0]","[11, 0, 11, 0]","[0, 13, 11, 11]","[0, 11, 12, 13]","[11, 0, 13, 10]","[16, 11, 0, 0]","[11, 12, 0, 0]"
0,117,126,110,149,1,"[14, 10, 14, 0]","[0, 0, 11, 0]","[13, 11, 13, 0]","[11, 0, 11, 0]","[11, 0, 12, 11]","[11, 12, 0, 11]","[0, 10, 0, 0]","[11, 11, 0, 10]","[11, 11, 10, 10]","[11, 10, 0, 10]","[10, 0, 10, 11]","[10, 0, 12, 10]","[0, 10, 11, 12]","[12, 10, 11, 0]","[0, 0, 11, 0]","[0, 0, 0, 12]","[10, 10, 0, 13]","[0, 12, 0, 0]","[14, 0, 0, 0]"
0,104,122,75,126,2,"[11, 0, 12, 0]","[0, 0, 12, 0]","[0, 11, 13, 0]","[12, 0, 0, 11]","[11, 0, 0, 0]","[13, 11, 10, 0]","[0, 10, 0, 0]","[10, 0, 10, 0]","[0, 10, 10, 10]","[0, 10, 10, 10]","[11, 10, 10, 0]","[11, 0, 11, 10]","[11, 10, 0, 11]","[0, 11, 0, 0]","[13, 11, 11, 0]","[11, 0, 13, 11]","[0, 10, 0, 0]","[0, 0, 0, 12]","[12, 0, 0, 0]"
2,135,146,132,134,3,"[0, 0, 12, 11]","[10, 0, 13, 14]","[12, 14, 0, 0]","[13, 10, 12, 0]","[11, 0, 12, 10]","[10, 13, 0, 11]","[0, 12, 11, 10]","[11, 10, 11, 0]","[10, 0, 0, 10]","[0, 10, 11, 10]","[10, 10, 10, 0]","[0, 10, 10, 11]","[11, 11, 10, 0]","[14, 0, 10, 0]","[0, 11, 13, 10]","[0, 13, 11, 12]","[12, 11, 0, 0]","[10, 0, 0, 11]","[0, 0, 0, 12]"
0,146,83,141,159,0,"[11, 0, 0, 0]","[0, 13, 14, 11]","[13, 11, 0, 0]","[11, 11, 0, 11]","[12, 11, 0, 11]","[12, 0, 11, 11]","[0, 11, 0, 10]","[11, 10, 0, 12]","[10, 0, 0, 0]","[0, 10, 10, 10]","[10, 10, 0, 10]","[10, 11, 11, 0]","[0, 0, 11, 10]","[0, 10, 0, 0]","[11, 0, 14, 0]","[11, 14, 0, 11]","[14, 0, 12, 11]","[12, 11, 0, 11]","[11, 13, 0, 12]"
0,107,78,110,130,1,"[0, 11, 0, 0]","[16, 10, 0, 12]","[11, 0, 0, 11]","[14, 0, 0, 11]","[0, 12, 12, 11]","[11, 12, 10, 0]","[12, 10, 0, 0]","[10, 10, 13, 10]","[11, 0, 0, 0]","[10, 10, 0, 11]","[10, 11, 10, 0]","[0, 10, 0, 10]","[0, 0, 0, 11]","[0, 11, 0, 11]","[0, 0, 11, 0]","[0, 0, 0, 0]","[13, 0, 11, 12]","[0, 0, 0, 0]","[12, 0, 11, 0]"
