winner,score1,score2,score3,score0,dealer,round1,round2,round3,round4,round5,round6,round7,round8,round9,round10,round11,round12,round13,round14,round15,round16,round17,round18,round19
2,110,110,96,110,0,"[0, 12, 13, 13]","[12, 11, 0, 14]","[0, 11, 0, 13]","[13, 0, 12, 0]","[0, 10, 0, 0]","[12, 0, 11, 0]","[0, 0, 0, 0]","[11, 0, 10, 0]","[0, 11, 10, 10]","[10, 0, 10, 11]","[10, 0, 10, 0]","[10, 10, 0, 0]","[10, 0, 10, 0]","[0, 0, 0, 0]","[0, 12, 11, 11]","[0, 10, 13, 12]","[10, 13, 0, 12]","[12, 10, 0, 0]","[0, 0, 0, 0]"
0,110,147,135,155,1,"[0, 0, 13, 13]","[13, 0, 11, 12]","[12, 12, 0, 11]","[10, 0, 12, 11]","[12, 12, 12, 0]","[10, 0, 10, 0]","[0, 0, 10, 0]","[10, 11, 10, 0]","[11, 0, 11, 10]","[10, 10, 0, 10]","[11, 10, 10, 0]","[0, 10, 11, 12]","[0, 11, 10, 10]","[11, 12, 0, 10]","[12, 12, 0, 12]","[10, 10, 16, 0]","[11, 0, 11, 13]","[0, 0, 0, 11]","[12, 0, 0, 0]"
3,132,131,169,122,2,"[11, 0, 0, 0]","[0, 0, 11, 14]","[11, 0, 10, 14]","[11, 0, 12, 12]","[0, 0, 12, 12]","[11, 12, 0, 11]","[0, 0, 0, 10]","[13, 10, 10, 0]","[11, 11, 0, 10]","[10, 10, 11, 0]","[0, 11, 10, 10]","[11, 10, 11, 0]","[10, 11, 0, 0]","[0, 10, 10, 13]","[11, 0, 0, 10]","[0, 13, 12, 11]","[0, 10, 10, 16]","[12, 11, 0, 15]","[0, 13, 12, 11]"
1,156,145,90,147,3,"[11, 13, 12, 0]","[10, 14, 0, 0]","[0, 13, 11, 11]","[0, 0, 10, 0]","[13, 0, 11, 11]","[11, 11, 10, 0]","[11, 12, 0, 11]","[10, 0, 13, 10]","[11, 10, 10, 0]","[0, 10, 11, 10]","[0, 10, 10, 11]","[11, 10, 0, 0]","[0, 10, 12, 0]","[10, 11, 0, 13]","[11, 0, 12, 13]","[11, 12, 0, 0]","[0, 10, 0, 0]","[14, 0, 11, 0]","[13, 10, 12, 0]"
3,137,113,139,117,0,"[0, 0, 0, 11]","[0, 11, 12, 11]","[12, 12, 0, 13]","[11, 0, 12, 13]","[10, 13, 0, 10]","[0, 12, 10, 0]","[0, 12, 10, 10]","[10, 10, 0, 13]","[11, 0, 10, 11]","[10, 0, 11, 10]","[10, 11, 0, 10]","[0, 10, 0, 0]","[11, 11, 12, 0]","[10, 0, 11, 0]","[0, 10, 0, 0]","[12, 13, 11, 0]","[0, 0, 0, 12]","[0, 12, 0, 0]","[10, 0, 14, 15]"
0,113,131,147,160,1,"[10, 0, 14, 13]","[13, 11, 0, 12]","[14, 10, 11, 0]","[13, 0, 11, 11]","[10, 0, 11, 0]","[11, 11, 10, 0]","[10, 0, 0, 10]","[0, 11, 11, 11]","[0, 10, 0, 10]","[10, 11, 0, 10]","[10, 11, 10, 11]","[10, 0, 0, 0]","[0, 11, 10, 13]","[11, 0, 10, 12]","[0, 12, 11, 12]","[11, 15, 10, 0]","[14, 0, 12, 11]","[13, 0, 0, 0]","[0, 0, 0, 11]"
0,117,119,155,160,2,"[13, 12, 0, 13]","[0, 0, 11, 15]","[11, 0, 0, 0]","[12, 0, 10, 12]","[0, 10, 11, 11]","[10, 0, 11, 13]","[10, 12, 0, 10]","[11, 0, 11, 10]","[11, 10, 11, 0]","[0, 10, 10, 10]","[10, 10, 11, 11]","[11, 10, 0, 10]","[12, 10, 10, 0]","[0, 0, 11, 0]","[11, 11, 0, 0]","[12, 0, 12, 12]","[13, 0, 0, 12]","[0, 11, 0, 16]","[13, 11, 0, 0]"
0,95,88,125,152,3,"[12, 0, 15, 10]","[12, 0, 0, 0]","[12, 0, 0, 0]","[0, 11, 0, 13]","[12, 0, 10, 10]","[10, 11, 0, 14]","[10, 0, 10, 12]","[12, 10, 10, 0]","[0, 10, 11, 10]","[10, 0, 10, 10]","[0, 10, 0, 0]","[11, 0, 12, 10]","[10, 10, 0, 13]","[0, 0, 10, 0]","[14, 11, 0, 10]","[0, 10, 0, 0]","[14, 0, 0, 13]","[0, 12, 0, 0]","[13, 0, 0, 0]"
0,139,135,113,173,0,"[17, 0, 0, 0]","[14, 11, 11, 0]","[10, 13, 13, 0]","[0, 0, 11, 11]","[13, 11, 12, 0]","[10, 13, 0, 11]","[10, 12, 11, 0]","[0, 10, 0, 10]","[0, 10, 10, 12]","[10, 0, 10, 10]","[10, 11, 11, 0]","[10, 11, 12, 0]","[10, 0, 10, 0]","[14, 0, 11, 10]","[0, 0, 13, 10]","[11, 0, 0, 0]","[11, 11, 0, 13]","[11, 14, 0, 12]","[12, 12, 0, 14]"
1,139,101,118,90,1,"[0, 0, 11, 0]","[0, 0, 11, 13]","[0, 0, 0, 0]","[13, 0, 0, 0]","[0, 10, 0, 0]","[10, 10, 0, 12]","[0, 10, 11, 0]","[13, 10, 0, 10]","[10, 10, 10, 0]","[10, 10, 0, 10]","[11, 0, 0, 0]","[0, 10, 10, 12]","[0, 10, 0, 0]","[0, 10, 0, 0]","[0, 11, 14, 11]","[0, 12, 10, 13]","[0, 12, 13, 10]","[11, 14, 0, 13]","[12, 0, 11, 14]"
