winner,score1,score2,score3,score0,dealer,round1,round2,round3,round4,round5,round6,round7,round8,round9,round10,round11,round12,round13,round14,round15,round16,round17,round18,round19
2,158,182,121,55,2,"[11, 11, 10, 0]","[0, 13, 13, 12]","[10, 0, 13, 0]","[0, 0, 0, 11]","[13, 11, 10, 0]","[0, 0, 12, 0]","[0, 10, 11, 12]","[0, 13, 10, 0]","[0, 11, 11, 10]","[0, 10, 10, 10]","[0, 11, 10, 10]","[0, 0, 0, 11]","[11, 12, 10, 0]","[0, 0, 0, 0]","[0, 10, 14, 10]","[0, 12, 11, 10]","[10, 12, 11, 0]","[0, 12, 12, 11]","[0, 10, 14, 14]"
3,132,120,137,126,3,"[14, 0, 10, 11]","[13, 11, 12, 0]","[11, 0, 0, 0]","[0, 11, 10, 13]","[11, 0, 13, 0]","[0, 0, 10, 0]","[10, 11, 0, 12]","[0, 10, 11, 0]","[10, 12, 10, 10]","[10, 10, 0, 10]","[11, 0, 10, 11]","[0, 12, 10, 0]","[10, 0, 0, 12]","[0, 0, 0, 11]","[12, 10, 0, 12]","[14, 11, 11, 0]","[0, 12, 13, 10]","[0, 12, 0, 10]","[0, 10, 0, 15]"
3,109,91,142,120,0,"[10, 0, 0, 11]","[0, 11, 0, 0]","[13, 11, 0, 11]","[0, 0, 0, 13]","[0, 0, 0, 10]","[10, 0, 13, 10]","[0, 12, 12, 10]","[11, 10, 12, 0]","[10, 10, 0, 10]","[10, 0, 10, 10]","[10, 11, 0, 11]","[11, 0, 11, 10]","[13, 10, 0, 10]","[0, 13, 10, 0]","[0, 10, 11, 12]","[10, 0, 0, 14]","[0, 0, 0, 0]","[0, 11, 12, 0]","[12, 0, 0, 0]"
1,166,125,128,100,1,"[16, 10, 0, 10]","[0, 10, 0, 13]","[0, 10, 0, 0]","[11, 11, 0, 13]","[0, 12, 11, 12]","[0, 10, 11, 0]","[0, 0, 11, 10]","[10, 10, 0, 13]","[10, 10, 0, 0]","[10, 11, 10, 0]","[10, 10, 11, 0]","[0, 10, 13, 10]","[0, 0, 10, 12]","[11, 0, 10, 0]","[0, 0, 0, 11]","[11, 11, 13, 0]","[11, 12, 15, 0]","[0, 15, 10, 11]","[0, 14, 0, 13]"
3,121,125,144,122,2,"[0, 0, 10, 11]","[0, 0, 11, 12]","[10, 0, 13, 12]","[0, 0, 0, 13]","[10, 11, 0, 14]","[12, 0, 11, 10]","[0, 10, 12, 0]","[11, 10, 10, 0]","[11, 11, 0, 10]","[10, 11, 10, 0]","[10, 10, 10, 0]","[10, 11, 0, 11]","[12, 10, 0, 10]","[0, 12, 0, 10]","[0, 0, 0, 0]","[0, 12, 13, 10]","[0, 0, 0, 10]","[14, 0, 13, 11]","[12, 13, 12, 0]"
3,112,103,175,107,3,"[0, 0, 13, 10]","[0, 0, 12, 11]","[0, 10, 0, 14]","[11, 0, 10, 13]","[0, 0, 0, 0]","[10, 0, 12, 11]","[11, 0, 11, 10]","[10, 0, 10, 10]","[10, 10, 0, 12]","[10, 10, 0, 10]","[0, 10, 10, 10]","[11, 0, 0, 10]","[10, 0, 0, 0]","[0, 10, 0, 11]","[0, 12, 0, 0]","[13, 11, 0, 11]","[0, 13, 11, 11]","[0, 12, 14, 10]","[11, 14, 0, 11]"
3,114,111,149,133,0,"[14, 0, 10, 12]","[0, 12, 0, 14]","[10, 0, 0, 0]","[11, 12, 0, 13]","[10, 0, 0, 13]","[13, 11, 10, 0]","[11, 0, 13, 10]","[0, 10, 0, 12]","[11, 0, 11, 10]","[10, 0, 11, 10]","[0, 11, 11, 10]","[10, 10, 11, 0]","[11, 10, 12, 0]","[0, 0, 11, 13]","[12, 0, 11, 11]","[0, 13, 0, 10]","[0, 0, 0, 11]","[10, 14, 0, 0]","[0, 11, 0, 0]"
2,128,130,77,125,1,"[0, 14, 12, 13]","[0, 15, 10, 0]","[0, 0, 0, 0]","[10, 11, 12, 0]","[14, 11, 0, 11]","[10, 0, 14, 0]","[12, 10, 0, 10]","[0, 0, 10, 0]","[11, 11, 0, 10]","[10, 10, 10, 0]","[10, 10, 12, 0]","[11, 0, 10, 10]","[12, 12, 10, 0]","[0, 11, 0, 0]","[0, 13, 10, 0]","[0, 0, 10, 11]","[11, 0, 10, 0]","[0, 0, 0, 0]","[14, 0, 0, 12]"
1,132,120,127,121,2,"[10, 0, 0, 0]","[0, 0, 13, 11]","[0, 0, 0, 0]","[0, 0, 0, 10]","[10, 10, 12, 0]","[0, 12, 10, 11]","[0, 11, 10, 12]","[11, 0, 10, 11]","[10, 10, 0, 11]","[0, 10, 10, 10]","[0, 10, 10, 0]","[10, 0, 0, 0]","[11, 10, 12, 0]","[0, 10, 10, 0]","[11, 12, 0, 12]","[10, 13, 13, 0]","[13, 0, 10, 12]","[12, 13, 0, 14]","[13, 11, 0, 13]"
1,167,125,106,153,3,"[0, 0, 10, 16]","[0, 12, 0, 0]","[0, 12, 13, 12]","[12, 0, 15, 0]","[11, 10, 0, 0]","[11, 11, 0, 0]","[11, 12, 11, 10]","[13, 10, 0, 10]","[10, 10, 10, 0]","[10, 10, 0, 10]","[0, 0, 10, 0]","[10, 10, 0, 13]","[13, 10, 10, 0]","[0, 10, 11, 0]","[13, 0, 12, 11]","[13, 13, 0, 10]","[11, 13, 0, 0]","[15, 12, 11, 0]","[0, 12, 12, 14]"
