winner,score1,score2,score3,score0,dealer,round1,round2,round3,round4,round5,round6,round7,round8,round9,round10,round11,round12,round13,round14,round15,round16,round17,round18,round19
1,122,121,93,65,2,"[0, 0, 15, 0]","[12, 12, 0, 0]","[0, 10, 11, 14]","[0, 0, 11, 13]","[0, 11, 11, 13]","[11, 12, 10, 0]","[0, 10, 0, 0]","[10, 0, 10, 0]","[0, 0, 10, 11]","[0, 11, 0, 10]","[0, 0, 10, 10]","[0, 0, 10, 10]","[0, 11, 0, 0]","[0, 11, 0, 0]","[0, 10, 0, 0]","[0, 11, 0, 0]","[11, 13, 11, 0]","[10, 0, 12, 0]","[11, 0, 0, 12]"
1,164,105,136,107,3,"[0, 14, 0, 15]","[11, 14, 0, 12]","[10, 12, 0, 0]","[12, 13, 10, 12]","[0, 10, 0, 11]","[0, 12, 10, 11]","[10, 0, 12, 10]","[10, 11, 0, 11]","[0, 10, 10, 10]","[0, 11, 10, 10]","[0, 10, 10, 10]","[10, 0, 0, 0]","[0, 10, 10, 0]","[11, 0, 0, 0]","[11, 13, 10, 0]","[0, 0, 11, 0]","[0, 12, 12, 0]","[11, 12, 0, 13]","[11, 0, 0, 11]"
1,161,74,157,118,0,"[0, 12, 0, 12]","[11, 13, 0, 13]","[13, 0, 0, 11]","[12, 11, 0, 11]","[11, 11, 0, 10]","[10, 11, 0, 0]","[11, 0, 10, 0]","[10, 0, 0, 10]","[10, 11, 0, 11]","[0, 11, 10, 10]","[10, 11, 11, 10]","[0, 10, 11, 11]","[0, 10, 0, 0]","[0, 10, 10, 13]","[0, 0, 10, 11]","[10, 0, 12, 0]","[10, 12, 0, 14]","[0, 15, 0, 0]","[0, 13, 0, 10]"
0,122,126,147,151,1,"[0, 0, 13, 0]","[12, 13, 0, 11]","[0, 0, 11, 13]","[0, 0, 12, 0]","[0, 14, 11, 0]","[13, 0, 10, 11]","[11, 0, 11, 11]","[12, 10, 0, 11]","[10, 10, 11, 0]","[0, 11, 10, 10]","[10, 10, 0, 11]","[12, 0, 0, 0]","[11, 10, 0, 11]","[10, 11, 0, 13]","[0, 12, 10, 12]","[14, 11, 0, 12]","[11, 0, 14, 10]","[13, 10, 0, 0]","[12, 0, 13, 11]"
1,193,154,135,85,2,"[0, 14, 0, 0]","[0, 0, 0, 14]","[10, 0, 10, 15]","[11, 11, 0, 14]","[0, 12, 12, 11]","[12, 11, 0, 12]","[0, 10, 11, 0]","[11, 10, 10, 0]","[10, 10, 10, 0]","[0, 10, 10, 10]","[0, 10, 10, 0]","[11, 10, 10, 0]","[0, 12, 10, 11]","[10, 10, 0, 13]","[0, 11, 11, 0]","[10, 12, 12, 0]","[0, 12, 12, 12]","[0, 15, 11, 13]","[0, 13, 15, 10]"
2,118,133,102,129,3,"[0, 11, 13, 0]","[14, 12, 0, 0]","[11, 0, 0, 0]","[0, 10, 0, 12]","[0, 10, 13, 11]","[13, 10, 0, 12]","[0, 0, 10, 0]","[10, 10, 0, 0]","[0, 10, 11, 11]","[0, 10, 10, 11]","[10, 10, 10, 0]","[10, 0, 0, 10]","[10, 0, 11, 12]","[11, 0, 11, 11]","[0, 12, 11, 12]","[0, 0, 11, 0]","[11, 13, 0, 0]","[15, 0, 10, 0]","[14, 0, 12, 0]"
0,90,101,99,131,0,"[13, 0, 12, 11]","[0, 0, 11, 0]","[12, 0, 0, 0]","[0, 12, 0, 0]","[12, 11, 0, 0]","[11, 0, 10, 0]","[0, 0, 0, 11]","[10, 0, 12, 10]","[0, 0, 11, 0]","[10, 0, 10, 11]","[10, 10, 0, 10]","[10, 0, 0, 0]","[10, 11, 0, 11]","[0, 12, 11, 0]","[12, 0, 0, 11]","[0, 11, 12, 11]","[10, 12, 0, 13]","[0, 11, 12, 0]","[11, 0, 0, 0]"
3,100,154,162,124,1,"[0, 0, 12, 13]","[0, 10, 11, 16]","[0, 13, 11, 11]","[12, 12, 0, 11]","[12, 0, 13, 10]","[10, 0, 13, 11]","[0, 11, 10, 10]","[10, 10, 0, 0]","[0, 0, 10, 0]","[10, 10, 10, 0]","[10, 0, 0, 11]","[10, 0, 10, 12]","[11, 0, 10, 12]","[11, 11, 0, 11]","[12, 0, 11, 11]","[0, 0, 12, 0]","[0, 11, 0, 0]","[0, 12, 10, 12]","[16, 0, 11, 11]"
1,156,89,154,104,2,"[12, 12, 0, 13]","[11, 15, 0, 10]","[10, 11, 0, 13]","[11, 12, 0, 11]","[12, 0, 0, 0]","[0, 10, 0, 10]","[0, 11, 0, 11]","[12, 0, 10, 11]","[11, 11, 10, 10]","[0, 10, 11, 10]","[10, 10, 0, 10]","[0, 10, 10, 12]","[0, 10, 13, 11]","[0, 0, 11, 0]","[0, 0, 11, 0]","[0, 0, 0, 12]","[0, 10, 0, 0]","[0, 13, 13, 10]","[15, 11, 0, 0]"
1,164,121,138,111,3,"[10, 0, 0, 0]","[0, 15, 0, 11]","[0, 10, 10, 0]","[13, 11, 12, 0]","[0, 12, 10, 11]","[10, 13, 0, 10]","[0, 0, 11, 10]","[11, 11, 0, 10]","[10, 0, 10, 10]","[0, 10, 10, 11]","[12, 0, 10, 10]","[0, 11, 12, 10]","[0, 11, 0, 11]","[0, 11, 10, 0]","[12, 10, 0, 0]","[11, 12, 13, 11]","[0, 12, 0, 0]","[12, 0, 13, 12]","[10, 15, 0, 11]"
