winner,score1,score2,score3,score0,dealer,round1,round2,round3,round4,round5,round6,round7,round8,round9,round10,round11,round12,round13,round14,round15,round16,round17,round18,round19
3,126,106,140,114,0,"[14, 12, 0, 12]","[12, 12, 0, 10]","[11, 13, 12, 0]","[0, 12, 11, 12]","[0, 12, 11, 0]","[11, 0, 13, 11]","[10, 13, 0, 10]","[11, 11, 0, 11]","[12, 10, 0, 0]","[11, 10, 10, 0]","[12, 10, 0, 10]","[10, 0, 12, 10]","[0, 0, 0, 11]","[0, 0, 0, 10]","[0, 0, 12, 0]","[0, 11, 12, 10]","[0, 0, 0, 0]","[0, 0, 0, 12]","[0, 0, 13, 11]"
0,106,91,93,139,1,"[0, 0, 0, 14]","[0, 0, 13, 0]","[10, 0, 12, 12]","[0, 10, 0, 0]","[0, 0, 0, 0]","[10, 11, 0, 0]","[0, 10, 10, 13]","[10, 11, 0, 10]","[10, 11, 0, 10]","[11, 10, 0, 10]","[10, 10, 10, 0]","[10, 0, 10, 0]","[10, 0, 12, 0]","[11, 11, 12, 0]","[13, 11, 12, 0]","[11, 11, 0, 13]","[0, 0, 0, 11]","[12, 0, 0, 0]","[11, 0, 0, 0]"
1,190,127,107,91,2,"[10, 15, 13, 0]","[0, 12, 11, 0]","[0, 12, 11, 0]","[0, 13, 11, 13]","[11, 0, 0, 0]","[13, 0, 11, 0]","[0, 13, 0, 0]","[0, 11, 11, 10]","[0, 10, 12, 10]","[10, 10, 10, 0]","[0, 11, 11, 10]","[12, 11, 0, 10]","[0, 12, 0, 11]","[12, 10, 0, 0]","[11, 0, 12, 11]","[12, 11, 0, 12]","[0, 13, 0, 0]","[0, 14, 0, 10]","[0, 12, 14, 10]"
1,170,122,69,92,3,"[0, 11, 0, 0]","[10, 13, 0, 0]","[0, 11, 0, 12]","[0, 11, 0, 0]","[0, 0, 11, 0]","[11, 11, 12, 0]","[0, 0, 0, 12]","[0, 11, 0, 0]","[0, 10, 10, 12]","[0, 10, 10, 10]","[10, 11, 10, 0]","[11, 10, 10, 0]","[13, 10, 11, 0]","[0, 0, 12, 12]","[0, 13, 12, 11]","[0, 14, 0, 0]","[12, 10, 0, 0]","[13, 0, 12, 0]","[12, 14, 12, 0]"
3,92,97,122,66,0,"[12, 15, 10, 0]","[0, 0, 12, 11]","[0, 11, 10, 11]","[0, 11, 11, 15]","[0, 0, 11, 0]","[10, 0, 0, 0]","[12, 0, 0, 10]","[0, 0, 0, 11]","[11, 11, 0, 10]","[0, 10, 10, 10]","[0, 0, 10, 0]","[11, 11, 0, 10]","[0, 0, 11, 11]","[0, 11, 0, 0]","[0, 0, 0, 0]","[10, 0, 0, 0]","[0, 0, 12, 0]","[0, 0, 0, 13]","[0, 12, 0, 10]"
0,122,112,105,125,1,"[12, 0, 13, 12]","[0, 12, 12, 13]","[11, 13, 11, 0]","[0, 11, 0, 14]","[11, 12, 12, 0]","[13, 10, 0, 11]","[0, 0, 10, 0]","[11, 10, 0, 11]","[11, 0, 0, 0]","[10, 10, 10, 0]","[0, 11, 0, 0]","[10, 11, 10, 0]","[11, 0, 11, 12]","[11, 0, 11, 11]","[14, 10, 0, 11]","[0, 12, 12, 10]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]"
3,155,87,167,167,2,"[12, 16, 0, 12]","[0, 14, 12, 12]","[14, 11, 0, 0]","[11, 0, 0, 11]","[12, 0, 11, 11]","[11, 11, 11, 0]","[10, 0, 0, 0]","[11, 10, 0, 12]","[10, 0, 11, 10]","[11, 10, 0, 10]","[0, 10, 10, 11]","[0, 11, 10, 10]","[10, 0, 12, 11]","[10, 13, 10, 0]","[10, 0, 0, 10]","[10, 13, 0, 13]","[0, 12, 0, 12]","[15, 11, 0, 10]","[10, 13, 0, 12]"
0,112,129,134,150,3,"[11, 0, 16, 0]","[0, 13, 0, 0]","[0, 0, 0, 12]","[12, 12, 12, 0]","[11, 0, 10, 12]","[0, 10, 13, 11]","[12, 0, 11, 0]","[10, 11, 0, 11]","[0, 11, 10, 0]","[10, 0, 10, 10]","[11, 11, 0, 10]","[11, 10, 0, 10]","[0, 0, 12, 0]","[13, 0, 11, 0]","[12, 0, 11, 11]","[11, 11, 0, 11]","[12, 12, 0, 12]","[14, 0, 13, 11]","[0, 11, 0, 13]"
0,151,86,113,152,0,"[0, 13, 12, 0]","[12, 14, 0, 0]","[13, 11, 0, 0]","[0, 10, 0, 0]","[10, 0, 0, 12]","[0, 11, 0, 11]","[11, 10, 0, 12]","[10, 10, 0, 11]","[10, 10, 10, 0]","[10, 10, 10, 0]","[0, 10, 11, 11]","[10, 11, 10, 0]","[13, 10, 0, 11]","[12, 11, 11, 0]","[13, 0, 0, 10]","[14, 10, 11, 0]","[14, 0, 0, 10]","[0, 0, 0, 12]","[0, 0, 11, 13]"
1,159,149,106,150,1,"[11, 13, 14, 0]","[13, 11, 11, 0]","[12, 13, 0, 10]","[12, 0, 11, 13]","[11, 13, 0, 0]","[0, 10, 13, 10]","[11, 0, 11, 11]","[0, 10, 0, 0]","[10, 10, 12, 0]","[11, 10, 0, 10]","[0, 0, 10, 10]","[0, 10, 11, 11]","[11, 0, 12, 10]","[12, 11, 10, 0]","[14, 10, 11, 0]","[11, 0, 12, 11]","[0, 13, 0, 10]","[0, 11, 0, 0]","[11, 14, 11, 0]"
