winner,score1,score2,score3,score0,dealer,round1,round2,round3,round4,round5,round6,round7,round8,round9,round10,round11,round12,round13,round14,round15,round16,round17,round18,round19
1,147,107,87,137,1,"[13, 12, 10, 0]","[13, 0, 0, 0]","[10, 14, 0, 11]","[11, 0, 11, 0]","[13, 12, 0, 11]","[10, 0, 0, 0]","[10, 0, 0, 0]","[0, 10, 10, 0]","[11, 0, 10, 11]","[0, 10, 10, 10]","[10, 10, 0, 11]","[10, 10, 0, 10]","[12, 11, 10, 0]","[0, 0, 11, 0]","[0, 10, 0, 0]","[0, 12, 14, 11]","[0, 11, 0, 0]","[0, 11, 10, 12]","[14, 14, 11, 0]"
2,120,139,138,109,2,"[11, 0, 15, 12]","[0, 0, 13, 15]","[0, 0, 0, 11]","[0, 11, 11, 0]","[0, 0, 10, 11]","[11, 10, 14, 0]","[0, 11, 0, 0]","[12, 11, 10, 0]","[11, 10, 0, 11]","[11, 10, 10, 0]","[10, 0, 10, 10]","[10, 11, 11, 0]","[10, 12, 0, 10]","[0, 12, 11, 12]","[0, 12, 0, 11]","[11, 0, 14, 10]","[0, 10, 10, 15]","[0, 0, 0, 10]","[12, 0, 0, 0]"
1,139,138,124,139,3,"[12, 12, 13, 0]","[14, 10, 12, 0]","[0, 0, 0, 13]","[12, 0, 0, 0]","[0, 0, 14, 10]","[10, 10, 0, 13]","[12, 11, 0, 10]","[10, 11, 0, 11]","[10, 0, 11, 10]","[0, 10, 11, 10]","[0, 10, 12, 10]","[10, 10, 0, 13]","[12, 0, 10, 0]","[0, 10, 10, 11]","[11, 11, 11, 0]","[11, 0, 0, 0]","[0, 12, 10, 0]","[15, 12, 11, 0]","[0, 10, 13, 13]"
2,158,158,115,124,0,"[0, 0, 11, 0]","[0, 11, 13, 13]","[0, 11, 10, 14]","[11, 0, 13, 0]","[12, 13, 0, 0]","[0, 11, 10, 11]","[10, 13, 0, 0]","[13, 10, 0, 10]","[10, 0, 10, 0]","[0, 10, 10, 10]","[12, 10, 0, 10]","[12, 10, 10, 0]","[10, 12, 10, 0]","[11, 11, 11, 0]","[12, 0, 11, 12]","[11, 12, 0, 0]","[0, 11, 14, 12]","[0, 0, 10, 12]","[0, 13, 15, 11]"
2,84,126,116,112,1,"[12, 0, 11, 15]","[0, 0, 0, 0]","[0, 0, 14, 12]","[0, 13, 0, 0]","[0, 0, 0, 0]","[0, 11, 11, 13]","[10, 10, 0, 0]","[12, 10, 0, 10]","[11, 0, 10, 11]","[11, 10, 0, 10]","[11, 10, 0, 11]","[10, 10, 10, 0]","[11, 0, 12, 11]","[12, 10, 0, 12]","[0, 0, 11, 11]","[0, 0, 12, 0]","[12, 0, 11, 0]","[0, 0, 13, 0]","[0, 0, 11, 0]"
0,146,99,150,153,2,"[13, 11, 14, 0]","[13, 12, 0, 11]","[0, 12, 11, 13]","[11, 0, 0, 11]","[0, 0, 0, 12]","[12, 10, 11, 0]","[12, 11, 11, 0]","[11, 12, 0, 10]","[0, 10, 11, 10]","[10, 10, 10, 0]","[10, 10, 0, 10]","[11, 12, 10, 0]","[0, 0, 0, 10]","[0, 10, 11, 14]","[0, 0, 0, 10]","[13, 0, 10, 14]","[11, 14, 0, 12]","[14, 12, 0, 13]","[12, 0, 0, 0]"
1,166,102,106,136,3,"[0, 16, 10, 0]","[13, 12, 0, 13]","[12, 10, 0, 0]","[11, 10, 0, 13]","[0, 11, 13, 12]","[0, 10, 0, 11]","[11, 0, 0, 0]","[10, 0, 0, 0]","[10, 10, 10, 0]","[10, 10, 10, 0]","[10, 11, 0, 10]","[12, 10, 0, 10]","[12, 10, 0, 0]","[0, 10, 12, 11]","[12, 12, 0, 12]","[0, 11, 12, 14]","[0, 0, 11, 0]","[13, 13, 13, 0]","[0, 0, 11, 0]"
0,76,137,145,185,0,"[10, 0, 11, 11]","[12, 12, 0, 12]","[13, 0, 0, 12]","[14, 0, 10, 11]","[10, 0, 10, 0]","[10, 0, 0, 10]","[11, 12, 0, 10]","[11, 10, 10, 0]","[10, 10, 10, 0]","[10, 0, 10, 10]","[10, 10, 10, 0]","[0, 0, 10, 0]","[12, 0, 10, 12]","[12, 0, 12, 10]","[0, 0, 12, 10]","[0, 12, 11, 12]","[13, 10, 0, 12]","[13, 0, 11, 13]","[14, 0, 0, 0]"
0,141,129,131,143,1,"[13, 0, 0, 13]","[14, 10, 0, 13]","[11, 13, 0, 12]","[0, 10, 0, 0]","[13, 0, 11, 12]","[0, 10, 10, 0]","[0, 11, 10, 12]","[0, 11, 10, 11]","[0, 10, 10, 10]","[10, 10, 10, 0]","[10, 10, 0, 0]","[13, 10, 10, 0]","[10, 14, 0, 10]","[12, 11, 0, 11]","[12, 0, 12, 0]","[14, 0, 10, 0]","[0, 11, 13, 12]","[0, 0, 12, 0]","[11, 0, 11, 15]"
1,145,101,143,121,2,"[0, 10, 11, 13]","[14, 11, 0, 0]","[0, 13, 0, 11]","[11, 0, 0, 0]","[0, 11, 0, 0]","[12, 0, 11, 11]","[0, 12, 12, 10]","[10, 0, 12, 10]","[10, 11, 0, 10]","[10, 10, 11, 0]","[10, 0, 10, 10]","[0, 10, 10, 10]","[0, 0, 0, 11]","[0, 0, 0, 11]","[10, 0, 0, 0]","[0, 13, 12, 11]","[11, 13, 0, 13]","[10, 17, 12, 0]","[13, 14, 0, 12]"
