winner,score1,score2,score3,score0,dealer,round1,round2,round3,round4,round5,round6,round7,round8,round9,round10,round11,round12,round13,round14,round15,round16,round17,round18,round19
3,134,96,147,77,1,"[0, 0, 10, 13]","[12, 14, 0, 11]","[0, 0, 10, 10]","[0, 10, 14, 12]","[0, 0, 10, 0]","[0, 11, 0, 0]","[0, 12, 10, 10]","[0, 11, 11, 11]","[10, 10, 0, 10]","[10, 0, 0, 0]","[10, 10, 10, 0]","[10, 10, 0, 10]","[0, 10, 10, 13]","[0, 0, 0, 11]","[0, 0, 0, 13]","[0, 14, 11, 11]","[0, 11, 0, 0]","[11, 0, 0, 12]","[14, 11, 0, 0]"
1,136,110,126,125,2,"[0, 11, 0, 0]","[12, 0, 13, 0]","[0, 11, 0, 11]","[13, 12, 0, 12]","[0, 0, 11, 0]","[11, 12, 12, 0]","[0, 10, 11, 11]","[0, 11, 11, 10]","[10, 11, 0, 11]","[11, 10, 10, 0]","[11, 0, 10, 0]","[0, 13, 10, 10]","[10, 0, 0, 0]","[11, 0, 0, 13]","[12, 11, 12, 0]","[12, 11, 0, 12]","[0, 13, 0, 13]","[12, 0, 0, 12]","[0, 0, 10, 11]"
3,99,110,143,133,3,"[0, 0, 0, 13]","[0, 13, 12, 10]","[10, 0, 0, 0]","[12, 13, 0, 11]","[11, 0, 0, 11]","[10, 0, 11, 11]","[12, 10, 11, 0]","[10, 0, 0, 10]","[10, 10, 0, 12]","[0, 10, 10, 10]","[11, 0, 11, 10]","[0, 10, 0, 10]","[0, 0, 10, 0]","[10, 0, 0, 11]","[13, 11, 0, 11]","[0, 0, 11, 0]","[12, 0, 12, 13]","[0, 12, 10, 0]","[12, 10, 12, 0]"
3,155,78,166,125,0,"[11, 12, 0, 14]","[0, 11, 14, 11]","[11, 12, 0, 14]","[0, 0, 0, 10]","[13, 0, 10, 12]","[12, 12, 0, 10]","[12, 10, 0, 0]","[11, 11, 0, 10]","[12, 0, 10, 10]","[0, 10, 10, 10]","[10, 11, 0, 11]","[0, 10, 12, 10]","[10, 0, 0, 11]","[0, 11, 11, 0]","[0, 11, 0, 10]","[0, 11, 0, 0]","[11, 0, 11, 11]","[0, 11, 0, 0]","[12, 12, 0, 12]"
0,148,110,142,156,1,"[0, 14, 12, 11]","[11, 15, 0, 11]","[12, 0, 0, 0]","[12, 12, 0, 10]","[10, 11, 0, 10]","[11, 11, 0, 10]","[0, 10, 0, 0]","[12, 10, 11, 0]","[11, 0, 11, 10]","[10, 0, 10, 10]","[10, 10, 12, 0]","[10, 0, 10, 11]","[0, 11, 12, 10]","[0, 10, 10, 0]","[11, 10, 0, 14]","[10, 11, 11, 0]","[11, 0, 11, 13]","[0, 13, 0, 12]","[15, 0, 0, 10]"
1,134,118,121,126,2,"[11, 16, 10, 0]","[0, 11, 0, 11]","[16, 0, 11, 0]","[0, 10, 12, 13]","[10, 0, 10, 0]","[0, 11, 0, 10]","[13, 10, 10, 0]","[0, 11, 10, 10]","[11, 11, 0, 10]","[10, 10, 11, 0]","[0, 10, 11, 10]","[0, 0, 0, 11]","[12, 11, 10, 0]","[0, 0, 0, 0]","[10, 12, 0, 11]","[10, 0, 11, 14]","[10, 0, 0, 0]","[0, 11, 12, 10]","[13, 0, 0, 11]"
3,138,104,149,110,3,"[0, 0, 0, 13]","[0, 0, 0, 11]","[0, 11, 12, 14]","[11, 0, 13, 11]","[0, 10, 0, 0]","[0, 11, 10, 0]","[0, 10, 12, 10]","[0, 10, 0, 10]","[10, 0, 10, 12]","[10, 10, 0, 10]","[11, 0, 10, 11]","[10, 12, 0, 11]","[0, 10, 0, 12]","[11, 12, 11, 0]","[13, 10, 0, 12]","[11, 10, 14, 0]","[12, 11, 12, 0]","[0, 0, 0, 0]","[11, 11, 0, 12]"
3,122,121,160,150,0,"[15, 11, 0, 14]","[13, 0, 11, 14]","[0, 13, 10, 0]","[0, 12, 0, 10]","[11, 0, 10, 13]","[0, 10, 0, 0]","[12, 11, 0, 10]","[11, 10, 10, 0]","[0, 11, 10, 10]","[10, 0, 10, 11]","[10, 11, 0, 10]","[10, 0, 11, 0]","[10, 0, 11, 10]","[11, 0, 12, 10]","[14, 11, 10, 0]","[12, 11, 0, 12]","[11, 11, 0, 13]","[0, 0, 0, 11]","[0, 0, 16, 12]"
2,123,158,133,106,1,"[0, 15, 13, 0]","[0, 0, 0, 12]","[11, 12, 0, 11]","[0, 0, 10, 0]","[0, 11, 13, 10]","[10, 11, 0, 12]","[10, 10, 11, 0]","[0, 10, 11, 10]","[10, 0, 10, 12]","[10, 10, 0, 10]","[11, 10, 10, 0]","[0, 11, 11, 10]","[12, 0, 10, 12]","[11, 0, 12, 10]","[0, 0, 12, 0]","[0, 13, 10, 12]","[10, 0, 13, 12]","[11, 0, 0, 0]","[0, 10, 12, 0]"
0,100,122,145,152,2,"[11, 0, 0, 11]","[13, 0, 11, 0]","[10, 0, 0, 11]","[10, 0, 12, 13]","[0, 0, 10, 0]","[10, 0, 0, 0]","[13, 10, 0, 11]","[10, 12, 0, 10]","[10, 10, 0, 11]","[10, 0, 10, 10]","[10, 10, 10, 0]","[10, 0, 11, 11]","[0, 10, 0, 10]","[0, 14, 10, 11]","[0, 12, 10, 11]","[10, 11, 0, 13]","[14, 11, 12, 0]","[11, 0, 15, 12]","[0, 0, 11, 0]"
