winner,score1,score2,score3,score0,dealer,round1,round2,round3,round4,round5,round6,round7,round8,round9,round10,round11,round12,round13,round14,round15,round16,round17,round18,round19
0,110,133,110,159,0,"[0, 0, 12, 11]","[14, 0, 13, 0]","[13, 0, 10, 0]","[11, 0, 0, 11]","[0, 12, 10, 0]","[11, 10, 11, 0]","[0, 0, 0, 10]","[10, 11, 0, 11]","[11, 0, 11, 10]","[10, 0, 10, 11]","[10, 10, 10, 0]","[10, 0, 10, 10]","[12, 10, 0, 12]","[0, 10, 11, 12]","[11, 13, 0, 12]","[11, 11, 0, 0]","[10, 11, 0, 0]","[15, 0, 11, 0]","[0, 12, 14, 0]"
1,121,108,96,111,1,"[0, 0, 0, 13]","[13, 11, 14, 0]","[0, 11, 0, 0]","[0, 0, 12, 11]","[11, 11, 0, 0]","[11, 0, 0, 0]","[12, 10, 11, 0]","[0, 11, 11, 11]","[10, 0, 11, 10]","[10, 11, 0, 10]","[11, 10, 10, 0]","[10, 11, 0, 10]","[0, 0, 0, 10]","[12, 11, 12, 0]","[11, 11, 0, 0]","[0, 0, 14, 0]","[0, 0, 0, 11]","[0, 13, 13, 10]","[0, 0, 0, 0]"
2,132,176,89,158,2,"[0, 13, 11, 13]","[15, 11, 10, 0]","[11, 14, 12, 0]","[0, 11, 13, 11]","[11, 0, 0, 0]","[11, 12, 10, 0]","[0, 12, 10, 10]","[11, 0, 10, 10]","[11, 10, 10, 0]","[10, 11, 10, 0]","[11, 10, 10, 0]","[11, 0, 11, 10]","[0, 0, 11, 0]","[10, 0, 11, 10]","[0, 0, 0, 10]","[11, 16, 0, 0]","[10, 0, 13, 0]","[14, 12, 10, 0]","[11, 0, 14, 15]"
1,181,116,98,160,3,"[13, 0, 13, 0]","[11, 0, 12, 11]","[12, 12, 14, 0]","[12, 10, 0, 13]","[11, 11, 13, 0]","[10, 0, 13, 0]","[12, 11, 0, 10]","[11, 11, 10, 11]","[0, 11, 10, 10]","[0, 10, 10, 10]","[11, 11, 10, 0]","[10, 11, 11, 0]","[0, 10, 0, 0]","[0, 11, 0, 10]","[10, 11, 0, 12]","[11, 14, 0, 0]","[12, 11, 0, 0]","[0, 11, 0, 0]","[14, 15, 0, 11]"
0,149,124,76,156,0,"[14, 12, 0, 0]","[11, 0, 14, 12]","[0, 13, 0, 0]","[11, 0, 0, 0]","[10, 0, 11, 0]","[13, 11, 0, 11]","[11, 10, 13, 0]","[10, 12, 0, 10]","[0, 10, 11, 11]","[0, 10, 10, 10]","[11, 10, 0, 10]","[11, 11, 10, 0]","[10, 0, 10, 12]","[10, 11, 13, 0]","[13, 13, 10, 0]","[11, 12, 11, 0]","[0, 0, 11, 0]","[0, 14, 0, 0]","[10, 0, 0, 0]"
0,147,131,87,152,1,"[11, 12, 0, 12]","[10, 11, 12, 0]","[0, 11, 12, 0]","[11, 12, 12, 0]","[0, 0, 0, 13]","[10, 0, 14, 0]","[12, 0, 10, 10]","[11, 10, 0, 11]","[11, 0, 11, 10]","[10, 10, 0, 11]","[11, 10, 11, 0]","[0, 0, 10, 10]","[10, 13, 0, 10]","[0, 11, 0, 0]","[11, 13, 11, 0]","[11, 10, 15, 0]","[12, 11, 0, 0]","[11, 13, 0, 0]","[0, 0, 13, 0]"
1,156,151,93,143,2,"[13, 10, 16, 0]","[12, 0, 13, 10]","[15, 12, 11, 0]","[10, 0, 13, 0]","[12, 13, 11, 0]","[0, 11, 0, 0]","[12, 10, 0, 0]","[0, 10, 10, 10]","[11, 11, 10, 0]","[0, 11, 10, 10]","[0, 0, 10, 10]","[0, 12, 10, 10]","[0, 12, 10, 10]","[10, 0, 0, 10]","[0, 10, 0, 0]","[12, 11, 0, 12]","[11, 0, 13, 11]","[14, 11, 0, 0]","[11, 12, 14, 0]"
0,115,121,110,177,3,"[12, 15, 13, 0]","[11, 0, 10, 16]","[13, 11, 0, 0]","[13, 10, 0, 0]","[11, 13, 11, 0]","[11, 11, 11, 0]","[11, 12, 10, 11]","[10, 0, 0, 0]","[10, 10, 0, 0]","[0, 10, 10, 10]","[0, 0, 10, 0]","[10, 0, 0, 11]","[10, 0, 10, 13]","[11, 0, 0, 13]","[10, 0, 10, 0]","[11, 12, 0, 12]","[13, 0, 0, 11]","[0, 11, 13, 0]","[10, 0, 13, 13]"
3,102,115,122,112,0,"[15, 12, 12, 11]","[12, 0, 11, 0]","[10, 0, 0, 0]","[0, 13, 10, 11]","[0, 10, 14, 11]","[11, 0, 0, 0]","[11, 11, 0, 12]","[10, 0, 0, 0]","[0, 0, 10, 0]","[10, 0, 11, 10]","[0, 10, 10, 10]","[0, 10, 0, 11]","[0, 0, 0, 0]","[0, 0, 0, 11]","[11, 11, 13, 0]","[0, 0, 12, 0]","[11, 13, 0, 11]","[0, 12, 12, 12]","[11, 0, 0, 12]"
0,110,127,111,135,1,"[0, 11, 11, 14]","[13, 0, 11, 0]","[12, 0, 0, 10]","[13, 11, 0, 12]","[0, 0, 12, 10]","[0, 11, 10, 12]","[10, 0, 12, 0]","[10, 10, 0, 0]","[0, 10, 0, 0]","[10, 10, 0, 11]","[10, 0, 10, 10]","[11, 10, 0, 10]","[0, 0, 12, 0]","[0, 0, 0, 0]","[10, 0, 10, 0]","[10, 0, 15, 10]","[0, 13, 0, 12]","[13, 11, 11, 0]","[13, 13, 13, 0]"
