num_tricks,num_players,player,hand,flipped_card,pred_bid,actual_bid
10,2,0,Player 0: [AC KC 8C] [7D 5D 2D] [8H 7H 3H] [AS] ,8S,2.5951010365876703,3
10,2,1,Player 1: [QC JC TC 9C 2C] [AD JD 4D] [] [6S 2S] ,8S,2.8095797776743674,3
10,2,2,Player 2: [7C] [9D] [AH 9H 4H] [KS JS 9S 4S 3S] ,8S,4.308819436651899,4
10,2,3,Player 3: [4C 3C] [KD QD TD 8D 6D 3D] [TH] [5S] ,8S,0,1
10,2,0,Player 0: [TC 4C] [8D 7D 5D] [QH 6H] [QS 5S 4S] ,6S,1.371697139895784,1
10,2,1,Player 1: [AC 9C 8C] [JD 4D] [TH 9H 4H] [TS 9S] ,6S,2.793374662106568,3
10,2,2,Player 2: [JC 6C] [KD QD 6D] [KH JH 2H] [AS JS] ,6S,3.8448032076122294,4
10,2,3,Player 3: [7C 5C 2C] [AD TD] [7H 5H] [7S 3S 2S] ,6S,1.704066806198634,1
10,2,0,Player 0: [AC 9C 6C 3C] [AD] [KH QH 2H] [8S 4S] ,TC,3.762135479554109,4
10,2,1,Player 1: [8C] [QD 8D 5D 4D 2D] [TH 7H 4H] [3S] ,TC,0.21386453792325447,0
10,2,2,Player 2: [KC 4C 2C] [KD JD] [] [KS 9S 7S 6S 2S] ,TC,4.4874110032833086,4
10,2,3,Player 3: [QC JC 5C] [3D] [JH 9H 8H 3H] [JS TS] ,TC,2.4519137058414837,3
10,2,0,Player 0: [QC 8C 2C] [JD 8D] [] [QS 5S 4S 3S 2S] ,2H,0.13434207352843747,0
10,2,1,Player 1: [TC 3C] [9D 5D 3D] [KH 9H 8H 5H] [AS] ,2H,4.185410882435713,4
10,2,2,Player 2: [JC 6C] [AD QD TD 7D] [AH JH 4H 3H] [] ,2H,5.778327180852675,6
10,2,3,Player 3: [AC KC] [KD 4D 2D] [7H 6H] [KS 9S 8S] ,2H,0.2949841252360877,1
10,2,0,Player 0: [AC JC 8C] [2D] [AH 9H 8H] [AS KS JS] ,3H,4.511907445665291,5
10,2,1,Player 1: [QC 4C] [KD TD 6D 3D] [5H] [8S 7S 4S] ,3H,0,0
10,2,2,Player 2: [KC 6C] [AD QD 7D] [QH 6H] [6S 3S 2S] ,3H,2.927737347028997,3
10,2,3,Player 3: [9C 5C] [9D 8D 5D] [JH 7H 4H] [QS TS] ,3H,0.80739730696136,1
10,2,0,Player 0: [QC 8C 4C] [9D 3D] [7H 4H] [QS JS 9S] ,6C,1.3631002505438152,1
10,2,1,Player 1: [7C 5C] [KD JD 4D] [AH TH 5H] [6S 2S] ,6C,2.591747670346347,3
10,2,2,Player 2: [AC KC] [7D 5D] [8H 6H 2H] [AS KS 7S] ,6C,4.290101036587671,4
10,2,3,Player 3: [TC 9C 3C] [AD QD 2D] [KH] [8S 5S 3S] ,6C,3.2946592063788667,3
10,2,0,Player 0: [TC 7C 2C] [AD QD] [AH QH 8H] [TS 6S] ,QC,3.606106664135002,4
10,2,1,Player 1: [9C 6C 5C] [9D 8D 7D 4D 3D 2D] [6H] [] ,QC,2.082870988747522,2
10,2,2,Player 2: [AC 4C] [KD 5D] [KH 7H 5H] [9S 7S 4S] ,QC,1.7149421228796096,2
10,2,3,Player 3: [KC JC 8C 3C] [] [JH TH 9H 2H] [KS 5S] ,QC,4.232057798383889,4
10,2,0,Player 0: [JC 7C 6C 2C] [] [AH JH 2H] [TS 6S 2S] ,4S,4.089937898067164,4
10,2,1,Player 1: [KC] [AD TD 5D 3D] [KH 7H 5H] [AS KS] ,4S,3.8296271722156403,4
10,2,2,Player 2: [AC QC 8C] [9D 8D 4D] [QH] [QS JS 5S] ,4S,2.5693375640915415,3
10,2,3,Player 3: [TC 5C 4C] [7D 6D 2D] [9H 8H 3H] [3S] ,4S,0,0
10,2,0,Player 0: [TC 4C 3C] [JD 6D] [KH JH 9H 7H] [AS] ,QH,4.237996195802326,4
10,2,1,Player 1: [KC 8C 2C] [KD 5D] [] [JS 8S 7S 4S 2S] ,QH,0.5144853523890288,1
10,2,2,Player 2: [AC 6C] [3D] [8H 5H 3H 2H] [KS QS 3S] ,QH,3.731808319087419,4
10,2,3,Player 3: [JC 9C 7C 5C] [9D 7D 2D] [AH TH] [9S] ,QH,0.5787746336039132,0
10,2,0,Player 0: [JC 7C 6C] [KD 9D 2D] [AH KH 5H] [8S] ,8H,3.468702195729404,3
10,2,1,Player 1: [QC 3C] [AD JD] [JH TH 3H 2H] [KS JS] ,8H,4.013919167061824,4
10,2,2,Player 2: [KC 8C 2C] [6D 3D] [9H] [TS 7S 6S 5S] ,8H,0,0
10,2,3,Player 3: [AC 9C 5C] [QD TD 8D] [QH 4H] [QS 2S] ,8H,2.921670592386965,2
10,2,0,Player 0: [AC 3C] [KD QD 9D 5D 4D] [AH TH 2H] [] ,JC,3.4794284362128853,3
10,2,1,Player 1: [KC 6C 5C] [] [6H 4H 3H] [TS 9S 5S 3S] ,JC,2.865892543860094,3
10,2,2,Player 2: [7C] [AD JD TD 8D] [9H] [QS 8S 6S 4S] ,JC,1.1763261719679419,1
10,2,3,Player 3: [TC 9C 8C 4C] [6D 2D] [KH QH 7H] [JS] ,JC,3.275522418867746,4
10,2,0,Player 0: [QC 4C] [5D] [JH 5H 3H 2H] [9S 8S 3S] ,7C,1.8688322584714974,2
10,2,1,Player 1: [TC 3C] [9D 3D] [QH 9H 7H] [KS JS 4S] ,7C,1.9466105357439376,2
10,2,2,Player 2: [JC 9C] [QD 7D 4D] [AH TH 6H 4H] [AS] ,7C,4.49984235280772,4
10,2,3,Player 3: [AC 8C 6C 2C] [6D 2D] [] [QS 6S 5S 2S] ,7C,2.8212498207346224,3
10,2,0,Player 0: [6C 4C 2C] [AD TD] [7H 5H] [TS 7S 3S] ,9H,1.594104654121139,2
10,2,1,Player 1: [QC TC 9C 7C 5C] [QD 8D 6D] [KH] [AS] ,9H,2.5058868606317213,3
10,2,2,Player 2: [3C] [JD 9D] [QH JH 6H 4H 2H] [JS 5S] ,9H,3.4241040537310674,3
10,2,3,Player 3: [AC 8C] [7D 4D 3D 2D] [TH 3H] [8S 2S] ,9H,1.68404335038249,1
10,2,0,Player 0: [6C] [2D] [7H 3H 2H] [JS 7S 6S 4S 2S] ,9C,0.7353663402215781,1
10,2,1,Player 1: [TC 5C 4C 3C] [8D 7D] [QH 5H] [AS 5S] ,9C,3.8536433503824896,4
10,2,2,Player 2: [AC] [QD JD 5D 4D 3D] [KH TH 9H] [8S] ,9C,1.65056406924271,2
10,2,3,Player 3: [7C 2C] [AD TD 6D] [AH 8H] [KS QS TS] ,9C,3.6735762779333134,4
10,2,0,Player 0: [KC QC JC 9C] [QD] [8H 2H] [KS 9S 2S] ,KD,1.9478469724551015,2
10,2,1,Player 1: [3C] [8D 3D 2D] [AH 9H] [JS 7S 6S 5S] ,KD,2.4626957749291605,2
10,2,2,Player 2: [AC 8C 2C] [6D 5D 4D] [TH 6H 4H 3H] [] ,KD,3.761733443298574,4
10,2,3,Player 3: [7C 6C 5C 4C] [9D 7D] [7H 5H] [QS 8S] ,KD,0.05677203759740773,0
10,2,0,Player 0: [KC 5C 4C] [KD 2D] [] [QS TS 9S 8S 2S] ,8C,3.7045505023118204,4
10,2,1,Player 1: [QC TC] [9D 8D 5D 3D] [6H 5H] [JS 3S] ,8C,1.712280363536265,2
10,2,2,Player 2: [AC 3C] [QD JD] [KH 9H 4H 2H] [KS 6S] ,8C,1.6632861818141045,2
10,2,3,Player 3: [7C 2C] [4D] [AH TH 3H] [AS 7S 5S 4S] ,8C,2.2649188208229267,3
10,2,0,Player 0: [KC QC 9C 3C] [KD] [AH 9H] [KS QS 7S] ,8H,3.45424699877401,3
10,2,1,Player 1: [8C 7C] [TD 8D 5D 2D] [QH] [JS 6S 4S] ,8H,0.9589464783589323,1
10,2,2,Player 2: [TC] [AD 6D 4D] [JH TH 5H] [AS TS 5S] ,8H,5.556633329868115,6
10,2,3,Player 3: [AC 6C 4C 2C] [QD JD 9D] [6H 2H] [3S] ,8H,0,1
10,2,0,Player 0: [AC JC 5C] [AD KD QD] [3H] [QS TS 6S] ,JD,4.484600051127358,4
10,2,1,Player 1: [KC 9C 8C 4C] [TD 4D] [JH 2H] [AS 7S] ,JD,2.0246232278541605,2
10,2,2,Player 2: [QC TC 2C] [5D] [9H 6H] [KS 8S 3S 2S] ,JD,0,0
10,2,3,Player 3: [7C 6C 3C] [9D 8D 6D] [KH QH 8H] [JS] ,JD,3.456322418867746,3
10,2,0,Player 0: [JC 7C 5C] [AD QD 6D 3D] [KH] [6S 3S] ,6H,2.159494939473494,2
10,2,1,Player 1: [8C] [JD 8D 7D] [TH 8H 3H] [AS QS 9S] ,6H,3.3370880728517056,3
10,2,2,Player 2: [KC QC 3C] [KD 2D] [QH 4H] [JS 5S 2S] ,6H,2.3495037750265344,2
10,2,3,Player 3: [9C 6C 4C] [TD 9D 5D 4D] [JH] [KS 4S] ,6H,2.3006320741759576,2
10,2,0,Player 0: [8C 2C] [5D] [QH 7H 4H] [KS 9S 6S 5S] ,9H,2.341807752697978,2
10,2,1,Player 1: [AC JC 5C] [KD QD JD 7D] [] [8S 7S 4S] ,9H,1.563984721804215,2
10,2,2,Player 2: [7C 6C] [AD TD 6D 3D] [JH 5H 3H] [JS] ,9H,3.5429010678196398,4
10,2,3,Player 3: [4C] [9D] [AH KH 6H 2H] [AS TS 3S 2S] ,9H,4.088995375089723,4
10,2,0,Player 0: [AC JC 7C] [TD 8D 7D] [7H] [AS 9S 7S] ,AD,4.042844058188562,4
10,2,1,Player 1: [TC 6C 5C] [KD 9D 5D 2D] [AH KH 3H] [] ,AD,4.229718909162212,4
10,2,2,Player 2: [KC 9C 4C 2C] [QD] [5H 2H] [8S 4S 2S] ,AD,1,1
10,2,3,Player 3: [QC 8C] [JD 3D] [9H 8H 4H] [QS 6S 3S] ,AD,1,2
10,2,0,Player 0: [TC 9C 6C 2C] [TD 8D] [7H] [5S 4S 3S] ,2S,1.226362050184866,1
10,2,1,Player 1: [QC 4C] [AD 6D 5D] [AH KH 4H] [AS 9S] ,2S,4.316627114182606,4
10,2,2,Player 2: [8C 3C] [QD JD 9D 3D 2D] [2H] [QS 7S] ,2S,1.9062427559983215,2
10,2,3,Player 3: [JC] [4D] [QH JH TH 9H 8H 3H] [KS 6S] ,2S,2.4779442855141807,2
10,2,0,Player 0: [8C 4C] [AD KD 6D] [8H 2H] [5S 4S 3S] ,4D,2.339372037597407,2
10,2,1,Player 1: [TC 9C 6C 2C] [TD 7D] [AH 9H 6H 4H] [] ,4D,3.350413498518822,3
10,2,2,Player 2: [KC QC 5C] [JD 9D] [KH QH] [QS 8S 7S] ,4D,2.4939720362075337,2
10,2,3,Player 3: [7C] [QD 5D 3D 2D] [5H] [AS TS 9S 6S] ,4D,4.2504027481091216,4
10,2,0,Player 0: [TC 9C] [KD 8D 4D] [JH] [JS 9S 6S 2S] ,AH,1.6135247760344964,2
10,2,1,Player 1: [AC QC 6C 5C] [AD 2D] [9H 8H] [KS 3S] ,AH,3.3876775258269998,3
10,2,2,Player 2: [KC 4C] [TD 5D] [QH 5H 2H] [QS 7S 5S] ,AH,1.9625471795071725,2
10,2,3,Player 3: [8C 7C] [QD 9D 7D 6D] [6H 3H] [8S 4S] ,AH,1.1671505527479438,1
10,2,0,Player 0: [AC TC 9C 5C 4C] [6D 2D] [] [7S 4S 2S] ,QH,0.8596138505051141,1
10,2,1,Player 1: [] [JD TD 9D] [AH TH 5H 4H 3H] [JS 9S] ,QH,5.054359908930316,5
10,2,2,Player 2: [KC QC 2C] [KD QD 8D 7D] [KH 7H] [AS] ,QH,3.2333590051927477,3
10,2,3,Player 3: [8C 6C 3C] [5D 3D] [9H 6H 2H] [TS 8S] ,QH,0,0
9,2,0,Player 0: [5C 4C 3C] [TD 5D 3D] [AH 5H] [5S] ,9C,2.342905965554864,2
9,2,1,Player 1: [JC 8C] [AD 6D] [JH 4H] [JS TS 7S] ,9C,2.2942122997213126,2
9,2,2,Player 2: [QC TC 7C] [9D] [KH TH 8H 7H 3H] [] ,9C,3.879825550361802,4
9,2,3,Player 3: [KC 6C] [KD 8D 4D 2D] [] [KS 4S 3S] ,9C,1.4292522192365242,2
9,2,0,Player 0: [KC JC] [JD 8D 6D] [8H 6H] [6S 2S] ,AH,1.0792481208678602,1
9,2,1,Player 1: [TC 8C 7C 6C 4C] [5D 4D] [QH 9H] [] ,AH,2.658145877504525,3
9,2,2,Player 2: [9C 3C] [KD QD TD] [KH] [KS TS 4S] ,AH,2.1343785419592938,2
9,2,3,Player 3: [QC 5C] [AD 3D 2D] [TH] [AS 8S 5S] ,AH,3.932416988623294,4
9,2,0,Player 0: [6C] [AD 8D 6D 4D] [TH 5H] [6S 5S] ,JC,1.006652369896507,1
9,2,1,Player 1: [8C] [TD 9D 3D] [4H] [QS 9S 8S 3S] ,JC,1.1139729500258395,1
9,2,2,Player 2: [KC 7C 5C 3C] [] [QH JH 9H 8H] [TS] ,JC,4.905321859591247,5
9,2,3,Player 3: [9C 2C] [QD JD] [AH 7H 2H] [AS JS] ,JC,2.384805936287433,3
9,2,0,Player 0: [8C 4C] [TD 9D] [AH QH] [9S 8S 4S] ,2C,1.7322924097963888,2
9,2,1,Player 1: [JC 3C] [AD 5D 3D] [KH JH 5H] [3S] ,2C,3.048481846862298,3
9,2,2,Player 2: [7C 6C] [QD 7D] [4H] [AS 6S 5S 2S] ,2C,1.2960965318548,1
9,2,3,Player 3: [KC QC 9C 5C] [JD] [9H 8H 7H] [QS] ,2C,4.372860693945304,4
9,2,0,Player 0: [7C] [7D 3D] [AH 8H 5H] [TS 8S 5S] ,7H,1.7565346053973332,2
9,2,1,Player 1: [TC 5C 4C] [9D 5D 2D] [QH] [9S 7S] ,7H,1.2358764321601743,1
9,2,2,Player 2: [KC 6C] [JD 8D 6D] [JH 6H] [AS KS] ,7H,3.873795892501711,4
9,2,3,Player 3: [AC QC] [AD KD QD] [KH TH 9H] [3S] ,7H,4,4
9,2,0,Player 0: [5C 4C] [QD 7D 4D] [JH 8H] [9S 6S] ,QH,1.2613147854780344,1
9,2,1,Player 1: [AC] [KD JD 9D] [AH] [KS QS 3S 2S] ,QH,3.3021320815248525,3
9,2,2,Player 2: [TC 7C 6C] [8D 3D 2D] [7H 3H] [TS] ,QH,0.9201722320708007,1
9,2,3,Player 3: [KC 8C 3C] [AD 5D] [KH 9H 4H] [AS] ,QH,6.0706497228377385,6
9,2,0,Player 0: [AC KC TC 6C 3C] [AD] [] [QS JS TS] ,9C,6.229718547302944,6
9,2,1,Player 1: [JC] [KD 9D] [KH QH TH 8H 5H 4H] [] ,9C,1.3833624094887933,1
9,2,2,Player 2: [7C 5C] [QD 6D 2D] [9H] [AS 4S 2S] ,9C,0.2305787580385655,0
9,2,3,Player 3: [4C] [8D 4D] [JH 6H 2H] [KS 9S 5S] ,9C,0.2393182498909726,0
9,2,0,Player 0: [2C] [KD 6D] [KH 6H 2H] [7S 5S 2S] ,4D,2.0241371458328277,2
9,2,1,Player 1: [3C] [AD 7D 3D 2D] [8H 4H] [QS 9S] ,4D,2.618364732304213,3
9,2,2,Player 2: [9C 7C] [9D 5D] [9H 7H] [TS 6S 4S] ,4D,0.3325417073937343,0
9,2,3,Player 3: [KC QC TC 6C 4C] [QD] [TH] [KS JS] ,4D,3.8511209620607256,3
9,2,0,Player 0: [8C 4C] [4D] [JH 6H] [9S 8S 7S 2S] ,9D,0.1852780190423931,0
9,2,1,Player 1: [7C 6C 5C 3C] [7D 3D] [QH] [JS TS] ,9D,1.6239187018272616,2
9,2,2,Player 2: [JC] [KD QD JD 8D 6D] [9H 2H] [KS] ,9D,6.497188107726294,6
9,2,3,Player 3: [AC KC QC 9C] [AD] [8H] [QS 6S 4S] ,9D,0.8618781691807563,0
9,2,0,Player 0: [] [TD 8D 6D 3D] [3H 2H] [JS TS 8S] ,JD,3.001464472999984,3
9,2,1,Player 1: [9C 6C 5C 3C] [2D] [8H 7H 5H] [6S] ,JD,0.27013561868328395,0
9,2,2,Player 2: [TC 8C 7C 2C] [9D] [AH KH 6H] [9S] ,JD,2.63710869531502,3
9,2,3,Player 3: [KC JC 4C] [AD] [QH] [AS KS QS 7S] ,JD,3.496730386218001,4
9,2,0,Player 0: [9C 6C] [KD JD TD 7D] [7H] [5S 2S] ,6S,0.9401013090751626,1
9,2,1,Player 1: [AC 8C 4C] [QD 6D 5D 2D] [3H] [8S] ,6S,2.027580774955227,2
9,2,2,Player 2: [7C 5C 2C] [] [QH 6H] [AS KS QS 3S] ,6S,5.404377144730883,5
9,2,3,Player 3: [KC 3C] [9D] [JH TH 4H] [JS 9S 7S] ,6S,0.7977985588540439,0
9,2,0,Player 0: [QC 8C 5C 2C] [AD 5D] [3H 2H] [TS] ,5H,1.6941520439991584,2
9,2,1,Player 1: [9C 7C 4C] [JD 4D 2D] [4H] [JS 5S] ,5H,0.307845118745333,0
9,2,2,Player 2: [JC TC] [TD 9D] [6H] [KS 7S 6S 4S] ,5H,1.922190571456296,2
9,2,3,Player 3: [AC 3C] [7D] [AH QH 7H] [AS 9S 8S] ,5H,7,7
9,2,0,Player 0: [3C 2C] [QD TD 7D 5D] [9H 4H] [2S] ,9S,0.2376633193393152,0
9,2,1,Player 1: [9C] [6D 4D] [AH 8H] [KS 7S 6S 3S] ,9S,4.240815960251806,4
9,2,2,Player 2: [QC] [KD JD] [QH JH 6H] [AS QS JS] ,9S,4.3469063315157594,4
9,2,3,Player 3: [KC JC] [AD 3D] [KH 7H 5H 2H] [TS] ,9S,1.4608711029657522,2
9,2,0,Player 0: [QC JC] [6D] [8H 2H] [TS 8S 6S 3S] ,AS,2.5317808853511745,3
9,2,1,Player 1: [AC TC 9C 7C 5C] [AD] [QH] [KS 7S] ,AS,3.29729240894388,3
9,2,2,Player 2: [KC] [TD 5D 3D] [AH KH JH 9H] [QS] ,AS,1.8845729991968785,2
9,2,3,Player 3: [3C 2C] [KD JD] [7H 5H 3H] [JS 2S] ,AS,1.1953572525333722,2
9,2,0,Player 0: [KC] [7D 4D 2D] [4H] [KS 7S 5S 4S] ,8H,1.4178557440374748,1
