seed,winner,score1,score2,score3,score0,dealer,round1,round2,round3,round4,round5,round6,round7,round8,round9,round10,round11,round12,round13,round14,round15,round16,round17,round18,round19
160036,0,111,125,98,162,0,"[10, 0, 13, 0]","[12, 0, 0, 11]","[15, 13, 10, 0]","[11, 0, 0, 0]","[11, 11, 0, 0]","[0, 11, 0, 11]","[10, 0, 0, 0]","[10, 12, 10, 0]","[10, 10, 12, 0]","[0, 10, 10, 11]","[10, 0, 11, 10]","[0, 11, 0, 0]","[0, 10, 0, 11]","[12, 11, 11, 0]","[12, 0, 11, 11]","[11, 0, 0, 11]","[13, 0, 10, 12]","[15, 0, 12, 0]","[0, 12, 15, 10]"
160037,0,117,114,107,161,1,"[0, 13, 11, 0]","[11, 12, 0, 12]","[0, 0, 12, 0]","[11, 13, 0, 10]","[10, 13, 0, 0]","[0, 0, 0, 0]","[0, 12, 11, 10]","[11, 10, 11, 0]","[11, 10, 0, 11]","[10, 0, 11, 10]","[10, 0, 10, 11]","[11, 10, 0, 11]","[13, 0, 11, 10]","[13, 11, 0, 11]","[12, 0, 0, 11]","[0, 0, 0, 0]","[14, 0, 10, 0]","[10, 0, 16, 0]","[14, 13, 11, 0]"
160038,0,114,125,102,134,2,"[15, 0, 11, 0]","[10, 11, 0, 0]","[10, 13, 0, 0]","[10, 0, 12, 12]","[0, 13, 10, 0]","[13, 0, 10, 0]","[11, 10, 13, 0]","[11, 10, 10, 0]","[10, 10, 0, 10]","[0, 11, 10, 10]","[10, 10, 0, 11]","[0, 11, 0, 0]","[0, 0, 0, 11]","[11, 0, 11, 11]","[11, 0, 12, 10]","[0, 0, 0, 14]","[0, 0, 14, 0]","[0, 0, 0, 13]","[12, 15, 12, 0]"
160039,2,112,133,109,128,3,"[0, 11, 14, 12]","[11, 13, 0, 12]","[15, 0, 10, 0]","[13, 0, 11, 11]","[0, 0, 12, 0]","[0, 0, 0, 11]","[12, 10, 0, 11]","[0, 0, 0, 11]","[10, 10, 10, 0]","[10, 10, 11, 0]","[12, 10, 10, 0]","[11, 0, 10, 10]","[12, 0, 0, 0]","[0, 0, 10, 0]","[10, 0, 11, 10]","[0, 10, 12, 0]","[12, 11, 12, 0]","[0, 12, 0, 11]","[0, 15, 0, 10]"
160040,0,131,147,98,156,0,"[11, 0, 0, 0]","[0, 13, 12, 12]","[0, 0, 14, 0]","[0, 10, 12, 12]","[12, 10, 12, 0]","[0, 13, 10, 0]","[0, 0, 10, 12]","[11, 11, 0, 10]","[11, 11, 10, 0]","[10, 0, 10, 10]","[10, 0, 11, 10]","[10, 11, 0, 11]","[12, 10, 10, 0]","[11, 0, 0, 0]","[11, 0, 0, 0]","[10, 14, 11, 0]","[12, 12, 11, 0]","[13, 0, 14, 11]","[12, 16, 0, 10]"
160041,3,102,114,122,114,1,"[0, 0, 0, 0]","[0, 13, 13, 12]","[0, 15, 11, 12]","[0, 11, 12, 0]","[0, 0, 0, 0]","[11, 10, 0, 11]","[11, 10, 0, 11]","[10, 10, 0, 13]","[10, 0, 10, 0]","[10, 0, 10, 10]","[10, 11, 0, 0]","[10, 0, 10, 11]","[11, 11, 0, 11]","[11, 0, 12, 10]","[10, 0, 0, 0]","[10, 0, 0, 10]","[0, 0, 12, 0]","[0, 0, 12, 0]","[0, 11, 12, 11]"
160042,0,133,141,77,152,2,"[0, 0, 11, 0]","[14, 12, 0, 0]","[11, 0, 12, 0]","[0, 0, 10, 0]","[0, 11, 10, 0]","[13, 11, 0, 11]","[11, 12, 10, 0]","[10, 0, 10, 13]","[12, 10, 10, 10]","[10, 10, 10, 0]","[11, 10, 11, 0]","[11, 0, 10, 10]","[10, 11, 0, 10]","[0, 0, 11, 11]","[12, 11, 12, 0]","[0, 11, 0, 0]","[14, 0, 0, 12]","[13, 11, 14, 0]","[0, 13, 0, 0]"
160043,2,123,182,77,155,3,"[11, 0, 12, 0]","[14, 12, 0, 11]","[12, 0, 12, 11]","[0, 12, 13, 12]","[12, 10, 12, 0]","[12, 10, 11, 0]","[11, 0, 10, 11]","[10, 0, 12, 10]","[10, 12, 10, 0]","[10, 10, 10, 0]","[11, 10, 10, 0]","[10, 0, 0, 0]","[0, 0, 11, 0]","[10, 11, 12, 0]","[11, 11, 0, 11]","[11, 0, 13, 0]","[0, 13, 12, 11]","[0, 0, 10, 0]","[0, 12, 12, 0]"
160044,0,106,124,125,157,0,"[14, 12, 0, 10]","[12, 13, 0, 0]","[12, 0, 0, 0]","[0, 11, 14, 10]","[12, 10, 0, 10]","[0, 0, 10, 0]","[12, 0, 10, 12]","[10, 0, 11, 10]","[10, 0, 0, 11]","[10, 0, 10, 10]","[11, 10, 0, 10]","[10, 0, 11, 10]","[10, 0, 11, 10]","[12, 0, 0, 0]","[11, 13, 0, 11]","[0, 11, 13, 11]","[0, 15, 11, 0]","[11, 0, 12, 0]","[0, 11, 11, 0]"
160045,2,146,159,76,125,1,"[10, 0, 14, 0]","[0, 0, 13, 0]","[13, 13, 0, 11]","[0, 11, 10, 0]","[13, 11, 0, 12]","[11, 10, 0, 0]","[0, 0, 0, 0]","[0, 11, 10, 12]","[0, 11, 11, 10]","[0, 10, 10, 10]","[10, 0, 12, 10]","[11, 0, 10, 0]","[10, 11, 0, 0]","[0, 10, 10, 11]","[12, 10, 11, 0]","[11, 13, 10, 0]","[10, 14, 12, 0]","[14, 11, 12, 0]","[0, 0, 14, 0]"
