seed,winner,score1,score2,score3,score0,dealer,round1,round2,round3,round4,round5,round6,round7,round8,round9,round10,round11,round12,round13,round14,round15,round16,round17,round18,round19
20113,2,90,136,79,129,1,"[0, 13, 13, 0]","[12, 0, 0, 0]","[0, 11, 11, 13]","[10, 0, 13, 0]","[10, 0, 12, 11]","[10, 0, 0, 0]","[0, 11, 10, 0]","[10, 0, 11, 0]","[10, 10, 0, 10]","[10, 0, 11, 10]","[10, 0, 10, 0]","[10, 0, 0, 0]","[14, 10, 0, 0]","[11, 11, 10, 0]","[0, 0, 0, 12]","[0, 0, 12, 0]","[12, 0, 12, 12]","[0, 11, 0, 11]","[0, 13, 11, 0]"
20114,1,147,112,121,71,2,"[0, 11, 0, 14]","[0, 0, 0, 0]","[0, 0, 13, 0]","[11, 0, 11, 0]","[13, 10, 0, 0]","[12, 13, 0, 10]","[0, 10, 11, 11]","[0, 11, 11, 11]","[10, 12, 10, 0]","[0, 11, 10, 10]","[0, 11, 10, 10]","[0, 11, 0, 10]","[0, 11, 10, 12]","[12, 0, 0, 10]","[0, 11, 11, 0]","[0, 0, 0, 11]","[0, 11, 0, 0]","[0, 14, 0, 12]","[13, 0, 15, 0]"
20115,2,143,149,87,124,3,"[13, 0, 0, 11]","[12, 0, 0, 0]","[0, 0, 13, 11]","[0, 13, 13, 0]","[11, 11, 11, 0]","[0, 12, 11, 10]","[0, 12, 0, 0]","[10, 10, 0, 11]","[11, 10, 11, 10]","[0, 10, 10, 10]","[11, 10, 11, 0]","[11, 0, 0, 0]","[10, 0, 10, 11]","[0, 10, 11, 0]","[0, 10, 12, 0]","[0, 11, 11, 0]","[14, 10, 13, 0]","[10, 0, 12, 13]","[11, 14, 0, 0]"
20116,2,124,141,87,136,0,"[11, 0, 13, 12]","[12, 11, 0, 0]","[0, 13, 13, 0]","[0, 0, 13, 0]","[11, 0, 12, 12]","[0, 10, 12, 0]","[13, 0, 0, 0]","[11, 10, 12, 0]","[0, 10, 0, 0]","[0, 10, 10, 10]","[10, 0, 11, 11]","[10, 11, 0, 10]","[11, 12, 10, 0]","[0, 0, 10, 0]","[0, 0, 12, 10]","[11, 0, 0, 10]","[13, 11, 13, 0]","[10, 13, 0, 0]","[13, 13, 0, 12]"
20117,1,185,112,127,137,1,"[13, 15, 0, 11]","[12, 0, 0, 10]","[12, 13, 12, 0]","[12, 11, 12, 0]","[0, 13, 0, 10]","[0, 12, 11, 10]","[0, 11, 11, 11]","[0, 11, 11, 10]","[10, 10, 11, 11]","[10, 10, 0, 10]","[10, 10, 0, 10]","[0, 10, 10, 0]","[10, 11, 0, 11]","[0, 13, 11, 10]","[10, 0, 0, 0]","[11, 12, 0, 0]","[13, 0, 0, 0]","[14, 11, 12, 0]","[0, 12, 11, 13]"
20118,1,163,115,99,109,2,"[0, 0, 0, 0]","[0, 0, 11, 0]","[0, 12, 0, 11]","[0, 11, 11, 0]","[11, 11, 11, 0]","[10, 10, 0, 0]","[0, 10, 0, 0]","[10, 10, 0, 10]","[0, 10, 10, 10]","[10, 10, 0, 11]","[10, 11, 0, 11]","[10, 0, 11, 11]","[0, 12, 11, 10]","[11, 10, 0, 13]","[11, 10, 13, 0]","[0, 0, 12, 0]","[14, 11, 12, 0]","[0, 11, 0, 12]","[12, 14, 13, 0]"
20119,2,100,148,115,141,3,"[12, 0, 15, 11]","[0, 0, 10, 0]","[13, 13, 0, 11]","[11, 12, 0, 11]","[0, 0, 10, 0]","[0, 10, 12, 10]","[0, 0, 0, 0]","[11, 0, 10, 10]","[11, 10, 0, 10]","[0, 10, 10, 10]","[10, 0, 12, 10]","[10, 0, 11, 11]","[0, 10, 0, 0]","[12, 10, 0, 0]","[12, 13, 10, 0]","[0, 0, 13, 10]","[14, 12, 11, 0]","[13, 0, 11, 0]","[12, 0, 13, 11]"
20120,2,141,171,100,130,0,"[12, 12, 0, 10]","[0, 11, 15, 0]","[11, 14, 12, 0]","[0, 0, 13, 12]","[12, 12, 10, 0]","[10, 12, 0, 0]","[10, 0, 11, 12]","[10, 12, 10, 0]","[11, 10, 0, 11]","[10, 0, 10, 10]","[10, 0, 10, 11]","[10, 12, 10, 0]","[0, 10, 0, 0]","[0, 10, 11, 12]","[0, 13, 11, 11]","[12, 0, 10, 11]","[12, 13, 12, 0]","[0, 0, 14, 0]","[0, 0, 12, 0]"
20121,2,74,163,88,100,1,"[10, 0, 16, 10]","[10, 0, 15, 12]","[12, 11, 0, 0]","[0, 10, 11, 0]","[0, 0, 0, 0]","[0, 0, 12, 0]","[0, 0, 12, 10]","[0, 0, 10, 0]","[0, 10, 10, 12]","[10, 0, 10, 10]","[10, 11, 10, 0]","[0, 10, 10, 11]","[0, 11, 0, 0]","[13, 0, 12, 10]","[0, 0, 0, 0]","[11, 0, 11, 13]","[0, 0, 13, 0]","[13, 0, 11, 0]","[11, 11, 0, 0]"
20122,2,134,157,90,83,2,"[0, 13, 10, 15]","[15, 0, 0, 12]","[0, 0, 11, 0]","[0, 12, 11, 13]","[0, 0, 11, 0]","[0, 0, 14, 0]","[0, 0, 11, 0]","[10, 11, 0, 10]","[10, 11, 11, 10]","[0, 11, 10, 10]","[0, 11, 10, 10]","[10, 10, 11, 0]","[0, 10, 0, 0]","[11, 10, 12, 0]","[0, 11, 11, 10]","[0, 11, 0, 0]","[14, 0, 0, 0]","[0, 0, 13, 0]","[13, 13, 11, 0]"
