gameID,player,numTricks,numParticles,lambda,useHeuristic,mcIterations,selfish,score,tricksWon,bid,dealer
0,0,10,2000,3.0,True,1000,True,0,2,4,1
0,1,10,2000,3.0,False,0,True,18,8,8,1
1,0,10,2000,3.0,True,1000,True,0,3,5,0
1,1,10,2000,3.0,False,0,True,0,7,6,0
2,0,10,2000,3.0,True,1000,True,0,1,6,0
2,1,10,2000,3.0,False,0,True,0,9,6,0
3,0,10,2000,3.0,True,1000,True,0,4,7,0
3,1,10,2000,3.0,False,0,True,0,6,5,0
4,0,10,2000,3.0,True,1000,True,17,7,7,0
4,1,10,2000,3.0,False,0,True,0,3,4,0
5,0,10,2000,3.0,True,1000,True,0,8,6,1
5,1,10,2000,3.0,False,0,True,0,2,6,1
6,0,10,2000,3.0,True,1000,True,19,9,9,0
6,1,10,2000,3.0,False,0,True,0,1,3,0
7,0,10,2000,3.0,True,1000,True,0,7,6,1
7,1,10,2000,3.0,False,0,True,0,3,6,1
8,0,10,2000,3.0,True,1000,True,0,3,5,0
8,1,10,2000,3.0,False,0,True,0,7,4,0
9,0,10,2000,3.0,True,1000,True,0,6,7,1
9,1,10,2000,3.0,False,0,True,14,4,4,1
10,0,10,2000,3.0,True,1000,True,14,4,4,0
10,1,10,2000,3.0,False,0,True,0,6,7,0
11,0,10,2000,3.0,True,1000,True,0,7,5,1
11,1,10,2000,3.0,False,0,True,13,3,3,1
12,0,10,2000,3.0,True,1000,True,0,2,4,1
12,1,10,2000,3.0,False,0,True,18,8,8,1
13,0,10,2000,3.0,True,1000,True,18,8,8,1
13,1,10,2000,3.0,False,0,True,0,2,0,1
14,0,10,2000,3.0,True,1000,True,0,9,5,0
14,1,10,2000,3.0,False,0,True,0,1,4,0
15,0,10,2000,3.0,True,1000,True,0,4,3,0
15,1,10,2000,3.0,False,0,True,0,6,5,0
16,0,10,2000,3.0,True,1000,True,15,5,5,1
16,1,10,2000,3.0,False,0,True,0,5,3,1
17,0,10,2000,3.0,True,1000,True,15,5,5,1
17,1,10,2000,3.0,False,0,True,0,5,6,1
18,0,10,2000,3.0,True,1000,True,0,6,7,0
18,1,10,2000,3.0,False,0,True,0,4,2,0
19,0,10,2000,3.0,True,1000,True,16,6,6,0
19,1,10,2000,3.0,False,0,True,0,4,5,0
20,0,10,2000,3.0,True,1000,True,0,5,9,0
20,1,10,2000,3.0,False,0,True,0,5,3,0
21,0,10,2000,3.0,True,1000,True,0,5,6,0
21,1,10,2000,3.0,False,0,True,15,5,5,0
22,0,10,2000,3.0,True,1000,True,0,5,2,0
22,1,10,2000,3.0,False,0,True,0,5,7,0
23,0,10,2000,3.0,True,1000,True,0,6,4,1
23,1,10,2000,3.0,False,0,True,0,4,8,1
24,0,10,2000,3.0,True,1000,True,16,6,6,1
