gameID,player,numTricks,numParticles,lambda,useHeuristic,mcIterations,selfish,score,tricksWon,bid,dealer
0,0,8,500,1.3,False,50,True,12,2,2,1
0,1,8,500,1.3,False,0,True,11,1,1,1
0,2,8,500,1.3,False,0,True,0,5,3,1
1,0,8,500,1.3,False,50,True,0,3,4,0
1,1,8,500,1.3,False,0,True,0,1,2,0
1,2,8,500,1.3,False,0,True,0,4,3,0
2,0,8,500,1.3,False,50,True,0,4,2,0
2,1,8,500,1.3,False,0,True,10,0,0,0
2,2,8,500,1.3,False,0,True,0,4,5,0
3,0,8,500,1.3,False,50,True,0,4,2,0
3,1,8,500,1.3,False,0,True,13,3,3,0
3,2,8,500,1.3,False,0,True,11,1,1,0
4,0,8,500,1.3,False,50,True,0,3,4,0
4,1,8,500,1.3,False,0,True,0,3,4,0
4,2,8,500,1.3,False,0,True,0,2,1,0
5,0,8,500,1.3,False,50,True,0,2,3,2
5,1,8,500,1.3,False,0,True,0,6,5,2
5,2,8,500,1.3,False,0,True,0,0,1,2
6,0,8,500,1.3,False,50,True,0,4,3,2
6,1,8,500,1.3,False,0,True,13,3,3,2
6,2,8,500,1.3,False,0,True,0,1,0,2
7,0,8,500,1.3,False,50,True,12,2,2,1
7,1,8,500,1.3,False,0,True,0,4,5,1
7,2,8,500,1.3,False,0,True,12,2,2,1
8,0,8,500,1.3,False,50,True,0,0,3,0
8,1,8,500,1.3,False,0,True,12,2,2,0
8,2,8,500,1.3,False,0,True,0,6,2,0
9,0,8,500,1.3,False,50,True,0,2,3,1
9,1,8,500,1.3,False,0,True,0,6,5,1
9,2,8,500,1.3,False,0,True,0,0,2,1
10,0,8,500,1.3,False,50,True,15,5,5,2
10,1,8,500,1.3,False,0,True,0,1,0,2
10,2,8,500,1.3,False,0,True,0,2,4,2
11,0,8,500,1.3,False,50,True,0,1,2,1
11,1,8,500,1.3,False,0,True,0,3,6,1
11,2,8,500,1.3,False,0,True,0,4,1,1
12,0,8,500,1.3,False,50,True,0,0,1,1
12,1,8,500,1.3,False,0,True,0,0,3,1
12,2,8,500,1.3,False,0,True,0,8,2,1
13,0,8,500,1.3,False,50,True,11,1,1,1
13,1,8,500,1.3,False,0,True,0,2,1,1
13,2,8,500,1.3,False,0,True,0,5,4,1
14,0,8,500,1.3,False,50,True,0,3,1,0
14,1,8,500,1.3,False,0,True,0,2,3,0
14,2,8,500,1.3,False,0,True,0,3,2,0
15,0,8,500,1.3,False,50,True,0,3,2,0
15,1,8,500,1.3,False,0,True,12,2,2,0
15,2,8,500,1.3,False,0,True,13,3,3,0
16,0,8,500,1.3,False,50,True,0,4,3,1
16,1,8,500,1.3,False,0,True,13,3,3,1
16,2,8,500,1.3,False,0,True,11,1,1,1
17,0,8,500,1.3,False,50,True,13,3,3,2
17,1,8,500,1.3,False,0,True,0,2,3,2
17,2,8,500,1.3,False,0,True,13,3,3,2
18,0,8,500,1.3,False,50,True,11,1,1,0
18,1,8,500,1.3,False,0,True,0,3,1,0
18,2,8,500,1.3,False,0,True,14,4,4,0
19,0,8,500,1.3,False,50,True,0,1,2,2
19,1,8,500,1.3,False,0,True,13,3,3,2
19,2,8,500,1.3,False,0,True,14,4,4,2
20,0,8,500,1.3,False,50,True,11,1,1,2
20,1,8,500,1.3,False,0,True,0,2,4,2
20,2,8,500,1.3,False,0,True,0,5,2,2
