card,rankCategory,trump,numSuitInHand,tricksToWin0,tricksToWin1,tricksToWin2,tricksToWin3,tricksLeft
2H,low,False,4,1,3,4,3,10
6C,mediumlow,False,2,0,3,2,2,6
TH,high,False,3,-1,3,1,1,3
5S,low,False,3,0,6,1,4,10
TD,high,True,3,3,1,5,0,10
KC,veryhigh,False,3,2,1,5,0,9
5D,low,True,2,1,1,5,0,8
5H,low,True,3,3,3,2,0,10
AS,veryhigh,False,2,2,2,2,-1,7
6H,mediumlow,True,2,1,2,2,-1,6
TS,high,False,1,0,1,2,-1,4
5C,low,False,4,2,2,5,0,10
8C,mediumHigh,False,3,1,1,5,0,8
3C,low,False,2,0,0,4,-1,4
9H,mediumHigh,False,2,3,2,2,4,10
7D,mediumlow,False,5,2,2,2,4,9
5S,low,True,2,1,2,2,3,7
4D,low,False,3,0,1,0,3,3
AD,veryhigh,False,2,5,1,1,4,10
KS,veryhigh,False,4,4,1,1,4,9
8S,mediumHigh,False,2,3,0,-1,3,4
6S,mediumlow,False,1,2,-1,-1,3,2
KD,veryhigh,False,4,3,3,2,3,10
AC,veryhigh,False,2,2,3,2,3,9
4H,low,False,1,1,3,2,3,8
5C,low,False,1,0,3,0,1,3
5H,low,True,4,3,2,6,0,10
QS,high,False,2,2,2,4,0,7
6H,mediumlow,True,2,1,2,4,0,6
2H,low,True,1,1,4,5,1,10
5C,low,False,4,0,4,4,1,8
2C,low,False,1,-1,2,2,0,2
2S,low,False,3,3,3,2,1,10
QH,high,False,1,2,3,-2,1,5
9S,mediumHigh,False,1,1,3,-2,1,4
7D,mediumlow,True,2,0,3,-2,1,3
QH,high,False,4,2,5,1,3,10
2H,low,False,3,1,5,1,3,9
5C,low,False,2,0,4,1,1,5
TH,high,False,4,1,3,4,3,10
4C,low,False,3,0,2,4,3,8
3C,low,True,3,2,3,4,0,10
KC,veryhigh,True,1,1,1,2,-3,2
AS,veryhigh,False,3,4,3,0,2,10
2S,low,False,2,3,3,0,2,9
JH,high,True,1,2,-1,-1,1,2
7S,mediumlow,True,4,2,2,3,5,10
6D,mediumlow,False,1,1,-1,2,3,3
TH,high,False,4,1,3,2,6,10
7S,mediumlow,False,3,0,3,2,6,9
AS,veryhigh,False,3,5,1,1,4,10
6C,mediumlow,True,4,4,1,1,4,9
QC,high,True,2,3,-3,0,4,3
TC,high,True,1,2,-3,0,4,2
3D,low,False,3,3,2,2,4,10
2D,low,False,2,2,1,-1,3,4
8S,mediumHigh,True,2,1,1,-2,3,2
AH,veryhigh,False,3,5,4,0,2,10
AS,veryhigh,False,2,4,4,0,2,9
4C,low,True,4,3,4,0,2,8
4H,low,False,1,2,1,-1,2,3
AH,veryhigh,False,3,4,0,4,1,10
JD,high,False,1,3,0,4,1,9
5H,low,False,2,2,0,4,1,8
7S,mediumlow,False,4,1,-1,4,1,6
2H,low,False,1,0,-1,3,0,3
7S,mediumlow,False,2,2,2,3,4,10
2C,low,False,3,1,1,3,3,7
4C,low,False,2,0,1,1,2,3
KS,veryhigh,False,2,3,3,0,5,10
QS,high,False,1,2,3,0,5,9
4C,low,True,4,1,3,0,4,7
9S,mediumHigh,False,3,3,1,3,4,10
JH,high,False,1,2,0,3,3,7
TD,high,False,3,1,0,3,2,5
5C,low,False,3,2,6,0,0,10
JD,high,True,2,1,6,0,-1,8
9S,mediumHigh,False,3,0,5,0,-1,6
9C,mediumHigh,False,2,-1,4,0,-1,4
8C,mediumHigh,False,4,4,1,1,6,10
9S,mediumHigh,True,2,3,0,1,6,8
9H,mediumHigh,False,2,2,0,1,3,4
8C,mediumHigh,True,2,2,2,3,4,10
AC,veryhigh,True,1,1,2,3,3,8
2H,low,False,4,0,2,3,3,7
6H,mediumlow,False,2,-1,2,0,3,3
3D,low,False,3,3,4,2,2,10
AC,veryhigh,False,2,2,2,0,2,5
JC,high,False,1,1,2,0,2,4
JH,high,False,3,2,4,3,2,10
8S,mediumHigh,False,2,1,3,2,0,5
3C,low,False,2,1,3,5,0,10
2H,low,True,2,0,2,4,-1,6
QH,high,False,4,3,3,5,0,10
KS,veryhigh,False,4,2,3,4,0,8
5S,low,False,3,1,3,4,0,7
5H,low,False,3,0,2,3,0,4
2S,low,False,4,0,3,3,6,10
9S,mediumHigh,False,3,-1,2,3,3,5
7C,mediumlow,False,3,5,3,0,3,10
TD,high,False,3,4,3,0,2,8
AH,veryhigh,True,2,3,2,0,2,6
KC,veryhigh,False,2,2,2,0,2,5
8C,mediumHigh,False,1,1,2,0,0,2
TH,high,False,3,3,5,1,2,10
TS,high,False,2,2,5,1,2,9
6C,mediumlow,True,3,1,5,1,2,8
7S,mediumlow,False,1,0,4,1,2,6
8D,mediumHigh,False,3,2,1,6,2,10
TC,high,False,3,1,1,5,2,8
4H,low,True,4,3,2,2,1,10
AH,veryhigh,True,2,2,0,2,1,7
JH,high,True,1,1,0,2,1,6
7S,mediumlow,False,1,0,0,2,1,5
6D,mediumlow,False,2,-1,-1,1,1,2
8H,mediumHigh,True,5,7,0,2,0,10
9C,mediumHigh,False,2,6,0,0,0,7
AH,veryhigh,True,3,5,0,-1,0,5
JH,high,True,2,4,0,-1,0,4
2H,low,True,1,3,0,-1,0,3
KD,veryhigh,False,1,2,0,-1,0,2
5D,low,True,2,3,1,5,0,10
AC,veryhigh,False,4,2,1,4,0,8
4H,low,False,2,1,1,4,0,7
AC,veryhigh,False,5,2,4,1,4,10
9C,mediumHigh,False,4,1,4,1,4,9
4H,low,False,2,0,4,1,3,7
5H,low,False,1,-1,3,0,3,4
6S,mediumlow,False,5,2,3,2,4,10
KH,veryhigh,False,1,1,2,0,3,5
4S,low,False,3,0,2,0,3,4
TS,high,False,4,4,3,1,1,10
AH,veryhigh,False,2,3,3,1,1,9
8D,mediumHigh,False,2,2,3,1,1,8
7S,mediumlow,False,3,1,1,1,1,5
2D,low,False,1,0,1,0,1,3
QS,high,False,4,4,0,2,5,10
AH,veryhigh,False,2,3,0,2,5,9
QD,high,True,3,2,0,2,5,8
3C,low,False,1,1,0,2,4,6
8S,mediumHigh,False,2,0,-1,2,3,3
7S,mediumlow,False,1,-1,-1,2,3,2
JH,high,False,3,2,2,5,3,10
7C,mediumlow,False,3,1,1,4,3,7
JD,high,True,3,4,2,2,0,10
TD,high,True,2,3,-2,1,-1,3
TS,high,True,1,3,2,1,5,10
JH,high,False,4,2,2,1,5,9
9H,mediumHigh,False,3,1,2,1,5,8
2C,low,False,1,0,1,-1,4,3
5S,low,True,4,2,5,0,2,10
9S,mediumHigh,True,3,1,4,0,2,8
2S,low,False,4,1,5,2,1,10
6S,mediumlow,False,3,0,4,1,1,7
9S,mediumHigh,True,3,3,3,1,4,10
KC,veryhigh,False,3,2,2,1,4,8
TH,high,False,2,1,2,1,4,7
3S,low,True,2,0,2,1,4,6
AH,veryhigh,False,3,4,1,4,0,10
