card,rankCategory,trump,numSuitInHand,tricksToWin0,tricksToWin1,tricksToWin2,tricksToWin3,tricksLeft
6H,mediumlow,True,3,2,4,0,3,10
5D,low,False,2,1,0,-1,3,4
2D,low,False,1,0,-1,-1,3,2
TH,high,False,3,2,3,2,1,10
AS,veryhigh,False,2,1,3,1,1,8
5H,low,False,2,0,3,1,1,7
QH,high,False,7,1,3,4,1,10
AC,veryhigh,False,3,2,4,2,3,10
2H,low,False,5,1,4,2,3,9
4H,low,False,3,0,3,1,2,5
TH,high,False,1,3,2,2,2,10
9D,mediumHigh,True,3,2,2,1,-2,4
QD,high,True,1,1,1,1,-2,2
AS,veryhigh,False,6,3,3,1,5,10
AH,veryhigh,False,1,2,3,1,5,9
JC,high,False,2,1,3,1,5,8
9D,mediumHigh,True,2,2,3,2,4,10
7D,mediumlow,True,1,1,3,2,2,7
4H,low,False,3,2,5,0,4,10
5S,low,False,2,1,4,-1,2,5
KC,veryhigh,False,5,1,2,6,2,10
4C,low,False,4,0,2,6,2,9
3C,low,False,2,1,3,6,1,10
2S,low,False,4,0,2,5,0,6
5C,low,False,4,1,3,3,4,10
6C,mediumlow,False,2,0,2,-1,2,2
2S,low,False,3,1,4,3,1,10
QS,high,False,1,0,1,2,-2,2
QD,high,False,4,5,2,0,4,10
6D,mediumlow,False,3,4,1,0,3,7
KS,veryhigh,True,3,3,0,0,3,5
4D,low,False,2,2,0,0,3,4
3S,low,False,2,3,4,2,0,10
KD,veryhigh,False,2,2,1,0,0,4
JC,high,False,3,4,2,1,5,10
AC,veryhigh,False,1,3,2,-2,3,4
2S,low,True,3,2,2,-2,3,3
8S,mediumHigh,True,2,2,5,0,4,10
QC,high,False,3,1,5,0,3,8
5D,low,False,2,0,3,-1,1,2
7D,mediumlow,False,5,2,1,6,2,10
9D,mediumHigh,False,4,1,1,5,0,6
3C,low,False,3,4,0,4,3,10
5H,low,True,4,3,-1,3,3,7
6H,mediumlow,True,3,2,-1,2,2,4
5D,low,True,5,3,1,3,2,10
8D,mediumHigh,True,3,2,-1,2,-1,3
4D,low,True,2,1,-1,2,-1,2
7H,mediumlow,False,3,5,0,3,1,10
KC,veryhigh,True,4,4,-2,2,0,5
AC,veryhigh,True,3,3,-2,2,0,4
9H,mediumHigh,False,1,2,-2,2,0,3
AD,veryhigh,False,3,6,2,0,1,10
QD,high,False,2,5,2,0,1,9
KS,veryhigh,True,5,4,2,0,1,8
3S,low,True,4,3,2,0,1,7
4S,low,True,3,2,2,0,1,6
6S,mediumlow,True,2,1,1,-1,1,3
AS,veryhigh,True,1,0,1,-1,1,2
9D,mediumHigh,False,4,1,4,1,6,10
3D,low,False,1,0,2,1,2,3
8S,mediumHigh,False,4,5,2,1,1,10
AS,veryhigh,False,3,4,2,1,0,8
6S,mediumlow,False,2,3,2,1,0,7
5S,low,False,1,2,1,0,-1,3
AC,veryhigh,False,3,4,2,2,3,10
7H,mediumlow,False,4,3,2,2,3,9
4H,low,False,3,2,2,0,3,6
AD,veryhigh,False,4,2,3,1,5,10
JS,high,False,1,1,3,1,5,9
7C,mediumlow,False,3,0,2,1,4,6
QC,high,False,5,3,2,2,4,10
TC,high,False,4,2,1,1,4,7
QS,high,True,1,1,1,1,3,5
4D,low,False,4,1,4,3,3,10
2D,low,False,3,0,4,3,0,6
AS,veryhigh,False,5,1,5,3,0,10
JS,high,False,1,2,4,0,5,10
6H,mediumlow,False,4,2,5,1,3,10
QS,high,False,2,1,5,1,3,9
3D,low,True,1,0,4,0,1,4
QD,high,False,3,1,4,3,3,10
KS,veryhigh,False,6,3,3,2,3,10
AS,veryhigh,False,5,2,2,1,2,6
9H,mediumHigh,False,1,1,2,1,2,5
3S,low,False,4,0,2,1,2,4
5S,low,False,3,-1,2,1,2,3
5D,low,False,4,4,1,3,1,10
QD,high,False,2,3,-1,1,1,5
JD,high,False,1,2,-1,1,1,4
5C,low,True,2,1,-1,1,1,3
AC,veryhigh,True,1,0,-1,1,1,2
4S,low,False,3,1,3,6,1,10
8H,mediumHigh,False,3,0,2,6,0,7
QD,high,False,3,2,1,4,2,10
8S,mediumHigh,False,3,1,1,4,2,9
9S,mediumHigh,False,2,0,1,3,0,5
2H,low,True,1,-1,0,2,0,2
9H,mediumHigh,False,3,2,4,0,3,10
7D,mediumlow,False,2,1,2,-1,3,6
QS,high,False,1,0,1,-2,2,2
7H,mediumlow,False,2,2,1,5,1,10
AD,veryhigh,False,3,3,1,3,4,10
AH,veryhigh,False,4,2,1,3,4,9
5H,low,False,3,1,1,3,4,8
2D,low,False,1,0,-1,2,3,3
8C,mediumHigh,False,4,1,4,1,3,10
7C,mediumlow,False,3,0,3,0,1,5
5H,low,False,3,2,4,2,1,10
3D,low,True,3,1,2,1,0,5
8D,mediumHigh,True,1,0,1,1,-1,2
KS,veryhigh,False,3,3,1,4,1,10
9H,mediumHigh,False,3,2,1,4,1,9
6C,mediumlow,False,3,1,1,4,1,8
TH,high,False,2,0,1,4,0,6
