card,rankCategory,trump,numSuitInHand,tricksToWin0,tricksToWin1,tricksToWin2,tricksToWin3,tricksLeft
KH,veryhigh,False,4,4,5,0,2,10
2H,low,False,2,3,4,-1,1,6
2D,low,False,1,2,4,-1,1,5
6H,mediumlow,False,1,1,3,-2,1,2
6S,mediumlow,False,4,3,2,4,2,10
KS,veryhigh,False,3,2,2,3,2,8
2H,low,False,4,1,2,3,2,7
7C,mediumlow,False,5,0,4,4,1,10
JD,high,False,2,1,2,7,1,10
5C,low,False,3,0,2,5,-1,5
TD,high,False,3,3,1,3,5,10
QD,high,False,1,2,0,3,3,6
TS,high,True,2,1,0,3,3,5
4C,low,False,3,0,0,2,3,3
QH,high,False,3,2,1,4,5,10
KS,veryhigh,False,3,1,0,3,4,6
6D,mediumlow,True,2,0,0,3,4,5
6H,mediumlow,False,4,0,5,2,4,10
AH,veryhigh,True,5,5,0,3,3,10
4C,low,False,3,4,0,3,3,9
6H,mediumlow,True,4,3,0,3,1,6
2C,low,False,1,2,0,2,0,3
AC,veryhigh,False,4,3,3,3,0,10
JC,high,False,3,2,3,3,0,9
3C,low,False,2,1,3,3,0,8
JS,high,False,1,0,0,1,0,2
4H,low,False,4,2,2,3,4,10
KD,veryhigh,False,2,1,2,1,4,7
3H,low,False,2,0,1,1,2,3
AD,veryhigh,False,1,4,0,3,4,10
2C,low,True,3,3,0,3,4,9
JH,high,False,3,2,0,2,4,7
KS,veryhigh,False,3,1,-1,2,3,4
3C,low,True,1,0,-1,2,2,2
AD,veryhigh,False,5,4,0,2,5,10
TD,high,False,4,3,0,2,5,9
AS,veryhigh,False,1,2,0,1,4,6
2C,low,False,1,1,0,1,4,5
5D,low,False,3,0,0,1,3,3
7H,mediumlow,True,3,3,3,0,5,10
5H,low,True,2,2,3,0,5,9
3H,low,True,1,1,3,0,3,6
2S,low,False,1,0,2,0,2,3
KS,veryhigh,False,3,3,2,2,4,10
AS,veryhigh,False,2,2,2,2,4,9
AD,veryhigh,False,3,1,2,2,4,8
3H,low,False,3,0,2,2,4,7
8D,mediumHigh,False,1,-1,1,2,2,3
AS,veryhigh,False,4,5,1,0,6,10
6S,mediumlow,False,3,4,1,0,6,9
7H,mediumlow,True,4,3,1,0,6,8
KS,veryhigh,False,2,2,1,0,5,6
4H,low,True,2,1,1,0,5,5
5C,low,False,2,0,1,0,4,3
KS,veryhigh,False,3,3,3,3,0,10
3H,low,False,3,2,3,1,0,7
4H,low,False,2,1,3,-1,0,4
8C,mediumHigh,False,4,2,5,1,3,10
KH,veryhigh,False,1,1,4,1,2,7
4S,low,False,4,1,4,5,1,10
8D,mediumHigh,True,4,2,2,1,7,10
9D,mediumHigh,True,3,1,1,1,4,5
5S,low,False,1,0,1,1,3,3
7C,mediumlow,False,2,2,2,2,5,10
3S,low,True,3,1,2,2,4,8
3D,low,False,4,0,1,2,4,6
TC,high,False,6,4,4,0,1,10
KC,veryhigh,False,5,3,4,0,1,9
QS,high,True,3,2,4,0,1,8
JH,high,False,2,2,1,4,4,10
2C,low,False,5,1,1,4,3,8
