card,rankCategory,trump,numSuitInHand,tricksToWin0,tricksToWin1,tricksToWin2,tricksToWin3,tricksLeft
9D,mediumHigh,False,3,1,2,6,0,10
4S,low,False,5,0,2,4,-1,6
TS,high,False,2,2,4,4,1,10
2H,low,True,2,1,4,2,1,7
8S,mediumHigh,False,1,0,4,1,1,5
AH,veryhigh,False,3,4,2,1,2,10
AS,veryhigh,False,3,3,2,1,2,9
QD,high,True,3,2,2,1,2,8
6D,mediumlow,True,2,1,1,0,2,5
KS,veryhigh,False,2,2,3,3,1,10
4H,low,False,3,1,2,3,1,8
KH,veryhigh,False,4,5,1,1,4,10
8H,mediumHigh,False,3,4,1,1,4,9
JH,high,False,1,3,0,0,3,5
KS,veryhigh,True,2,2,0,-1,2,2
7D,mediumlow,False,4,1,2,3,6,10
2D,low,False,3,0,2,3,5,8
2C,low,False,1,-1,2,3,3,5
KC,veryhigh,False,4,5,0,4,0,10
QD,high,True,4,4,-1,4,0,8
2C,low,False,3,3,-1,4,0,7
8C,mediumHigh,False,2,2,-1,3,0,5
5C,low,False,1,1,-1,3,-2,2
AS,veryhigh,True,4,5,2,0,4,10
KS,veryhigh,True,3,4,2,0,4,9
JH,high,False,1,3,2,0,4,8
5D,low,False,2,2,2,-2,4,5
2D,low,False,1,1,2,-3,3,2
8H,mediumHigh,False,3,2,4,2,1,10
TS,high,False,1,1,4,1,0,7
QC,high,False,2,0,4,0,-1,4
6C,mediumlow,True,5,3,3,1,4,10
3C,low,True,3,2,2,0,1,4
QC,high,True,1,2,1,5,3,10
3D,low,False,4,1,1,5,3,9
6H,mediumlow,False,1,0,0,2,1,2
AS,veryhigh,False,4,3,4,3,1,10
JS,high,False,3,2,4,1,1,7
6S,mediumlow,False,1,1,3,-1,0,2
QD,high,False,3,3,1,2,6,10
JC,high,False,4,2,0,2,5,7
AH,veryhigh,False,1,1,0,2,4,5
6D,mediumlow,False,2,0,0,2,4,4
5C,low,False,2,3,1,4,3,10
JS,high,True,1,2,1,3,0,5
4D,low,False,2,1,1,3,0,4
8C,mediumHigh,False,1,0,1,3,-1,2
JH,high,False,3,2,2,3,2,10
6S,mediumlow,True,3,1,2,3,2,9
4D,low,False,1,0,0,2,2,5
4S,low,False,3,0,5,3,0,10
QC,high,False,3,4,1,3,1,10
TH,high,False,3,3,1,3,1,9
QH,high,False,1,2,1,3,0,7
5S,low,True,4,1,1,3,0,6
2S,low,True,3,0,1,3,0,5
KC,veryhigh,False,1,-1,0,3,0,3
JH,high,False,1,3,2,2,1,10
2C,low,False,3,2,2,2,1,9
9S,mediumHigh,False,2,1,1,0,1,5
3S,low,False,1,0,0,0,1,3
JS,high,False,2,1,6,1,1,10
TH,high,False,2,0,4,1,0,6
9C,mediumHigh,False,3,-1,4,1,0,5
AC,veryhigh,False,4,4,1,3,1,10
JS,high,True,3,3,1,3,1,9
JC,high,False,3,2,1,3,1,8
6H,mediumlow,False,1,1,1,2,1,6
7S,mediumlow,True,1,0,0,2,1,4
8H,mediumHigh,False,5,3,3,1,2,10
QD,high,False,1,2,3,1,2,9
JC,high,True,2,1,3,1,2,8
5H,low,False,4,0,3,1,1,6
AH,veryhigh,False,2,-1,2,0,1,3
2D,low,False,4,3,2,3,3,10
AC,veryhigh,False,1,2,0,3,2,6
7D,mediumlow,False,3,1,0,3,2,5
KD,veryhigh,False,2,0,0,2,1,2
4D,low,False,3,4,2,2,4,10
6D,mediumlow,False,2,3,0,2,3,6
TS,high,False,2,2,0,2,2,4
3H,low,False,1,3,2,3,3,10
6C,mediumlow,True,4,2,0,1,3,5
8C,mediumHigh,True,2,1,0,0,2,2
AD,veryhigh,False,5,1,3,4,1,10
3D,low,False,4,0,3,4,1,9
7S,mediumlow,False,6,1,4,3,3,10
3S,low,False,5,0,3,3,3,8
KH,veryhigh,False,4,5,3,0,1,10
9C,mediumHigh,False,1,4,3,0,1,9
8H,mediumHigh,False,3,3,3,0,0,7
AH,veryhigh,False,1,2,2,-1,-1,3
TD,high,False,1,1,2,-1,-1,2
AC,veryhigh,False,5,4,1,2,4,10
AS,veryhigh,True,3,3,1,2,4,9
9C,mediumHigh,False,4,2,1,2,4,8
2D,low,False,2,1,1,2,4,7
7S,mediumlow,True,1,0,1,2,3,5
8C,mediumHigh,False,3,-1,1,1,3,3
TC,high,False,2,-2,1,1,3,2
AH,veryhigh,False,4,3,2,3,0,10
TS,high,False,2,2,2,3,0,9
9H,mediumHigh,False,2,1,0,2,-1,4
5C,low,True,2,0,0,2,-1,3
JC,high,False,5,5,2,1,1,10
AC,veryhigh,False,4,4,1,0,1,7
KC,veryhigh,False,3,3,1,0,1,6
5C,low,False,2,2,1,0,1,5
5H,low,True,3,1,1,0,1,4
3H,low,True,1,0,0,0,1,2
TH,high,False,3,3,3,2,1,10
JH,high,False,2,2,3,2,0,8
6H,mediumlow,False,1,1,3,1,0,6
3S,low,True,1,0,3,1,0,5
KH,veryhigh,False,4,4,3,1,1,10
9D,mediumHigh,False,2,3,3,1,1,9
6H,mediumlow,False,3,2,2,0,1,6
QC,high,True,2,1,2,0,1,5
TH,high,False,2,0,2,0,1,4
9H,mediumHigh,False,1,-1,2,0,1,3
AC,veryhigh,True,1,-2,2,0,1,2
5C,low,False,4,2,2,3,5,10
3H,low,False,1,1,1,2,5,7
KS,veryhigh,True,1,0,1,2,4,5
8C,mediumHigh,False,2,-1,1,2,4,4
7D,mediumlow,False,5,0,4,4,3,10
7D,mediumlow,True,2,2,2,3,2,10
9S,mediumHigh,False,3,1,2,2,1,7
9C,mediumHigh,False,2,0,1,1,1,4
KS,veryhigh,False,4,4,0,4,1,10
KD,veryhigh,False,4,3,0,4,1,9
2S,low,False,3,2,0,4,1,8
JD,high,False,3,1,-1,4,1,6
3S,low,False,1,0,-1,2,0,2
4D,low,False,1,2,6,0,0,10
JS,high,False,3,1,5,0,0,8
AS,veryhigh,False,5,2,1,2,7,10
QS,high,False,4,1,1,2,7,9
3C,low,False,4,2,3,3,1,10
TD,high,False,1,1,2,1,1,6
2S,low,True,1,0,1,0,0,2
9S,mediumHigh,False,4,2,1,5,1,10
3D,low,False,3,1,1,5,1,9
8C,mediumHigh,False,2,0,0,4,1,6
7S,mediumlow,False,4,2,1,4,2,10
TS,high,False,3,1,-1,2,0,3
8S,mediumHigh,False,2,0,-1,2,0,2
3D,low,True,3,2,3,4,0,10
7D,mediumlow,True,2,1,2,2,-2,4
KH,veryhigh,False,3,3,4,0,2,10
8C,mediumHigh,True,3,2,4,0,2,9
TS,high,False,2,1,2,0,0,4
7H,mediumlow,False,1,0,1,0,0,2
2S,low,True,3,2,1,4,2,10
6D,mediumlow,False,2,1,0,2,1,5
KH,veryhigh,False,3,3,3,1,4,10
AH,veryhigh,False,2,2,3,1,4,9
AC,veryhigh,False,2,1,3,1,4,8
3D,low,True,2,0,3,1,4,7
4S,low,True,5,4,1,1,3,10
9C,mediumHigh,False,2,3,0,1,2,7
KS,veryhigh,True,3,2,-1,1,2,5
AS,veryhigh,True,2,1,-1,1,2,4
8H,mediumHigh,False,1,0,-1,1,2,3
2C,low,False,1,-1,-1,1,2,2
6S,mediumlow,False,4,3,3,1,4,10
JS,high,False,2,2,0,1,2,4
6H,mediumlow,True,2,1,0,1,2,3
9H,mediumHigh,True,1,0,0,1,2,2
KC,veryhigh,False,5,3,2,2,5,10
4S,low,False,2,2,2,2,5,9
TC,high,False,4,1,1,2,3,5
AC,veryhigh,False,1,1,3,4,3,10
7H,mediumlow,False,7,0,3,4,3,9
JH,high,True,4,3,5,0,1,10
4C,low,False,1,2,3,-1,-1,4
5H,low,True,2,1,3,-1,-1,3
AC,veryhigh,False,4,5,2,1,0,10
TC,high,False,3,4,2,1,0,9
KC,veryhigh,False,2,3,2,1,0,8
7C,mediumlow,False,1,2,1,0,-1,4
KC,veryhigh,True,1,1,4,1,6,10
9S,mediumHigh,False,6,0,4,1,6,9
AC,veryhigh,False,3,4,2,2,1,10
QS,high,True,2,3,2,2,1,9
3C,low,False,2,2,2,2,1,8
KD,veryhigh,False,2,1,2,1,-1,4
TS,high,True,1,0,2,1,-1,3
9C,mediumHigh,False,2,4,2,2,1,10
KH,veryhigh,True,2,3,1,1,-1,5
AD,veryhigh,False,1,2,1,1,-1,4
8H,mediumHigh,True,1,1,1,1,-1,3
9S,mediumHigh,False,2,0,1,1,-1,2
2C,low,False,3,1,4,2,5,10
4H,low,True,1,0,4,2,3,7
JC,high,False,1,-1,4,2,2,5
4S,low,False,2,-2,3,1,2,2
AD,veryhigh,False,3,1,4,5,1,10
6H,mediumlow,False,3,0,4,5,1,9
7H,mediumlow,False,5,1,4,2,2,10
TH,high,False,2,0,1,1,-1,2
AS,veryhigh,False,3,3,4,1,1,10
3H,low,False,2,2,4,1,1,9
8C,mediumHigh,False,3,1,3,0,1,6
6S,mediumlow,False,2,0,3,-1,1,4
AD,veryhigh,False,4,3,3,1,4,10
AH,veryhigh,False,5,2,3,1,4,9
JH,high,False,4,1,3,1,4,8
2H,low,False,3,0,3,1,4,7
4C,low,False,2,2,3,4,0,10
9H,mediumHigh,False,3,1,3,4,-1,8
2H,low,False,5,1,5,2,3,10
6H,mediumlow,False,4,0,5,2,1,7
8H,mediumHigh,False,3,-1,5,1,1,5
4C,low,False,4,2,2,3,2,10
QH,high,False,3,1,2,2,1,7
5H,low,False,2,0,2,0,1,4
AC,veryhigh,False,3,4,1,5,1,10
AS,veryhigh,False,3,3,1,5,1,9
7S,mediumlow,False,2,2,1,5,1,8
3C,low,False,1,1,0,3,-1,2
KS,veryhigh,True,3,3,1,2,6,10
9C,mediumHigh,False,3,2,1,2,6,9
JD,high,False,1,1,1,2,4,6
3S,low,False,4,1,4,2,2,10
JS,high,False,3,0,3,2,2,8
4C,low,False,1,-1,3,2,2,7
AS,veryhigh,False,3,4,3,1,3,10
KS,veryhigh,False,2,3,3,1,3,9
AC,veryhigh,False,1,2,3,1,3,8
KD,veryhigh,False,4,1,3,1,3,7
9H,mediumHigh,True,2,0,3,1,3,6
8D,mediumHigh,False,3,-1,3,0,3,4
QD,high,False,3,2,0,2,8,10
5C,low,True,2,1,0,1,5,5
8C,mediumHigh,True,1,0,0,1,3,2
7S,mediumlow,False,3,1,3,3,5,10
8D,mediumHigh,False,2,0,3,2,1,4
TH,high,False,1,-1,3,2,1,3
3S,low,True,3,1,5,2,1,10
3C,low,False,2,0,4,0,-1,4
2C,low,False,4,2,3,3,1,10
JC,high,False,3,1,1,1,0,4
9C,mediumHigh,False,2,0,1,1,0,3
JD,high,False,1,-1,1,1,0,2
6S,mediumlow,True,5,5,1,0,3,10
KS,veryhigh,True,3,4,0,0,2,7
AC,veryhigh,False,2,3,0,0,2,6
JS,high,True,2,2,0,0,2,5
5S,low,True,1,1,0,0,2,4
7H,mediumlow,False,2,0,0,0,2,3
AH,veryhigh,True,2,4,0,5,2,10
TD,high,False,3,3,0,5,2,9
AS,veryhigh,False,2,2,0,3,1,5
