card,rankCategory,trump,numSuitInHand,tricksToWin0,tricksToWin1,tricksToWin2,tricksToWin3,tricksLeft
7C,mediumlow,False,3,3,4,4,0,10
TH,high,False,3,2,3,3,-1,6
9C,mediumHigh,False,2,1,3,3,-2,4
KC,veryhigh,False,3,3,2,2,5,10
AC,veryhigh,False,2,2,2,2,5,9
9S,mediumHigh,False,3,1,2,2,5,8
2C,low,False,1,0,2,2,4,6
8D,mediumHigh,False,2,2,1,3,5,10
KC,veryhigh,False,3,1,1,3,4,8
9D,mediumHigh,False,1,0,1,3,4,7
8C,mediumHigh,False,2,-1,1,3,4,6
4C,low,False,2,1,3,4,4,10
2D,low,False,2,0,0,3,2,3
3C,low,True,3,3,2,1,6,10
3D,low,False,3,2,2,-1,6,7
8C,mediumHigh,True,2,1,1,-1,6,5
TC,high,True,1,0,1,-2,5,2
4C,low,False,2,3,1,2,5,10
QD,high,False,1,2,-2,-1,5,3
4H,low,True,2,1,1,4,6,10
7D,mediumlow,False,2,0,1,4,4,7
KC,veryhigh,False,5,4,0,3,4,10
3S,low,False,2,3,0,3,4,9
6C,mediumlow,False,3,2,0,2,3,6
TC,high,False,2,1,-1,2,2,3
8S,mediumHigh,False,1,3,4,0,2,10
TD,high,False,3,2,3,0,1,7
2S,low,True,3,2,3,2,4,10
7S,mediumlow,True,2,1,2,1,3,6
4D,low,False,3,0,1,0,3,3
6H,mediumlow,False,2,4,1,1,5,10
QS,high,False,1,3,1,0,2,5
TD,high,True,2,2,1,-1,1,2
7H,mediumlow,True,4,2,2,3,4,10
9H,mediumHigh,True,3,1,2,3,4,9
QH,high,True,2,0,2,3,4,8
5H,low,False,4,3,1,7,0,10
3C,low,False,3,2,1,6,0,8
KH,veryhigh,False,3,2,1,6,0,10
8D,mediumHigh,True,4,4,2,1,1,10
QD,high,True,3,3,2,1,1,9
KH,veryhigh,False,3,2,1,-1,1,5
KD,veryhigh,True,1,1,1,-1,1,4
8C,mediumHigh,False,1,0,1,-1,1,3
TD,high,False,3,3,2,1,5,10
JH,high,False,1,2,1,1,5,8
6S,mediumlow,False,3,1,0,1,4,5
TS,high,False,2,0,0,0,4,3
AD,veryhigh,False,5,2,2,2,5,10
AC,veryhigh,False,2,1,2,2,5,9
5D,low,False,4,0,2,2,5,8
9C,mediumHigh,False,5,4,0,3,4,10
JS,high,True,3,3,0,2,3,7
AC,veryhigh,False,3,2,0,2,2,5
3C,low,False,2,1,0,1,2,3
AH,veryhigh,False,2,2,2,3,2,10
KS,veryhigh,False,4,1,2,3,2,9
5C,low,True,2,0,2,3,2,8
5C,low,True,2,2,2,3,4,10
5H,low,False,4,1,2,2,4,8
TH,high,False,3,0,1,2,4,6
9H,mediumHigh,False,2,-1,1,2,4,5
4D,low,False,1,-2,0,1,4,2
9C,mediumHigh,True,2,2,2,3,5,10
AD,veryhigh,False,3,1,1,2,5,7
3H,low,False,1,0,1,2,5,6
7C,mediumlow,False,1,2,3,2,4,10
8S,mediumHigh,True,2,1,2,1,4,7
2H,low,False,4,0,1,1,4,5
2D,low,False,3,2,4,3,0,10
5D,low,False,1,1,2,3,0,7
3S,low,False,2,0,1,1,0,3
9H,mediumHigh,False,2,2,4,2,1,10
9C,mediumHigh,False,3,1,4,0,0,6
AC,veryhigh,False,3,1,4,3,1,10
2D,low,False,6,0,4,3,1,9
2C,low,False,2,3,2,2,4,10
KH,veryhigh,True,2,2,1,1,4,7
6H,mediumlow,True,1,1,1,1,4,6
3S,low,False,4,0,1,1,4,5
2D,low,True,2,4,1,3,3,10
3H,low,False,4,3,1,2,3,8
KH,veryhigh,False,3,2,-1,1,3,4
QH,high,False,2,1,-1,1,3,3
TC,high,False,1,0,-1,1,3,2
AH,veryhigh,False,4,4,2,4,1,10
AD,veryhigh,True,3,3,2,4,1,9
3H,low,False,3,2,2,4,1,8
5S,low,False,2,1,2,2,1,5
4S,low,False,2,1,3,5,0,10
2D,low,False,3,0,3,4,-2,6
TD,high,False,1,-1,3,3,-2,4
4C,low,False,3,1,2,4,5,10
6H,mediumlow,False,3,0,4,2,5,10
4C,low,False,4,4,3,1,1,10
AS,veryhigh,False,3,3,2,2,2,10
KH,veryhigh,False,4,2,2,2,2,9
JH,high,False,3,1,2,2,2,8
QD,high,True,1,0,1,1,1,4
5C,low,False,1,-1,1,1,1,3
AD,veryhigh,False,3,3,0,3,6,10
9C,mediumHigh,False,4,2,0,3,6,9
2H,low,True,2,1,0,3,6,8
AH,veryhigh,True,1,0,-2,2,5,3
7C,mediumlow,False,2,-1,-2,2,5,2
TC,high,True,4,3,4,2,2,10
8C,mediumHigh,True,2,2,3,2,0,6
4S,low,False,1,1,3,2,0,5
9C,mediumHigh,False,6,3,2,3,0,10
JC,high,False,5,2,1,2,0,7
4H,low,False,1,1,1,2,0,6
4C,low,False,4,0,1,2,-1,4
2S,low,False,3,1,3,2,5,10
AD,veryhigh,False,4,4,1,4,2,10
KS,veryhigh,True,3,3,1,4,2,9
6D,mediumlow,False,2,2,1,2,1,5
JC,high,False,2,1,1,2,1,4
AC,veryhigh,False,5,2,3,4,2,10
4C,low,False,4,1,3,4,2,9
6D,mediumlow,True,1,0,0,3,2,4
7S,mediumlow,True,1,1,2,4,4,10
7H,mediumlow,False,3,0,1,3,3,6
8C,mediumHigh,False,2,-1,1,3,3,5
7C,mediumlow,False,1,-2,1,2,3,3
9S,mediumHigh,False,3,1,3,4,1,10
JD,high,False,2,0,3,3,1,8
AC,veryhigh,True,2,2,3,2,4,10
4D,low,False,2,1,3,2,4,9
TH,high,False,2,0,2,-1,4,4
8H,mediumHigh,False,2,4,3,2,2,10
3C,low,True,3,3,2,2,2,8
JH,high,False,5,2,5,3,1,10
QC,high,False,3,1,5,3,1,9
8S,mediumHigh,True,2,0,5,3,1,8
5H,low,False,4,-1,5,3,1,7
AH,veryhigh,False,4,4,4,3,1,10
3H,low,False,3,3,3,3,1,8
TD,high,False,2,2,3,2,1,6
JS,high,True,1,1,3,1,1,4
3D,low,False,1,0,3,1,1,3
3S,low,False,2,2,3,1,5,10
AC,veryhigh,False,2,1,1,1,3,5
2D,low,False,2,0,1,1,3,4
2H,low,False,5,3,2,3,3,10
QH,high,False,4,2,1,3,1,6
JH,high,False,3,1,1,2,1,4
AD,veryhigh,False,4,2,2,4,1,10
KD,veryhigh,False,3,1,2,4,1,9
2H,low,True,1,0,1,4,1,7
KD,veryhigh,True,3,5,2,0,2,10
AC,veryhigh,False,4,4,1,-1,1,6
9C,mediumHigh,False,3,3,1,-1,1,5
5D,low,False,5,2,3,2,4,10
7H,mediumlow,False,3,1,2,2,4,8
3D,low,False,3,0,0,2,3,4
QD,high,True,1,2,0,8,1,10
AC,veryhigh,False,4,1,0,8,1,9
6C,mediumlow,False,3,0,0,8,1,8
KC,veryhigh,False,1,4,1,2,4,10
KH,veryhigh,True,2,3,1,2,4,9
QS,high,False,3,2,1,2,4,8
AD,veryhigh,False,4,1,1,1,3,5
3D,low,False,3,0,1,1,3,4
KS,veryhigh,False,2,3,2,4,2,10
5H,low,True,4,2,2,4,2,9
QH,high,True,2,3,4,0,2,10
JC,high,False,2,2,4,0,2,9
AC,veryhigh,False,1,1,4,0,2,8
4H,low,True,1,0,4,0,2,7
7C,mediumlow,False,2,1,3,5,0,10
AC,veryhigh,False,4,2,3,2,4,10
6C,mediumlow,False,3,1,3,2,4,9
QC,high,False,2,0,1,1,1,2
AD,veryhigh,False,4,3,1,2,5,10
KH,veryhigh,False,2,2,1,2,5,9
6C,mediumlow,False,1,1,1,2,5,8
7S,mediumlow,True,2,0,1,2,4,6
AC,veryhigh,False,4,2,3,4,2,10
5D,low,False,4,1,3,4,2,9
AH,veryhigh,False,2,4,2,2,1,10
KH,veryhigh,False,1,3,2,2,1,9
KS,veryhigh,False,4,2,2,2,1,8
5C,low,True,3,1,2,2,1,7
8C,mediumHigh,True,1,0,1,0,1,3
4S,low,False,2,-1,1,0,1,2
JH,high,False,6,2,2,3,4,10
3C,low,True,2,1,2,3,4,9
