card,rankCategory,trump,numSuitInHand,tricksToWin0,tricksToWin1,tricksToWin2,tricksToWin3,tricksLeft
7C,mediumlow,True,3,1,2,4,4,10
3C,low,True,1,0,0,3,2,4
2C,low,False,4,1,4,1,6,10
4C,low,False,2,0,2,1,4,5
3H,low,False,1,3,2,3,1,10
3C,low,False,1,2,2,1,0,6
3H,low,False,2,1,5,3,0,10
2H,low,False,1,0,5,2,-1,7
KC,veryhigh,False,4,3,3,1,2,10
5S,low,True,2,2,3,1,2,9
8C,mediumHigh,False,2,1,3,0,1,6
AS,veryhigh,False,5,2,3,2,4,10
JH,high,False,1,1,3,2,4,9
6C,mediumlow,True,2,0,3,2,4,8
3D,low,False,3,4,2,0,3,10
KS,veryhigh,False,2,3,2,-1,1,6
8H,mediumHigh,True,2,2,2,-1,1,5
KD,veryhigh,False,2,1,2,-1,1,4
2H,low,True,1,0,2,-1,1,3
8S,mediumHigh,False,1,-1,2,-1,1,2
JH,high,False,4,3,2,2,4,10
5C,low,True,3,2,2,2,4,9
2D,low,False,1,1,1,1,3,5
3H,low,False,3,0,1,1,2,3
7H,mediumlow,False,2,3,1,2,6,10
KH,veryhigh,False,1,2,0,0,6,6
4C,low,False,2,1,-1,0,5,3
AH,veryhigh,False,6,3,6,0,2,10
JH,high,False,5,2,4,0,2,7
3H,low,False,4,1,4,0,2,6
JD,high,False,1,0,3,0,1,3
JH,high,True,1,2,3,2,4,10
JD,high,False,2,1,3,0,2,5
5S,low,False,2,0,3,0,2,4
8C,mediumHigh,False,2,3,0,3,6,10
TD,high,False,5,2,0,2,4,6
AC,veryhigh,False,1,1,0,2,4,5
6D,mediumlow,False,4,0,0,2,4,4
2D,low,True,4,4,0,4,1,10
QD,high,True,3,3,-1,4,1,8
JD,high,True,2,2,-2,0,1,2
JS,high,True,4,2,2,4,4,10
8S,mediumHigh,True,3,1,0,4,4,7
2H,low,False,3,2,4,4,1,10
7D,mediumlow,False,3,1,4,4,0,8
8D,mediumHigh,False,2,0,3,4,0,6
QH,high,False,3,4,1,3,0,10
KH,veryhigh,False,2,3,0,2,0,7
JS,high,False,2,2,0,2,0,6
3S,low,False,1,1,-1,2,0,4
KH,veryhigh,False,3,3,1,7,1,10
