card,rankCategory,trump,numSuitInHand,tricksToWin0,tricksToWin1,tricksToWin2,tricksToWin3,tricksLeft
6H,mediumlow,False,2,1,2,4,5,10
KC,veryhigh,False,2,2,2,2,5,10
JH,high,True,3,1,2,2,5,9
TS,high,False,2,0,2,2,5,8
2S,low,False,2,0,6,5,0,10
KC,veryhigh,False,3,2,6,0,1,10
5H,low,True,2,1,6,0,1,9
AH,veryhigh,False,3,5,1,1,2,10
9C,mediumHigh,False,1,4,1,1,2,9
AD,veryhigh,False,2,3,1,0,2,7
3S,low,True,3,2,1,0,2,6
2H,low,False,2,1,0,0,2,4
3S,low,False,2,2,2,4,1,10
3D,low,False,1,1,1,1,-2,2
8D,mediumHigh,False,4,0,6,2,4,10
8C,mediumHigh,True,4,3,1,2,3,10
QH,high,False,1,2,1,2,2,8
3C,low,True,3,1,1,1,2,6
5C,low,True,2,0,1,1,2,5
KS,veryhigh,False,3,-1,1,1,2,4
2C,low,True,1,-2,1,1,2,3
TS,high,False,2,-3,1,1,2,2
AC,veryhigh,False,2,3,2,3,1,10
KD,veryhigh,True,2,2,2,3,1,9
QH,high,False,3,1,2,3,1,8
6S,mediumlow,False,3,0,2,1,1,5
AH,veryhigh,True,5,6,0,1,2,10
QS,high,False,2,5,0,1,2,9
AS,veryhigh,False,1,4,0,1,2,8
8D,mediumHigh,False,3,3,0,1,2,7
JH,high,True,2,2,-2,1,0,2
QH,high,False,2,4,2,3,0,10
3C,low,False,3,3,2,3,0,9
7D,mediumlow,True,4,2,1,2,-1,5
TC,high,False,1,3,2,2,2,10
KD,veryhigh,True,3,2,2,2,2,9
QS,high,False,2,1,2,2,2,8
QD,high,True,2,0,2,2,2,7
6D,mediumlow,True,1,-1,2,2,2,6
5S,low,False,1,-2,2,2,2,5
3S,low,False,1,4,1,1,3,10
AH,veryhigh,False,2,3,1,0,3,8
9C,mediumHigh,True,4,2,1,0,3,7
3C,low,True,2,1,-1,0,2,3
9D,mediumHigh,False,2,4,2,1,2,10
AC,veryhigh,False,1,3,2,1,2,9
6H,mediumlow,False,3,2,2,1,2,8
7D,mediumlow,False,5,1,6,0,5,10
7H,mediumlow,False,1,0,4,0,3,5
JH,high,False,2,2,1,6,2,10
QC,high,False,6,1,1,6,2,9
9S,mediumHigh,True,1,0,1,6,2,8
TC,high,False,5,-1,1,6,2,7
5D,low,False,2,0,3,2,7,10
4C,low,True,4,4,2,3,0,10
QC,high,True,1,3,0,2,-3,3
KD,veryhigh,False,1,2,0,2,-3,2
5D,low,False,3,3,2,1,6,10
