card,rankCategory,trump,numSuitInHand,tricksToWin0,tricksToWin1,tricksToWin2,tricksToWin3,tricksLeft
5D,low,True,3,2,2,6,1,10
8C,mediumHigh,False,2,1,2,4,0,6
7D,mediumlow,True,1,0,2,4,0,5
9S,mediumHigh,False,2,4,2,1,2,10
KD,veryhigh,False,3,3,2,-2,2,6
7D,mediumlow,False,2,2,2,-2,2,5
AD,veryhigh,False,1,1,1,-3,2,2
9C,mediumHigh,False,1,3,6,0,0,10
8S,mediumHigh,False,2,2,6,-1,0,8
6D,mediumlow,True,3,1,5,-1,0,6
7H,mediumlow,False,4,2,3,3,1,10
5H,low,False,3,1,2,3,1,8
JD,high,True,1,0,2,3,1,7
QH,high,False,2,-1,1,2,1,4
JH,high,False,1,-2,1,2,1,3
5H,low,False,4,4,2,4,1,10
KH,veryhigh,False,2,3,1,2,0,5
AC,veryhigh,False,2,2,1,2,0,4
KC,veryhigh,False,1,1,1,2,0,3
AD,veryhigh,False,4,3,2,2,4,10
QD,high,False,3,2,2,2,4,9
KS,veryhigh,False,1,1,2,2,4,8
9C,mediumHigh,True,2,0,2,2,4,7
8H,mediumHigh,False,1,1,4,3,0,10
6C,mediumlow,False,3,2,2,5,0,10
2C,low,False,2,1,1,3,0,6
4C,low,False,4,5,2,1,1,10
TC,high,False,3,4,1,1,0,7
7C,mediumlow,False,2,3,1,1,0,6
9D,mediumHigh,True,3,2,0,1,-1,3
TH,high,False,5,3,4,1,3,10
QD,high,False,2,2,4,1,1,7
6H,mediumlow,False,4,1,4,1,1,6
3H,low,False,3,0,4,1,0,4
5H,low,False,2,-1,4,1,0,3
7D,mediumlow,True,5,4,0,4,1,10
7C,mediumlow,False,3,3,0,3,1,8
5D,low,True,4,2,-1,3,1,6
AS,veryhigh,False,3,3,2,3,3,10
KC,veryhigh,False,4,2,2,3,3,9
AC,veryhigh,False,3,1,2,3,3,8
7H,mediumlow,True,2,0,2,3,3,7
3H,low,True,4,2,3,2,5,10
7H,mediumlow,True,2,1,3,2,0,4
6D,mediumlow,False,3,2,1,6,3,10
9D,mediumHigh,False,2,1,1,5,0,5
QS,high,False,5,2,3,0,7,10
7S,mediumlow,False,4,1,3,0,7,9
5S,low,False,3,0,3,0,6,7
7D,mediumlow,True,3,1,1,3,6,10
2D,low,True,1,0,-2,0,6,3
KH,veryhigh,False,4,4,2,1,2,10
KS,veryhigh,False,2,3,2,1,2,9
5S,low,False,1,2,2,1,2,8
AH,veryhigh,False,3,1,1,0,1,4
7C,mediumlow,True,1,0,1,0,1,3
KH,veryhigh,False,3,3,4,1,1,10
