numMySuit,numAtLeastOppSuit,numTargetHit,numTotal,probability
0,0,328462,328462,1.0
0,1,107690,328462,0.3278613660027644
0,2,3252,328462,0.009900688664137708
0,3,3,328462,9.13347662743331e-06
0,4,0,328462,0.0
1,0,438694,438694,1.0
1,1,120120,438694,0.27381272595476575
1,2,2319,438694,0.005286144784291557
1,3,0,438694,0.0
2,0,196314,196314,1.0
2,1,43645,196314,0.2223224018663977
2,2,562,196314,0.002862760679319865
2,3,0,196314,0.0
3,0,34537,34537,1.0
3,1,6039,34537,0.17485595158815184
3,2,46,34537,0.001331904913570953
3,3,0,34537,0.0
4,0,1993,1993,1.0
4,1,244,1993,0.12242849974912193
4,2,0,1993,0.0
