numMySuit,numAtLeastOppSuit,numTargetHit,numTotal,probability
0,0,327115,327115,1.0
0,1,282987,327115,0.865099429864115
0,2,144133,327115,0.4406187426440243
0,3,27752,327115,0.08483866530119377
0,4,1362,327115,0.004163673325894563
0,5,9,327115,2.7513259862739402e-05
0,6,0,327115,0.0
1,0,929671,929671,1.0
1,1,770148,929671,0.8284091899177236
1,2,340601,929671,0.36636724174466023
1,3,51143,929671,0.055011934329456336
1,4,1829,929671,0.001967362647646318
1,5,5,929671,5.378246713084521e-06
1,6,0,929671,0.0
2,0,1014683,1014683,1.0
2,1,795373,1014683,0.7838635317631221
2,2,298271,1014683,0.2939548607791793
2,3,33602,1014683,0.03311576127716735
2,4,781,1014683,0.0007696985166795935
2,5,2,1014683,1.971058941561059e-06
3,0,547291,547291,1.0
3,1,400121,547291,0.7310936960410458
3,2,123288,547291,0.22526955495339773
3,3,9777,547291,0.01786435369848947
3,4,118,547291,0.00021560741908783443
3,5,0,547291,0.0
4,0,155831,155831,1.0
4,1,104641,155831,0.6715031027202546
4,2,25534,155831,0.1638569989283262
4,3,1411,155831,0.009054681032657174
4,4,7,155831,4.4920458702055435e-05
5,0,23754,23754,1.0
5,1,14049,23754,0.5914372316241475
5,2,2551,23754,0.1073924391681401
5,3,78,23754,0.003283657489264966
5,4,0,23754,0.0
6,0,1612,1612,1.0
6,1,822,1612,0.5099255583126551
6,2,82,1612,0.05086848635235732
6,3,4,1612,0.0024813895781637717
7,0,43,43,1.0
7,1,22,43,0.5116279069767442
7,2,4,43,0.09302325581395349
7,3,1,43,0.023255813953488372
