"","rank","probability","player_order"
"1",2,0.132254257292194,0
"2",3,0.146585590817477,0
"3",4,0.166752110461738,0
"4",5,0.183736682664488,0
"5",6,0.206612130142439,0
"6",7,0.225514318911899,0
"7",8,0.251201168061663,0
"8",9,0.277415288165045,0
"9",10,0.304066511881999,0
"10",11,0.336328011362664,0
"11",12,0.362680303776823,0
"12",13,0.396247521228454,0
"13",14,0.429432599959131,0
"14",2,0,1
"15",3,0.00571729993704163,1
"16",4,0.0114085274485765,1
"17",5,0.0197222506568397,1
"18",6,0.0277288657150184,1
"19",7,0.0370873061653829,1
"20",8,0.0478753015401744,1
"21",9,0.0605729131059,1
"22",10,0.0717731597058228,1
"23",11,0.0877175095160413,1
"24",12,0.0996372183332482,1
"25",13,0.11761119203279,1
"26",14,0.134280742459397,1
"27",2,0,2
"28",3,0.00592453474474987,2
"29",4,0.0118347231459218,2
"30",5,0.0204743391677843,2
"31",6,0.0272286523950971,2
"32",7,0.0364751010343174,2
"33",8,0.0467939073250723,2
"34",9,0.0584495278355436,2
"35",10,0.0713860493596176,2
"36",11,0.0847691364750749,2
"37",12,0.100023933260394,2
"38",13,0.119445335855558,2
"39",14,0.134362842532661,2
"40",2,0,3
"41",3,0.00560779330792037,3
"42",4,0.0122394241868677,3
"43",5,0.0192330604394669,3
"44",6,0.0272213137094576,3
"45",7,0.037347235279036,3
"46",8,0.0473982745737382,3
"47",9,0.0587257429773375,3
"48",10,0.0721151383743363,3
"49",11,0.0868359255351734,3
"50",12,0.10156475645186,3
"51",13,0.117133607904951,3
"52",14,0.135814821095472,3
