num_players,player_order,rank,wins,outcomes,probability,table_type
2,0,2,30915,59310,0.5212443095599393,side
2,0,3,31683,58546,0.5411642127557817,side
2,0,4,32632,58518,0.5576403841553026,side
2,0,5,33908,58758,0.5770788658565642,side
2,0,6,35371,59043,0.5990718628795962,side
2,0,7,36242,58524,0.6192673091381313,side
2,0,8,37694,58901,0.6399551790292185,side
2,0,9,38686,58699,0.6590572241435119,side
2,0,10,39902,58576,0.6812004916689429,side
2,0,11,40923,58437,0.7002926228245803,side
2,0,12,42308,58859,0.7188025620550808,side
2,0,13,43845,59001,0.7431229979152896,side
2,0,14,44627,58724,0.7599448266466862,side
2,1,2,0,58660,0.0,side
2,1,3,1183,58769,0.020129660195000766,side
2,1,4,2313,58728,0.039384961176951366,side
2,1,5,3585,58614,0.061162862114853105,side
2,1,6,4733,58495,0.08091289853833661,side
2,1,7,5889,58942,0.09991177767975298,side
2,1,8,7132,59279,0.12031242092477944,side
2,1,9,8278,58508,0.1414849251384426,side
2,1,10,9510,59284,0.16041427703933608,side
2,1,11,10637,58848,0.18075380641653072,side
2,1,12,11648,58713,0.19838877250353415,side
2,1,13,12926,59042,0.21892889807255853,side
2,1,14,13938,58616,0.2377849051453528,side
3,0,2,15807,59310,0.26651492159838136,side
3,0,3,16643,58546,0.28427219622177435,side
3,0,4,18021,58518,0.3079565261970676,side
3,0,5,19253,58758,0.3276660199462201,side
3,0,6,20935,59043,0.3545720915265146,side
3,0,7,22069,58524,0.3770931583623812,side
3,0,8,23600,58901,0.4006723145617222,side
3,0,9,25201,58699,0.4293258828940868,side
3,0,10,26779,58576,0.4571667577164709,side
3,0,11,28384,58437,0.4857196639115629,side
3,0,12,30148,58859,0.5122071390951256,side
3,0,13,32063,59001,0.5434314672632667,side
3,0,14,33697,58724,0.5738199032763436,side
3,1,2,0,58660,0.0,side
3,1,3,636,58769,0.010822032023685957,side
3,1,4,1273,58728,0.021676202152295328,side
3,1,5,2072,58614,0.03534991640222473,side
3,1,6,2799,58495,0.04785024361056501,side
3,1,7,3602,58942,0.061110922601879815,side
3,1,8,4511,59279,0.07609777492872687,side
3,1,9,5466,58508,0.09342312162439324,side
3,1,10,6402,59284,0.10798866473247419,side
3,1,11,7524,58848,0.12785481239804242,side
3,1,12,8319,58713,0.14168923407081907,side
3,1,13,9468,59042,0.1603604213949392,side
3,1,14,10488,58616,0.17892725535689913,side
3,2,2,0,58993,0.0,side
3,2,3,646,58570,0.011029537305787946,side
3,2,4,1246,58641,0.021247932334032504,side
3,2,5,2100,58903,0.035651834371763745,side
3,2,6,2744,58578,0.04684352487281915,side
3,2,7,3524,58396,0.060346599082128916,side
3,2,8,4489,59153,0.0758879515831826,side
3,2,9,5323,58666,0.09073398561347289,side
3,2,10,6324,58793,0.10756382562549964,side
3,2,11,7292,58736,0.12414873331517298,side
3,2,12,8312,58496,0.14209518599562362,side
3,2,13,9811,59207,0.16570675764689985,side
3,2,14,10532,58863,0.1789239420348946,side
4,0,2,7844,59310,0.13225425729219356,side
4,0,3,8582,58546,0.14658559081747685,side
4,0,4,9758,58518,0.16675211046173827,side
4,0,5,10796,58758,0.18373668266448823,side
4,0,6,12199,59043,0.20661213014243857,side
4,0,7,13198,58524,0.22551431891189938,side
4,0,8,14796,58901,0.2512011680616628,side
4,0,9,16284,58699,0.2774152881650454,side
4,0,10,17811,58576,0.30406651188199946,side
4,0,11,19654,58437,0.33632801136266405,side
4,0,12,21347,58859,0.3626803037768226,side
4,0,13,23379,59001,0.39624752122845375,side
4,0,14,25218,58724,0.42943259995913086,side
4,1,2,0,58660,0.0,side
4,1,3,336,58769,0.005717299937041637,side
4,1,4,670,58728,0.011408527448576488,side
4,1,5,1156,58614,0.019722250656839663,side
4,1,6,1622,58495,0.027728865715018376,side
4,1,7,2186,58942,0.037087306165382916,side
4,1,8,2838,59279,0.04787530154017443,side
4,1,9,3544,58508,0.060572913105900045,side
4,1,10,4255,59284,0.07177315970582282,side
4,1,11,5162,58848,0.08771750951604133,side
4,1,12,5850,58713,0.09963721833324818,side
