num_players,player_order,rank,wins,outcomes,probability,table_type
2,0,2,14090,18184,0.7748570171579411,trump
2,0,3,14157,17873,0.792088625300733,trump
2,0,4,14740,18001,0.8188433975890228,trump
2,0,5,15131,18118,0.835136328513081,trump
2,0,6,15842,18535,0.8547073104936607,trump
2,0,7,15858,18258,0.868550772264213,trump
2,0,8,16078,18069,0.8898112789861088,trump
2,0,9,16514,18139,0.9104140250289432,trump
2,0,10,16867,18257,0.9238648189735444,trump
2,0,11,17107,18100,0.9451381215469613,trump
2,0,12,17416,18095,0.9624758220502901,trump
2,0,13,17889,18207,0.9825341901466469,trump
2,0,14,18268,18268,1.0,trump
2,1,2,13982,18004,0.7766051988447011,trump
2,1,3,14618,18268,0.800197065907598,trump
2,1,4,14479,17791,0.8138384576471249,trump
2,1,5,15062,17961,0.838594733032682,trump
2,1,6,15356,17991,0.8535378800511367,trump
2,1,7,16017,18402,0.8703945223345289,trump
2,1,8,16203,18222,0.8891998682910767,trump
2,1,9,16657,18308,0.9098208433471706,trump
2,1,10,16790,18182,0.9234407655923441,trump
2,1,11,17019,17991,0.9459729864932466,trump
2,1,12,17439,18148,0.9609323341415031,trump
2,1,13,17814,18135,0.9822994210090984,trump
2,1,14,18099,18099,1.0,trump
3,0,2,10909,18184,0.5999230092388913,trump
3,0,3,11225,17873,0.6280422984389862,trump
3,0,4,12038,18001,0.6687406255208044,trump
3,0,5,12646,18118,0.6979799094822828,trump
3,0,6,13441,18535,0.725168599946048,trump
3,0,7,13840,18258,0.7580238799430387,trump
3,0,8,14253,18069,0.788809563340528,trump
3,0,9,15016,18139,0.8278295385633166,trump
3,0,10,15589,18257,0.8538642712384291,trump
3,0,11,16131,18100,0.8912154696132597,trump
3,0,12,16717,18095,0.9238463663995579,trump
3,0,13,17531,18207,0.9628714230790355,trump
3,0,14,18268,18268,1.0,trump
3,1,2,10905,18004,0.6056987336147522,trump
3,1,3,11586,18268,0.6342237792861835,trump
3,1,4,11751,17791,0.6605025012646843,trump
3,1,5,12528,17961,0.6975112744279272,trump
3,1,6,13060,17991,0.725918514812962,trump
3,1,7,13970,18402,0.7591566134115857,trump
3,1,8,14339,18222,0.7869059378772912,trump
3,1,9,15039,18308,0.8214441774087831,trump
3,1,10,15496,18182,0.8522714772852271,trump
3,1,11,16100,17991,0.8948918903896392,trump
3,1,12,16765,18148,0.9237932554551466,trump
3,1,13,17468,18135,0.9632202922525503,trump
3,1,14,18099,18099,1.0,trump
3,2,2,10918,18086,0.603671348003981,trump
3,2,3,11463,18070,0.634366353071389,trump
3,2,4,12083,18258,0.6617920911381312,trump
3,2,5,12507,17935,0.6973515472539726,trump
3,2,6,13413,18457,0.7267161510538007,trump
3,2,7,13926,18213,0.764618678965574,trump
3,2,8,14414,18208,0.7916300527240774,trump
3,2,9,14974,18139,0.825514085671757,trump
3,2,10,15448,18052,0.8557500553955241,trump
3,2,11,15796,17723,0.8912712294758224,trump
3,2,12,16869,18230,0.9253428414701043,trump
3,2,13,17610,18268,0.9639807313334793,trump
3,2,14,18366,18366,1.0,trump
4,0,2,8445,18184,0.46441926968763747,trump
4,0,3,8931,17873,0.4996922732613439,trump
4,0,4,9697,18001,0.5386922948725071,trump
4,0,5,10426,18118,0.5754498288994371,trump
4,0,6,11381,18535,0.614027515511195,trump
4,0,7,11998,18258,0.6571365976558221,trump
4,0,8,12646,18069,0.6998727101665837,trump
4,0,9,13568,18139,0.7480015436352611,trump
4,0,10,14392,18257,0.7883003779372295,trump
4,0,11,15175,18100,0.8383977900552486,trump
4,0,12,16070,18095,0.8880906327714838,trump
4,0,13,17205,18207,0.9449662217828307,trump
4,0,14,18268,18268,1.0,trump
4,1,2,8379,18004,0.4653965785381026,trump
4,1,3,9125,18268,0.49950733523100505,trump
4,1,4,9512,17791,0.5346523523129673,trump
4,1,5,10430,17961,0.580702633483659,trump
